date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,-9.0,-10.0,0.0,-2.0,-28,5
2020-02-16,3.0,11.0,1.0,10.0,4,0
2020-02-17,6.0,11.0,2.0,9.0,5,-1
2020-02-18,3.0,5.0,3.0,9.0,6,-1
2020-02-19,-1.0,3.0,1.0,0.0,5,1
2020-02-20,-2.0,3.0,-1.0,4.0,6,1
2020-02-21,0.0,9.0,4.0,7.0,6,0
2020-02-22,2.0,5.0,6.0,7.0,6,0
2020-02-23,2.0,6.0,2.0,7.0,6,1
2020-02-24,3.0,13.0,4.0,9.0,7,0
2020-02-25,2.0,5.0,1.0,9.0,7,0
2020-02-26,-1.0,5.0,2.0,3.0,5,1
2020-02-27,-1.0,0.0,1.0,3.0,7,2
2020-02-28,-2.0,5.0,1.0,4.0,5,2
2020-02-29,-1.0,1.0,0.0,4.0,6,1
2020-03-01,3.0,10.0,2.0,10.0,9,0
2020-03-02,5.0,7.0,3.0,8.0,8,-1
2020-03-03,3.0,6.0,2.0,7.0,8,0
2020-03-04,-2.0,4.0,1.0,-1.0,7,1
2020-03-05,3.0,5.0,2.0,4.0,10,1
2020-03-06,3.0,9.0,8.0,4.0,8,1
2020-03-07,0.0,5.0,4.0,4.0,7,1
2020-03-08,5.0,8.0,4.0,7.0,7,0
2020-03-09,-15.0,-10.0,-4.0,-9.0,-22,6
2020-03-10,0.0,0.0,1.0,6.0,6,1
2020-03-11,2.0,-1.0,2.0,0.0,3,1
2020-03-12,1.0,-4.0,1.0,-2.0,6,1
2020-03-13,3.0,9.0,6.0,4.0,5,0
2020-03-14,6.0,2.0,5.0,5.0,3,0
2020-03-15,1.0,12.0,5.0,6.0,3,0
2020-03-16,1.0,14.0,2.0,4.0,1,1
2020-03-17,0.0,6.0,3.0,-3.0,1,0
2020-03-18,0.0,7.0,5.0,-6.0,-1,1
2020-03-19,-3.0,3.0,5.0,-6.0,-2,2
2020-03-20,-15.0,1.0,7.0,-19.0,-7,1
2020-03-21,-23.0,-13.0,1.0,-24.0,-36,6
2020-03-22,-12.0,9.0,-2.0,-14.0,-6,1
2020-03-23,-11.0,7.0,0.0,-17.0,-3,2
2020-03-24,-15.0,0.0,-1.0,-18.0,-5,3
2020-03-25,-18.0,-1.0,-3.0,-23.0,-10,6
2020-03-26,-18.0,0.0,-4.0,-23.0,-10,7
2020-03-27,-20.0,5.0,-2.0,-16.0,-2,5
2020-03-28,-36.0,-20.0,-7.0,-32.0,-27,11
2020-03-29,-38.0,-21.0,-13.0,-34.0,-33,10
2020-03-30,-41.0,-25.0,-15.0,-39.0,-37,11
2020-03-31,-43.0,-29.0,-14.0,-42.0,-38,12
2020-04-01,-44.0,-24.0,-9.0,-38.0,-37,11
2020-04-02,-44.0,-25.0,-10.0,-35.0,-35,13
2020-04-03,-38.0,-13.0,-8.0,-32.0,-12,6
2020-04-04,-43.0,-20.0,-11.0,-38.0,-34,10
2020-04-05,-45.0,-22.0,-13.0,-36.0,-38,12
2020-04-06,-45.0,-20.0,-11.0,-40.0,-40,11
2020-04-07,-41.0,-24.0,-11.0,-46.0,-39,10
2020-04-08,-47.0,-30.0,-12.0,-52.0,-42,14
2020-04-09,-49.0,-35.0,-13.0,-51.0,-40,17
2020-04-10,-41.0,-22.0,-10.0,-48.0,-16,11
2020-04-11,-46.0,-32.0,-12.0,-50.0,-38,16
2020-04-12,-48.0,-29.0,-18.0,-49.0,-41,15
2020-04-13,-46.0,-27.0,-13.0,-51.0,-41,14
2020-04-14,-48.0,-32.0,-14.0,-52.0,-42,15
2020-04-15,-42.0,-31.0,-10.0,-51.0,-42,14
2020-04-16,-46.0,-34.0,-13.0,-51.0,-39,16
2020-04-17,-41.0,-21.0,-12.0,-51.0,-13,11
2020-04-18,-43.0,-25.0,-15.0,-50.0,-36,14
2020-04-19,-43.0,-26.0,-16.0,-49.0,-40,13
2020-04-20,-42.0,-17.0,-13.0,-50.0,-38,12
2020-04-21,-41.0,-21.0,-13.0,-48.0,-40,11
2020-04-22,-42.0,-18.0,-14.0,-49.0,-38,11
2020-04-23,-43.0,-23.0,-16.0,-45.0,-37,13
2020-04-24,-45.0,-19.0,-25.0,-50.0,-9,14
2020-04-25,-48.0,-27.0,-23.0,-49.0,-33,18
2020-04-26,-47.0,-27.0,-23.0,-48.0,-37,17
2020-04-27,-49.0,-28.0,-22.0,-53.0,-47,16
2020-04-28,-45.0,-27.0,-19.0,-47.0,-35,13
2020-04-29,-42.0,-20.0,-16.0,-46.0,-34,14
2020-04-30,-47.0,-30.0,-19.0,-48.0,-33,17
2020-05-01,-45.0,-21.0,-23.0,-50.0,-8,13
2020-05-02,-47.0,-27.0,-22.0,-49.0,-33,16
2020-05-03,-49.0,-30.0,-27.0,-49.0,-38,16
2020-05-04,-45.0,-23.0,-22.0,-49.0,-35,14
2020-05-05,-45.0,-28.0,-21.0,-48.0,-36,15
2020-05-06,-44.0,-23.0,-20.0,-47.0,-34,15
2020-05-07,-44.0,-25.0,-21.0,-45.0,-32,16
2020-05-08,-39.0,-13.0,-18.0,-42.0,-3,10
2020-05-09,-40.0,-17.0,-20.0,-41.0,-30,12
2020-05-10,-40.0,-21.0,-24.0,-43.0,-34,14
2020-05-11,-38.0,-11.0,-19.0,-43.0,-31,12
2020-05-12,-38.0,-14.0,-19.0,-41.0,-32,13
2020-05-13,-38.0,-12.0,-19.0,-44.0,-30,13
2020-05-14,-37.0,-12.0,-16.0,-44.0,-26,13
2020-05-15,-28.0,3.0,-15.0,-34.0,8,10
2020-05-16,-28.0,-1.0,-12.0,-34.0,-23,12
2020-05-17,-32.0,-11.0,-21.0,-39.0,-30,13
2020-05-18,-29.0,2.0,-15.0,-36.0,-28,11
2020-07-03,-14.0,9.0,-1.0,-22.0,-2,4
2020-07-04,-10.0,11.0,-3.0,-17.0,-15,6
2020-07-05,-9.0,12.0,-3.0,-14.0,-17,7
2020-07-06,-7.0,20.0,-1.0,-13.0,-17,5
2020-07-07,-5.0,18.0,-3.0,-12.0,-17,5
2020-07-08,-9.0,12.0,-3.0,-18.0,-16,5
2020-07-09,-9.0,12.0,-1.0,-16.0,-13,5
2020-07-10,-7.0,15.0,3.0,-16.0,2,4
2020-07-11,-5.0,16.0,3.0,-11.0,-10,5
2020-07-12,-5.0,21.0,-3.0,-10.0,-14,6
2020-07-13,-4.0,26.0,-1.0,-9.0,-12,4
2020-07-14,-6.0,18.0,-2.0,-10.0,-11,5
2020-07-15,-6.0,14.0,-2.0,-14.0,-11,5
2020-07-16,-7.0,14.0,-5.0,-11.0,-10,5
2020-07-17,-5.0,18.0,3.0,-11.0,3,3
2020-07-18,-4.0,19.0,-2.0,-10.0,-8,4
2020-07-19,-4.0,24.0,-1.0,-6.0,-10,4
2020-07-20,-1.0,24.0,-2.0,-9.0,-10,4
2020-07-21,-5.0,18.0,0.0,-10.0,-11,4
2020-07-22,-4.0,19.0,-4.0,-14.0,-12,4
2020-07-23,-7.0,13.0,-3.0,-10.0,-9,5
2020-07-24,-3.0,22.0,1.0,-12.0,4,3
2020-07-25,-6.0,21.0,3.0,-11.0,-7,4
2020-07-26,-5.0,24.0,0.0,-6.0,-11,4
2020-07-27,-3.0,28.0,2.0,-10.0,-11,2
2020-07-28,-1.0,27.0,3.0,-6.0,-12,1
2020-07-29,2.0,33.0,3.0,-5.0,-16,2
2020-07-30,-5.0,32.0,0.0,-10.0,-38,8
2020-07-31,-26.0,0.0,3.0,-26.0,-24,3
2020-08-01,-33.0,-24.0,9.0,-32.0,-66,10
2020-08-02,-31.0,-20.0,8.0,-29.0,-68,9
2020-08-03,-18.0,-2.0,12.0,-21.0,-39,4
2020-08-04,-11.0,9.0,10.0,-13.0,-23,2
2020-08-05,-9.0,13.0,6.0,-11.0,-19,2
2020-08-06,-9.0,12.0,5.0,-10.0,-15,3
2020-08-07,-6.0,16.0,9.0,-13.0,0,1
2020-08-08,-12.0,7.0,2.0,-19.0,-24,5
2020-08-09,-10.0,13.0,2.0,-12.0,-25,5
2020-08-10,7.0,35.0,11.0,1.0,-10,-2
2020-08-11,2.0,26.0,9.0,0.0,-9,-1
2020-08-12,4.0,27.0,5.0,-1.0,-9,-1
2020-08-13,1.0,22.0,7.0,-2.0,-7,1
2020-08-14,3.0,25.0,12.0,-3.0,-1,1
2020-08-15,4.0,27.0,9.0,3.0,-5,-1
2020-08-16,6.0,27.0,9.0,2.0,-8,-2
2020-08-17,,,11.0,3.0,-6,-3
2020-08-18,,,2.0,-15.0,-40,5
2020-08-19,,,7.0,-4.0,-7,-2
2020-08-20,,,8.0,-3.0,-3,1
2020-08-21,,,12.0,,1,1
2020-08-22,,,11.0,-2.0,-2,-1
2020-08-23,,,7.0,2.0,-4,-1
2020-08-24,,,9.0,-1.0,-4,-2
2020-08-25,,,8.0,-1.0,-3,-2
2020-08-26,,,6.0,-6.0,-4,-1
2020-08-27,,,6.0,-9.0,0,1
2020-08-28,,,7.0,,2,2
2020-08-29,,,2.0,-19.0,-11,3
2020-08-30,,,-8.0,-30.0,-52,13
2020-08-31,,,12.0,-1.0,0,-1
2020-09-01,,,10.0,1.0,0,-1
2020-09-02,,,9.0,-6.0,-3,0
2020-09-03,,,9.0,-8.0,1,2
2020-09-04,,,7.0,,0,3
2020-09-05,,,14.0,-5.0,-1,0
2020-09-06,,,10.0,-2.0,-2,0
2020-09-07,,,15.0,-1.0,-1,-2
2020-09-08,,,0.0,-21.0,-40,8
2020-09-09,,,12.0,-9.0,-1,-1
2020-09-10,,,17.0,-9.0,2,1
2020-09-11,44.0,55.0,8.0,-19.0,-3,2
2020-09-12,33.0,21.0,12.0,-18.0,-1,1
2020-09-13,49.0,64.0,9.0,-19.0,-1,1
2020-09-14,53.0,70.0,12.0,-17.0,5,0
2020-09-15,54.0,66.0,11.0,-14.0,5,0
2020-09-16,55.0,65.0,12.0,-17.0,-1,1
2020-09-17,45.0,16.0,11.0,-12.0,5,2
2020-09-18,39.0,45.0,4.0,-15.0,-2,4
2020-09-19,35.0,21.0,15.0,-11.0,1,1
2020-09-20,50.0,64.0,12.0,-11.0,3,2
2020-09-21,54.0,68.0,17.0,-11.0,3,1
2020-09-22,47.0,60.0,16.0,-5.0,1,2
2020-09-23,39.0,55.0,19.0,-4.0,-4,3
2020-09-24,37.0,12.0,17.0,-6.0,1,3
2020-09-25,30.0,43.0,13.0,-10.0,-7,4
2020-09-26,24.0,15.0,19.0,-5.0,0,4
2020-09-27,42.0,57.0,22.0,0.0,0,4
2020-09-28,39.0,60.0,21.0,-2.0,3,2
2020-09-29,37.0,54.0,16.0,-1.0,0,2
2020-09-30,36.0,49.0,6.0,-5.0,-7,0
2020-10-01,33.0,7.0,1.0,-5.0,-3,-1
2020-10-02,32.0,48.0,-7.0,-9.0,-16,-1
2020-10-03,24.0,19.0,0.0,-9.0,-6,-2
2020-10-04,44.0,69.0,5.0,-7.0,-6,-1
2020-10-05,40.0,64.0,-2.0,-5.0,-4,-2
2020-10-06,39.0,57.0,-1.0,-5.0,-3,-3
2020-10-07,40.0,54.0,-2.0,-9.0,-5,-2
2020-10-08,42.0,17.0,0.0,-6.0,2,1
2020-10-09,37.0,44.0,-4.0,-14.0,-11,4
2020-10-10,26.0,17.0,2.0,-13.0,0,3
2020-10-11,46.0,64.0,5.0,-7.0,2,3
2020-10-12,48.0,64.0,1.0,-4.0,2,2
2020-10-13,45.0,61.0,0.0,-5.0,1,1
2020-10-14,45.0,63.0,0.0,-8.0,-1,2
2020-10-15,43.0,24.0,-1.0,-5.0,4,2
2020-10-16,37.0,59.0,-3.0,-10.0,-7,4
2020-10-17,24.0,21.0,0.0,-9.0,1,2
2020-10-18,42.0,61.0,4.0,-7.0,2,4
2020-10-19,43.0,73.0,2.0,-6.0,3,3
2020-10-20,37.0,61.0,-1.0,-6.0,2,2
2020-10-21,41.0,66.0,-1.0,-11.0,-2,3
2020-10-22,47.0,28.0,0.0,-5.0,3,2
2020-10-23,41.0,68.0,-6.0,-10.0,-9,4
2020-10-24,30.0,33.0,6.0,-9.0,0,2
2020-10-25,50.0,77.0,2.0,-4.0,1,3
2020-10-26,51.0,83.0,1.0,-6.0,3,1
2020-10-27,50.0,68.0,-1.0,-5.0,1,1
2020-10-28,47.0,67.0,-2.0,-4.0,-3,0
2020-10-29,15.0,-5.0,-15.0,-16.0,-43,10
2020-10-30,33.0,48.0,-9.0,-6.0,-13,3
2020-10-31,25.0,17.0,-2.0,-8.0,-3,1
2020-11-01,44.0,67.0,-2.0,-5.0,0,2
2020-11-02,48.0,68.0,-6.0,-1.0,2,0
2020-11-03,39.0,61.0,-5.0,-4.0,-1,2
2020-11-04,40.0,60.0,-3.0,-6.0,-3,1
2020-11-05,36.0,17.0,1.0,-6.0,1,1
2020-11-06,24.0,42.0,-5.0,-18.0,-12,2
2020-11-07,19.0,14.0,1.0,-13.0,0,2
2020-11-08,37.0,64.0,-2.0,-8.0,3,2
2020-11-09,37.0,63.0,-2.0,-9.0,3,1
2020-11-10,37.0,59.0,-1.0,-9.0,3,1
2020-11-11,35.0,58.0,1.0,-11.0,0,0
2020-11-12,37.0,19.0,2.0,-8.0,3,0
2020-11-13,29.0,46.0,-3.0,-11.0,-12,0
2020-11-14,19.0,11.0,5.0,-21.0,-1,1
2020-11-15,38.0,62.0,0.0,-13.0,2,2
2020-11-16,43.0,69.0,4.0,-3.0,4,-1
2020-11-17,43.0,63.0,3.0,-4.0,4,-1
2020-11-18,43.0,63.0,2.0,-12.0,1,-1
2020-11-19,22.0,5.0,-6.0,-17.0,-20,6
2020-11-20,26.0,45.0,-5.0,-15.0,-11,1
2020-11-21,21.0,19.0,1.0,-16.0,3,-1
2020-11-22,42.0,67.0,5.0,-7.0,6,-2
2020-11-23,38.0,59.0,2.0,-11.0,5,-1
2020-11-24,38.0,58.0,5.0,-10.0,5,0
2020-11-25,41.0,61.0,2.0,-8.0,4,0
2020-11-26,42.0,23.0,5.0,-3.0,7,0
2020-11-27,32.0,55.0,0.0,-10.0,-8,1
2020-11-28,25.0,25.0,5.0,-9.0,2,1
2020-11-29,44.0,75.0,3.0,-4.0,4,2
2020-11-30,41.0,69.0,2.0,-5.0,5,1
2020-12-01,40.0,68.0,4.0,-4.0,4,1
2020-12-02,42.0,66.0,6.0,-8.0,0,2
2020-12-03,41.0,23.0,5.0,-5.0,7,2
2020-12-04,35.0,61.0,3.0,-9.0,-4,2
2020-12-05,28.0,25.0,8.0,-8.0,3,2
2020-12-06,46.0,74.0,10.0,-4.0,4,2
2020-12-07,40.0,68.0,10.0,-7.0,5,1
2020-12-08,39.0,64.0,8.0,-5.0,7,1
2020-12-09,40.0,63.0,11.0,-4.0,-1,2
2020-12-10,37.0,19.0,17.0,1.0,3,5
2020-12-11,28.0,58.0,15.0,0.0,-10,6
2020-12-12,26.0,25.0,22.0,0.0,0,5
2020-12-13,44.0,70.0,26.0,4.0,1,6
2020-12-14,42.0,74.0,23.0,3.0,2,4
2020-12-15,40.0,61.0,25.0,2.0,2,4
2020-12-16,38.0,60.0,21.0,-3.0,-3,4
2020-12-17,31.0,16.0,17.0,0.0,0,5
2020-12-18,28.0,54.0,15.0,-5.0,-11,5
2020-12-19,26.0,27.0,25.0,-2.0,1,5
2020-12-20,45.0,72.0,31.0,5.0,2,4
2020-12-21,40.0,74.0,23.0,3.0,3,4
2020-12-22,37.0,61.0,20.0,3.0,3,4
2020-12-23,38.0,62.0,18.0,-1.0,-1,5
2020-12-24,36.0,20.0,21.0,1.0,4,5
2020-12-25,28.0,55.0,19.0,-2.0,-10,5
2020-12-26,21.0,23.0,25.0,-1.0,3,5
2020-12-27,34.0,57.0,26.0,1.0,0,7
2020-12-28,39.0,72.0,24.0,3.0,4,4
2020-12-29,33.0,57.0,21.0,0.0,3,4
2020-12-30,31.0,58.0,18.0,-3.0,-4,5
2020-12-31,31.0,16.0,17.0,-4.0,3,6
2021-01-01,21.0,45.0,16.0,-8.0,-13,6
2021-01-02,20.0,22.0,21.0,-1.0,2,5
2021-01-03,41.0,65.0,26.0,5.0,2,5
2021-01-04,43.0,68.0,25.0,3.0,4,3
2021-01-05,33.0,52.0,21.0,1.0,4,3
2021-01-06,29.0,48.0,15.0,-11.0,-4,2
2021-01-07,32.0,14.0,16.0,-6.0,4,4
2021-01-08,25.0,51.0,19.0,-13.0,-10,3
2021-01-09,25.0,17.0,25.0,-12.0,3,2
2021-01-10,45.0,61.0,24.0,-8.0,4,2
2021-01-11,50.0,63.0,26.0,-6.0,6,2
2021-01-12,42.0,54.0,24.0,-9.0,5,2
2021-01-13,37.0,49.0,16.0,-14.0,-2,2
