date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.03,0.98,1.07,1.03,1.02,1.01
2020-02-16,0.96,1.0,0.89,1.01,0.95,1.02
2020-02-17,0.94,0.96,1.02,0.97,1.05,1.0
2020-02-18,0.97,0.96,0.96,0.99,1.05,0.99
2020-02-19,0.9,0.88,0.97,0.9299999999999999,1.04,1.01
2020-02-20,0.96,0.95,1.0,0.97,1.04,0.99
2020-02-21,0.98,0.99,1.03,1.0,1.05,1.0
2020-02-22,1.0,1.02,1.1400000000000001,1.04,0.99,1.0
2020-02-23,0.99,1.02,1.05,0.92,0.94,1.01
2020-02-24,0.91,0.92,1.03,0.75,0.37,1.12
2020-02-25,0.83,0.8,0.88,0.72,0.31000000000000005,1.13
2020-02-26,0.97,0.97,0.98,0.9299999999999999,1.02,0.99
2020-02-27,1.02,1.03,1.05,0.97,1.04,0.99
2020-02-28,1.06,1.07,1.08,1.0,1.04,1.0
2020-02-29,1.07,1.1,1.09,1.04,1.05,1.0
2020-03-01,1.05,1.16,0.99,1.06,1.05,1.0
2020-03-02,1.06,1.09,1.08,1.03,1.08,0.99
2020-03-03,1.04,1.07,1.08,1.0,1.08,0.98
2020-03-04,1.07,1.06,1.12,0.97,1.08,0.99
2020-03-05,1.05,1.08,1.17,1.0,1.09,0.98
2020-03-06,1.06,1.06,1.1,0.97,1.08,0.99
2020-03-07,1.07,1.07,1.18,1.04,1.03,0.99
2020-03-08,1.05,1.08,1.04,0.97,1.0,1.0
2020-03-09,1.0,1.03,1.07,0.95,1.08,0.99
2020-03-10,1.01,1.03,1.03,0.94,1.08,0.98
2020-03-11,1.01,1.0,1.05,0.89,1.08,0.99
2020-03-12,1.01,1.02,1.1,0.96,1.08,0.98
2020-03-13,1.02,1.01,1.05,0.9,1.08,0.99
2020-03-14,1.02,1.02,1.08,0.96,1.02,1.01
2020-03-15,0.95,1.02,0.96,0.92,0.96,1.02
2020-03-16,0.96,1.0,1.01,0.88,1.07,0.99
2020-03-17,0.94,0.97,1.0,0.83,1.06,1.0
2020-03-18,0.96,1.01,0.99,0.88,1.05,1.0
2020-03-19,0.96,1.11,1.05,0.95,1.05,1.0
2020-03-20,0.95,1.13,0.95,0.79,1.03,1.02
