,0
2020-03-01,-0.035412579323727905
2020-03-02,0.06178113373226505
2020-03-03,0.06373195813226933
2020-03-04,0.011023615980938862
2020-03-05,-0.009172671587984849
2020-03-06,-0.03528147299206815
2020-03-07,0.008590550147147635
2020-03-08,0.019584099801069513
2020-03-09,-0.0014753952141403491
2020-03-10,0.01778050948821813
2020-03-11,-0.03745000961620865
2020-03-12,-0.05667176239970833
2020-03-13,-0.08812936022736735
2020-03-14,-0.04446788925004918
2020-03-15,-0.02663107880659346
2020-03-16,-0.03542967122625701
2020-03-17,-0.04913935881339868
2020-03-18,-0.10358912908688088
2020-03-19,-0.1272633796257626
2020-03-20,-0.22171766275503899
2020-03-21,-0.1403913995135425
2020-03-22,-0.1491796082898204
2020-03-23,-0.13996243329176464
2020-03-24,-0.16665479689377458
2020-03-25,-0.2564641999140243
2020-03-26,-0.2752350709876953
2020-03-27,-0.5333718625485502
2020-03-28,-0.45597036966606785
2020-03-29,-0.31240016279785415
2020-03-30,-0.2872729355936491
2020-03-31,-0.2755028055816523
2020-04-01,-0.312602104958992
2020-04-02,-0.3254232474382599
2020-04-03,-0.45405034483693024
2020-04-04,-0.318186599750757
2020-04-05,-0.365214504927539
2020-04-06,-0.36298052309996537
2020-04-07,-0.3464380566917411
2020-04-08,-0.38162978885741916
2020-04-09,-0.402489990659785
2020-04-10,-0.5023402252305139
2020-04-11,-0.3883084890716309
2020-04-12,-0.346240040879747
2020-04-13,-0.3370378781409927
2020-04-14,-0.3357342958846586
2020-04-15,-0.37275507151096815
2020-04-16,-0.3818535108879243
2020-04-17,-0.4936385550252497
2020-04-18,-0.36789026280699433
2020-04-19,-0.3350933592126097
2020-04-20,-0.3201815072422395
2020-04-21,-0.313855356194181
2020-04-22,-0.36521866555606647
2020-04-23,-0.3592863925382638
2020-04-24,-0.51001913859861
2020-04-25,-0.4000855605959903
2020-04-26,-0.35035894885643687
2020-04-27,-0.3410875368823858
2020-04-28,-0.3255065611447967
2020-04-29,-0.35433199103378255
2020-04-30,-0.368824784049538
2020-05-01,-0.4468205726315801
2020-05-02,-0.34134861413982864
2020-05-03,-0.298080831247049
2020-05-04,-0.3106050772683147
2020-05-05,-0.30753576964821255
2020-05-06,-0.3364072573374849
2020-05-07,-0.33849383768495217
2020-05-08,-0.4313699386367241
2020-05-09,-0.3206167750509484
2020-05-10,-0.28311494074602467
2020-05-11,-0.2834310532871095
2020-05-12,-0.2720964440302596
2020-05-13,-0.3113838912648399
2020-05-14,-0.3151700477942464
2020-05-15,-0.4146123293272534
2020-05-16,-0.29363371119669895
2020-05-17,-0.25438131602018194
2020-05-18,-0.25471639448507205
2020-05-19,-0.2674710868712462
2020-05-20,-0.2973032034209886
2020-05-21,-0.3089083636341624
2020-05-22,-0.3868422774435338
2020-05-23,-0.3794922465394523
2020-05-24,-0.4704982780335358
2020-05-25,-0.4262764394567076
2020-05-26,-0.3568907474463228
2020-05-27,-0.2786428468904843
2020-05-28,-0.2679105683169269
2020-05-29,-0.37633064256822046
2020-05-30,-0.22800594355572493
2020-05-31,-0.1861780188915743
2020-06-01,-0.15991111214995182
2020-06-02,-0.2035971964461714
2020-06-03,-0.24575801038236048
2020-06-04,-0.25270961814736354
2020-06-05,-0.3553508816202442
2020-06-06,-0.21928692549625822
2020-06-07,-0.18375100767441163
2020-06-08,-0.18327295364937424
2020-06-09,-0.18916842400793518
2020-06-10,-0.22745551931596547
2020-06-11,-0.22781279289069986
2020-06-12,-0.3324152369678173
2020-06-13,-0.19952523985210446
2020-06-14,-0.17207381707909106
2020-06-15,-0.15819894149211933
2020-06-16,-0.15773102654973062
2020-06-17,-0.1898260762319544
2020-06-18,-0.2222911526945058
2020-06-19,-0.3178072638847386
2020-06-20,-0.19180323021954468
2020-06-21,-0.16722384744581195
2020-06-22,-0.1516730415422009
2020-06-23,-0.14348335441623028
2020-06-24,-0.17325136917284
2020-06-25,-0.1819682149474325
2020-06-26,-0.2699114292435859
2020-06-27,-0.13806009120311433
2020-06-28,-0.112065403209831
2020-06-29,-0.11047687136065369
2020-06-30,-0.09368886063085963
2020-07-01,-0.1447405941126613
2020-07-02,-0.1644180686944343
2020-07-03,-0.2357436427080423
2020-07-04,-0.11886825994805589
