date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.01,0.97,0.97,1.04,0.99,1.0
2020-02-16,0.94,0.94,0.86,0.98,0.96,1.02
2020-02-17,0.9,0.92,0.77,0.98,1.07,1.01
2020-02-18,1.03,1.03,0.98,1.09,1.09,0.99
2020-02-19,1.01,1.0,1.1,1.08,1.11,0.98
2020-02-20,1.0,1.0,0.92,1.07,1.09,0.99
2020-02-21,1.03,1.04,0.91,1.09,1.09,0.99
2020-02-22,1.06,1.05,1.04,1.07,0.99,1.0
2020-02-23,1.1400000000000001,1.08,1.18,1.05,0.98,1.0
2020-02-24,0.9,0.84,1.26,0.73,0.45999999999999996,1.06
2020-02-25,0.8,0.83,1.01,0.72,0.5,1.07
2020-02-26,1.01,1.02,1.05,1.09,1.13,0.98
2020-02-27,0.99,1.0,0.95,1.08,1.12,1.0
2020-02-28,1.03,1.02,0.92,1.08,1.13,0.99
2020-02-29,1.05,1.05,0.92,1.06,1.02,1.01
2020-03-01,0.97,1.03,0.89,1.01,0.98,1.02
2020-03-02,1.01,1.04,0.92,1.07,1.16,0.99
2020-03-03,1.0,1.05,0.94,1.08,1.16,0.99
2020-03-04,0.99,1.03,0.99,1.08,1.18,0.98
2020-03-05,1.01,1.04,0.91,1.1,1.18,0.99
2020-03-06,1.06,1.08,0.9299999999999999,1.12,1.18,0.98
2020-03-07,1.05,1.07,0.9,1.08,1.03,1.01
2020-03-08,1.03,1.04,0.88,1.03,0.98,1.02
2020-03-09,1.01,1.05,0.91,1.13,1.15,0.99
2020-03-10,1.03,1.08,0.91,1.1400000000000001,1.18,0.98
2020-03-11,0.84,0.9299999999999999,0.76,0.94,1.15,1.0
2020-03-12,0.96,1.08,0.84,1.1,1.18,0.99
2020-03-13,0.95,1.1,0.83,1.07,1.18,0.99
2020-03-14,0.81,1.05,0.6,0.81,0.96,1.07
2020-03-15,0.71,1.17,0.56,0.83,0.9,1.09
2020-03-16,0.73,1.08,0.61,0.83,1.01,1.06
2020-03-17,0.5900000000000001,0.89,0.45999999999999996,0.6799999999999999,0.88,1.11
2020-03-18,0.5700000000000001,0.89,0.51,0.65,0.81,1.12
2020-03-19,0.5800000000000001,1.05,0.44999999999999996,0.65,0.76,1.13
2020-03-20,0.21999999999999997,0.6,0.19999999999999996,0.28,0.39,1.29
2020-03-21,0.17000000000000004,0.51,0.15000000000000002,0.25,0.43000000000000005,1.28
2020-03-22,0.13,0.39,0.09999999999999998,0.18999999999999995,0.42000000000000004,1.27
2020-03-23,0.12,0.36,0.12,0.15000000000000002,0.20999999999999996,1.32
2020-03-24,0.12,0.36,0.12,0.15000000000000002,0.20999999999999996,1.31
2020-03-25,0.18000000000000005,0.5,0.18000000000000005,0.22999999999999998,0.31999999999999995,1.28
2020-03-26,0.17000000000000004,0.48,0.16000000000000003,0.22999999999999998,0.31999999999999995,1.3
2020-03-27,0.18999999999999995,0.51,0.18000000000000005,0.25,0.32999999999999996,1.32
2020-03-28,0.18000000000000005,0.52,0.16000000000000003,0.25,0.41000000000000003,1.29
2020-03-29,0.14,0.39,0.10999999999999999,0.19999999999999996,0.43000000000000005,1.27
2020-03-30,0.18999999999999995,0.49,0.17000000000000004,0.22999999999999998,0.31999999999999995,1.28
2020-03-31,0.15000000000000002,0.41000000000000003,0.15000000000000002,0.18000000000000005,0.24,1.3
2020-04-01,0.20999999999999996,0.54,0.20999999999999996,0.25,0.36,1.27
2020-04-02,0.20999999999999996,0.53,0.18999999999999995,0.26,0.36,1.29
2020-04-03,0.22999999999999998,0.5900000000000001,0.21999999999999997,0.29000000000000004,0.38,1.31
2020-04-04,0.22999999999999998,0.5900000000000001,0.18999999999999995,0.29000000000000004,0.45999999999999996,1.27
2020-04-05,0.17000000000000004,0.45999999999999996,0.13,0.24,0.48,1.26
2020-04-06,0.25,0.5900000000000001,0.22999999999999998,0.30000000000000004,0.4,1.26
2020-04-07,0.18000000000000005,0.7,0.28,0.36,0.41000000000000003,1.25
2020-04-08,0.18000000000000005,0.72,0.31000000000000005,0.37,0.42000000000000004,1.24
2020-04-09,0.17000000000000004,0.7,0.25,0.32999999999999996,0.37,1.27
2020-04-10,0.09999999999999998,0.42000000000000004,0.15000000000000002,0.20999999999999996,0.24,1.35
2020-04-11,0.16000000000000003,0.6599999999999999,0.19999999999999996,0.32999999999999996,0.48,1.27
2020-04-12,0.13,0.49,0.14,0.26,0.51,1.25
2020-04-13,0.17000000000000004,0.6,0.26,0.32999999999999996,0.44999999999999996,1.25
2020-04-14,0.18999999999999995,0.69,0.30000000000000004,0.37,0.45999999999999996,1.24
2020-04-15,0.18999999999999995,0.69,0.30000000000000004,0.38,0.47,1.24
2020-04-16,0.17000000000000004,0.69,0.07999999999999996,0.39,0.47,1.26
2020-04-17,0.17000000000000004,0.71,0.07999999999999996,0.39,0.48,1.28
2020-04-18,0.15000000000000002,0.64,0.06000000000000005,0.35,0.55,1.26
2020-04-19,0.10999999999999999,0.47,0.050000000000000044,0.27,0.52,1.25
2020-04-20,0.17000000000000004,0.63,0.07999999999999996,0.38,0.51,1.24
2020-04-21,0.18000000000000005,0.6599999999999999,0.07999999999999996,0.39,0.5,1.23
2020-04-22,0.17000000000000004,0.6599999999999999,0.08999999999999997,0.39,0.51,1.23
2020-04-23,0.17000000000000004,0.65,0.07999999999999996,0.38,0.51,1.24
2020-04-24,0.17000000000000004,0.6599999999999999,0.07999999999999996,0.37,0.52,1.27
2020-04-25,0.14,0.61,0.06000000000000005,0.31999999999999995,0.56,1.26
2020-04-26,0.12,0.48,0.050000000000000044,0.28,0.53,1.25
2020-04-27,0.16000000000000003,0.6,0.06999999999999995,0.36,0.53,1.24
2020-04-28,0.16000000000000003,0.5900000000000001,0.07999999999999996,0.31999999999999995,0.51,1.2
2020-04-29,0.19999999999999996,0.73,0.09999999999999998,0.43000000000000005,0.56,1.21
2020-04-30,0.25,0.8,0.09999999999999998,0.43999999999999995,0.56,1.22
2020-05-01,0.09999999999999998,0.29000000000000004,0.06000000000000005,0.21999999999999997,0.27,1.33
2020-05-02,0.20999999999999996,0.74,0.06999999999999995,0.4,0.61,1.24
2020-05-03,0.14,0.52,0.050000000000000044,0.29000000000000004,0.5800000000000001,1.24
