,0
2020-03-01,-0.062139850228244004
2020-03-02,0.024848647233885888
2020-03-03,0.01500908665398868
2020-03-04,0.010651747558586885
2020-03-05,0.019023179059440957
2020-03-06,-0.01777284701182949
2020-03-07,0.009343341981607411
2020-03-08,0.06331248293569819
2020-03-09,0.03430864559246986
2020-03-10,0.037812394579345855
2020-03-11,0.017039381842071558
2020-03-12,0.011548074110834106
2020-03-13,-0.036974691161055374
2020-03-14,-0.021505298477703452
2020-03-15,0.019180657213236862
2020-03-16,0.019285279037407982
2020-03-17,-0.055572602806581856
2020-03-18,-0.04871010694584304
2020-03-19,-0.10186799586340858
2020-03-20,-0.20191672932759974
2020-03-21,-0.19366891239774814
2020-03-22,-0.18272472184245817
2020-03-23,-0.2017351101641978
2020-03-24,-0.19785996674660553
2020-03-25,-0.24261290059317986
2020-03-26,-0.4772724610802894
2020-03-27,-0.5465083903932074
2020-03-28,-0.5195030245583075
2020-03-29,-0.48532966142465983
2020-03-30,-0.47550943339075924
2020-03-31,-0.46151457970281373
2020-04-01,-0.46865259018957556
2020-04-02,-0.4981544306869507
2020-04-03,-0.5272271445621836
2020-04-04,-0.4861254782354109
2020-04-05,-0.457327555245635
2020-04-06,-0.47977589039831275
2020-04-07,-0.5045286904876737
2020-04-08,-0.5248117473662598
2020-04-09,-0.557962617019627
2020-04-10,-0.5962494138159998
2020-04-11,-0.573807674604323
2020-04-12,-0.5394505035204162
2020-04-13,-0.5287399985788521
2020-04-14,-0.5468299755952314
2020-04-15,-0.5561865088595261
2020-04-16,-0.5496480978351262
2020-04-17,-0.5871803831017178
2020-04-18,-0.5590730030927712
2020-04-19,-0.5234516027403774
2020-04-20,-0.5181946338685849
2020-04-21,-0.5105048183541037
2020-04-22,-0.5141515776619587
2020-04-23,-0.5229403071719283
2020-04-24,-0.5531688359230302
2020-04-25,-0.557929713278174
2020-04-26,-0.5258255815415407
2020-04-27,-0.5005194592956329
2020-04-28,-0.5023099599626945
2020-04-29,-0.4953635784611613
2020-04-30,-0.509695986438899
2020-05-01,-0.55193245581547
2020-05-02,-0.5108178661258063
2020-05-03,-0.46144982494172665
2020-05-04,-0.4462200824584689
2020-05-05,-0.43792170994007906
2020-05-06,-0.4673767237565731
2020-05-07,-0.43437724582462894
2020-05-08,-0.49632043100158496
2020-05-09,-0.4308733560782573
2020-05-10,-0.3736943567172882
2020-05-11,-0.3641471154598375
2020-05-12,-0.35559305072563846
2020-05-13,-0.38076752218968085
2020-05-14,-0.3971281165745287
2020-05-15,-0.45209997376685584
2020-05-16,-0.38808658220210235
2020-05-17,-0.34028706014911597
2020-05-18,-0.32853072682381756
2020-05-19,-0.326553296782383
2020-05-20,-0.3978507778550022
2020-05-21,-0.5146320584015557
2020-05-22,-0.4208029792265522
2020-05-23,-0.3791909911744342
2020-05-24,-0.38767039026282163
2020-05-25,-0.3240227014032374
2020-05-26,-0.36226269487964075
2020-05-27,-0.4297630311576711
2020-05-28,-0.3746147626642983
2020-05-29,-0.3854200130445568
2020-05-30,-0.32811769410423797
2020-05-31,-0.26216459611860504
2020-06-01,-0.23908716908227823
2020-06-02,-0.24483597192716441
2020-06-03,-0.2651540464143898
2020-06-04,-0.29981025594644145
2020-06-05,-0.3632836102923172
2020-06-06,-0.2900922354537439
2020-06-07,-0.22303678635484386
2020-06-08,-0.219131876367599
2020-06-09,-0.22739693532244126
2020-06-10,-0.25302686857956863
2020-06-11,-0.279698470348381
2020-06-12,-0.39086938434689605
2020-06-13,-0.3398623460655583
2020-06-14,-0.24994438363465984
2020-06-15,-0.24397044205781648
2020-06-16,-0.25520139764355576
2020-06-17,-0.33161133597014075
2020-06-18,-0.337412725880995
2020-06-19,-0.39041806448163296
2020-06-20,-0.30622664094070223
2020-06-21,-0.2548712623468501
2020-06-22,-0.24295577386745845
2020-06-23,-0.2382464660333186
2020-06-24,-0.24709876461138905
2020-06-25,-0.26419075044129114
2020-06-26,-0.33915757222179066
2020-06-27,-0.2906990170426385
2020-06-28,-0.24480948215278067
2020-06-29,-0.22093420146902706
2020-06-30,-0.21292129497562273
2020-07-01,-0.24986935850740552
2020-07-02,-0.25716254154307006
2020-07-03,-0.3149615576790792
2020-07-04,-0.24868488478348927
2020-07-05,-0.19765352466104608
2020-07-06,-0.1901989287457537
2020-07-07,-0.18293775517532068
2020-07-08,-0.2122345880531828
2020-07-09,-0.24163508899066938
2020-07-10,-0.29927397780369364
2020-07-11,-0.2604570122402757
2020-07-12,-0.2179395206768492
2020-07-13,-0.1909204369907094
2020-07-14,-0.17518601189959446
2020-07-15,-0.18591429778303079
2020-07-16,-0.1956296762467301
2020-07-17,-0.25354280837424564
2020-07-18,-0.19919977172787265
2020-07-19,-0.18209441124995462
2020-07-20,-0.19605578393453357
2020-07-21,-0.22616525603489618
2020-07-22,-0.21284854046996105
2020-07-23,-0.1965473202231494
2020-07-24,-0.25058118154045395
2020-07-25,-0.182222901256325
2020-07-26,-0.12589234080885003
2020-07-27,-0.1419106242363892
2020-07-28,-0.11112378034982312
2020-07-29,-0.0991234150579772
2020-07-30,-0.05609524374347234
2020-07-31,-0.0777004741332964
2020-08-01,-0.2130059453022632
2020-08-02,-0.12781307156402857
2020-08-03,-0.06175445430527129
2020-08-04,-0.06808628879983458
2020-08-05,-0.07526774816124471
2020-08-06,-0.10315224646381874
2020-08-07,-0.10424849216507734
2020-08-08,-0.07144152364764915
2020-08-09,-0.06254110397272371
2020-08-10,-0.06302475232331263
2020-08-11,-0.12879279945800332
2020-08-12,-0.10661724117890628
2020-08-13,-0.10741152355436666
2020-08-14,-0.13704823631304053
2020-08-15,-0.1323150677991342
2020-08-16,-0.06681394536346483
2020-08-17,-0.0908462809082022
2020-08-18,-0.08595468756889564
2020-08-19,-0.10000412160337001
2020-08-20,-0.14817176955649047
2020-08-21,-0.21053818838228183
2020-08-22,-0.1683127315589692
2020-08-23,-0.09482701421533933
2020-08-24,-0.07587394277451194
2020-08-25,-0.08502566446930271
2020-08-26,-0.09994531951388301
2020-08-27,-0.10342751681786097
2020-08-28,-0.1376199332746099
2020-08-29,-0.12069665152321751
2020-08-30,-0.12104004318239006
2020-08-31,-0.04819959674219558
2020-09-01,-0.11664113731537307
2020-09-02,-0.09305123468747695
2020-09-03,-0.11099546174142122
2020-09-04,-0.1458821944663635
2020-09-05,-0.10255274329472139
2020-09-06,-0.06024156904711589
2020-09-07,-0.07672728719214181
2020-09-08,-0.05493927806081402
2020-09-09,-0.08865123979246756
2020-09-10,-0.12401825350886105
2020-09-11,-0.15014844468149904
2020-09-12,-0.10469653351284873
2020-09-13,-0.051740698503736464
2020-09-14,-0.05847436004850646
2020-09-15,-0.0555116460620222
2020-09-16,-0.07886869314859263
2020-09-17,-0.11899069813070454
2020-09-18,-0.1642900629509133
2020-09-19,-0.09363968192445953
2020-09-20,-0.0548005958422474
2020-09-21,-0.08033967787538245
2020-09-22,-0.11923668272700019
2020-09-23,-0.11526363482798481
2020-09-24,-0.12672958011233654
2020-09-25,-0.189662806487965
2020-09-26,-0.14034533451539674
2020-09-27,-0.06805664552735514
2020-09-28,-0.04098706920955845
2020-09-29,-0.040662793771163386
2020-09-30,-0.06182034366062298
2020-10-01,-0.06997788322649336
2020-10-02,-0.11804280525996687
2020-10-03,-0.06587434794633401
2020-10-04,-0.00901760455967815
2020-10-05,-0.025963695760321273
2020-10-06,-0.040478328913434856
2020-10-07,-0.04968187040115685
