date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.04,1.06,1.1,1.07,1.08,1.01
2020-02-16,1.03,1.03,1.05,1.04,1.08,1.0
2020-02-17,1.01,1.04,1.03,1.02,1.05,1.01
2020-02-18,1.02,1.03,1.02,1.03,1.05,1.01
2020-02-19,1.01,1.01,1.03,1.02,1.05,1.01
2020-02-20,1.02,1.04,1.04,1.04,1.07,1.01
2020-02-21,1.02,1.06,1.18,1.05,1.0,1.02
2020-02-22,1.02,1.04,1.1,1.06,1.08,1.01
2020-02-23,1.04,1.04,1.08,1.04,1.11,1.0
2020-02-24,1.01,1.03,1.05,1.01,1.07,1.01
2020-02-25,0.99,1.0,1.01,1.02,1.06,1.01
2020-02-26,1.0,1.01,1.05,1.01,1.07,1.01
2020-02-27,1.04,1.06,1.08,1.05,1.08,1.01
2020-02-28,1.07,1.06,1.16,1.09,1.06,1.0
2020-02-29,1.06,1.06,1.1400000000000001,1.08,1.11,1.0
2020-03-01,1.05,1.06,1.05,1.05,1.12,1.0
2020-03-02,1.03,1.06,1.03,1.03,1.08,1.01
2020-03-03,1.02,1.03,1.02,1.03,1.07,1.01
2020-03-04,1.04,1.05,1.05,1.05,1.08,1.01
2020-03-05,1.07,1.09,1.06,1.09,1.11,1.0
2020-03-06,0.9,0.92,0.91,0.9299999999999999,0.96,1.02
2020-03-07,1.08,1.08,1.11,1.1,1.13,0.99
2020-03-08,1.09,1.09,1.1,1.09,1.13,0.99
2020-03-09,1.05,1.08,1.06,1.04,1.06,1.01
2020-03-10,1.05,1.07,1.05,1.06,1.08,1.01
2020-03-11,1.04,1.06,1.05,1.05,1.09,1.01
2020-03-12,1.04,1.07,1.04,1.05,1.11,1.01
2020-03-13,1.05,1.07,1.06,1.05,1.07,1.02
2020-03-14,1.0,1.03,1.03,1.02,1.11,1.01
2020-03-15,1.05,1.06,1.05,1.04,1.13,1.0
2020-03-16,1.04,1.09,1.04,1.05,1.09,1.01
2020-03-17,0.94,1.03,1.07,0.95,0.6699999999999999,1.1
2020-03-18,0.94,1.05,0.98,0.98,1.0,1.03
2020-03-19,0.88,1.03,0.91,0.91,1.01,1.05
2020-03-20,0.76,0.98,0.8200000000000001,0.83,1.04,1.07
2020-03-21,0.75,0.95,0.86,0.81,1.0,1.08
2020-03-22,0.75,0.92,0.87,0.78,0.95,1.07
2020-03-23,0.69,0.9299999999999999,0.84,0.74,0.86,1.1
2020-03-24,0.65,0.91,0.85,0.78,0.8,1.1
2020-03-25,0.47,0.74,0.83,0.63,0.64,1.13
2020-03-26,0.27,0.49,0.69,0.30000000000000004,0.33999999999999997,1.27
2020-03-27,0.29000000000000004,0.53,0.65,0.32999999999999996,0.62,1.19
2020-03-28,0.29000000000000004,0.52,0.72,0.33999999999999997,0.45999999999999996,1.24
2020-03-29,0.31999999999999995,0.54,0.74,0.33999999999999997,0.4,1.24
2020-03-30,0.31000000000000005,0.55,0.74,0.33999999999999997,0.39,1.24
2020-03-31,0.32999999999999996,0.5700000000000001,0.75,0.35,0.4,1.23
2020-04-01,0.32999999999999996,0.56,0.75,0.36,0.41000000000000003,1.23
2020-04-02,0.30000000000000004,0.51,0.69,0.31999999999999995,0.41000000000000003,1.25
2020-04-03,0.30000000000000004,0.54,0.6599999999999999,0.33999999999999997,0.65,1.17
2020-04-04,0.31000000000000005,0.54,0.71,0.36,0.49,1.22
2020-04-05,0.32999999999999996,0.56,0.71,0.36,0.45999999999999996,1.22
2020-04-06,0.29000000000000004,0.51,0.69,0.31999999999999995,0.4,1.24
2020-04-07,0.28,0.5,0.69,0.30000000000000004,0.37,1.25
2020-04-08,0.27,0.49,0.69,0.30000000000000004,0.37,1.26
2020-04-09,0.25,0.45999999999999996,0.64,0.27,0.37,1.28
2020-04-10,0.22999999999999998,0.43999999999999995,0.6,0.27,0.5700000000000001,1.21
2020-04-11,0.24,0.44999999999999996,0.6599999999999999,0.28,0.42000000000000004,1.25
2020-04-12,0.27,0.45999999999999996,0.6799999999999999,0.29000000000000004,0.39,1.24
2020-04-13,0.26,0.47,0.69,0.29000000000000004,0.37,1.26
2020-04-14,0.25,0.44999999999999996,0.6799999999999999,0.27,0.33999999999999997,1.27
2020-04-15,0.25,0.43999999999999995,0.6799999999999999,0.28,0.38,1.26
2020-04-16,0.26,0.45999999999999996,0.6799999999999999,0.28,0.41000000000000003,1.27
2020-04-17,0.25,0.45999999999999996,0.64,0.28,0.62,1.2
2020-04-18,0.25,0.44999999999999996,0.65,0.29000000000000004,0.44999999999999996,1.25
2020-04-19,0.28,0.47,0.6599999999999999,0.30000000000000004,0.41000000000000003,1.24
2020-04-20,0.26,0.45999999999999996,0.6699999999999999,0.29000000000000004,0.39,1.25
2020-04-21,0.27,0.47,0.6799999999999999,0.30000000000000004,0.39,1.25
2020-04-22,0.27,0.47,0.6699999999999999,0.30000000000000004,0.4,1.25
2020-04-23,0.27,0.47,0.64,0.29000000000000004,0.42000000000000004,1.26
2020-04-24,0.27,0.5,0.5900000000000001,0.31000000000000005,0.65,1.18
2020-04-25,0.25,0.45999999999999996,0.62,0.30000000000000004,0.45999999999999996,1.26
2020-04-26,0.27,0.43999999999999995,0.61,0.29000000000000004,0.43999999999999995,1.25
2020-04-27,0.27,0.47,0.64,0.30000000000000004,0.43999999999999995,1.25
2020-04-28,0.28,0.45999999999999996,0.64,0.31000000000000005,0.44999999999999996,1.24
2020-04-29,0.29000000000000004,0.49,0.6699999999999999,0.32999999999999996,0.47,1.24
2020-04-30,0.29000000000000004,0.49,0.64,0.31000000000000005,0.5,1.26
2020-05-01,0.26,0.47,0.5800000000000001,0.31000000000000005,0.6699999999999999,1.19
2020-05-02,0.28,0.48,0.64,0.32999999999999996,0.5800000000000001,1.23
2020-05-03,0.32999999999999996,0.52,0.65,0.35,0.53,1.22
2020-05-04,0.31999999999999995,0.52,0.6599999999999999,0.35,0.51,1.22
2020-05-05,0.31999999999999995,0.52,0.65,0.36,0.52,1.22
2020-05-06,0.31999999999999995,0.52,0.6699999999999999,0.36,0.48,1.22
2020-05-07,0.33999999999999997,0.56,0.64,0.37,0.5700000000000001,1.22
2020-05-08,0.32999999999999996,0.5700000000000001,0.62,0.38,0.79,1.16
2020-05-09,0.36,0.5800000000000001,0.6699999999999999,0.41000000000000003,0.6599999999999999,1.2
2020-05-10,0.43000000000000005,0.63,0.6799999999999999,0.44999999999999996,0.63,1.19
2020-05-11,0.42000000000000004,0.64,0.7,0.44999999999999996,0.6,1.19
2020-05-12,0.43999999999999995,0.65,0.7,0.45999999999999996,0.6,1.19
2020-05-13,0.41000000000000003,0.61,0.69,0.43999999999999995,0.6,1.2
2020-05-14,0.43000000000000005,0.65,0.6799999999999999,0.43999999999999995,0.64,1.2
2020-05-15,0.41000000000000003,0.6599999999999999,0.65,0.45999999999999996,0.89,1.15
2020-05-16,0.44999999999999996,0.6799999999999999,0.72,0.49,0.73,1.18
2020-05-17,0.47,0.6799999999999999,0.71,0.49,0.6599999999999999,1.18
2020-05-18,0.45999999999999996,0.69,0.72,0.5,0.62,1.19
2020-05-19,0.47,0.69,0.71,0.51,0.61,1.18
2020-05-20,0.43000000000000005,0.63,0.6599999999999999,0.45999999999999996,0.5800000000000001,1.18
2020-05-21,0.37,0.55,0.6,0.38,0.49,1.19
2020-05-22,0.48,0.76,0.65,0.52,0.9,1.12
2020-05-23,0.49,0.77,0.74,0.52,0.61,1.19
2020-05-24,0.54,0.85,0.8,0.55,0.48,1.2
2020-05-25,0.38,0.5900000000000001,0.97,0.43000000000000005,0.38,1.18
2020-05-26,0.35,0.5700000000000001,0.86,0.42000000000000004,0.38,1.19
2020-05-27,0.31999999999999995,0.5,0.74,0.38,0.44999999999999996,1.18
2020-05-28,0.41000000000000003,0.64,0.78,0.44999999999999996,0.56,1.18
2020-05-29,0.4,0.6699999999999999,0.73,0.49,0.8200000000000001,1.13
2020-05-30,0.43999999999999995,0.6699999999999999,0.76,0.51,0.72,1.15
2020-05-31,0.53,0.75,0.79,0.5800000000000001,0.75,1.13
2020-06-01,0.53,0.74,0.77,0.5900000000000001,0.73,1.1400000000000001
2020-06-02,0.53,0.73,0.78,0.5900000000000001,0.72,1.1400000000000001
2020-06-03,0.53,0.73,0.78,0.5900000000000001,0.73,1.1400000000000001
2020-06-04,0.5,0.6799999999999999,0.71,0.54,0.74,1.16
2020-06-05,0.5,0.74,0.72,0.5800000000000001,0.92,1.12
2020-06-06,0.54,0.76,0.77,0.61,0.83,1.1400000000000001
2020-06-07,0.6,0.8,0.8,0.64,0.78,1.13
