date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.04,1.05,0.95,1.01,1.07,1.01
2020-02-16,1.0,1.05,0.95,0.99,1.01,1.02
2020-02-17,0.99,1.03,0.96,1.06,1.15,0.99
2020-02-18,0.97,1.01,0.97,1.1,1.17,0.99
2020-02-19,0.95,0.95,0.95,1.06,1.13,0.98
2020-02-20,0.95,0.96,0.94,1.02,1.07,0.99
2020-02-21,0.98,0.99,0.94,1.08,1.13,0.99
2020-02-22,0.98,0.98,0.92,1.02,1.04,1.0
2020-02-23,0.9299999999999999,0.96,0.89,0.95,0.98,1.02
2020-02-24,0.9299999999999999,0.96,0.91,1.06,1.11,1.0
2020-02-25,0.92,0.95,0.91,1.08,1.13,1.0
2020-02-26,0.94,0.95,0.95,1.07,1.13,0.98
2020-02-27,0.95,0.98,0.94,1.04,1.13,0.98
2020-02-28,1.03,1.07,0.96,1.1,1.2,0.97
2020-02-29,1.08,1.11,0.98,1.08,1.1,0.99
2020-03-01,1.05,1.13,0.98,1.04,1.03,1.01
2020-03-02,1.02,1.08,0.96,1.12,1.17,0.98
2020-03-03,1.0,1.07,0.97,1.15,1.19,0.98
2020-03-04,0.99,1.02,0.98,1.09,1.15,0.98
2020-03-05,0.99,1.04,0.99,1.09,1.1400000000000001,0.98
2020-03-06,1.01,1.04,0.97,1.12,1.21,0.97
2020-03-07,1.03,1.05,0.96,1.04,1.1,1.0
2020-03-08,1.06,1.05,0.97,1.01,1.04,1.01
2020-03-09,0.95,0.99,0.91,1.08,1.16,0.99
2020-03-10,0.9299999999999999,0.98,0.91,1.13,1.18,0.99
2020-03-11,0.92,0.97,0.9299999999999999,1.08,1.1400000000000001,0.98
2020-03-12,0.91,0.99,0.92,1.03,1.13,0.99
2020-03-13,0.94,1.02,0.89,1.04,1.18,0.99
2020-03-14,0.95,1.07,0.9,0.96,1.08,1.01
2020-03-15,0.86,1.09,0.84,0.89,1.01,1.04
2020-03-16,0.85,1.12,0.8200000000000001,0.86,0.97,1.05
2020-03-17,0.77,1.13,0.8,0.81,0.89,1.09
2020-03-18,0.71,1.08,0.76,0.73,0.8,1.11
2020-03-19,0.69,1.07,0.75,0.71,0.76,1.11
2020-03-20,0.38,0.71,0.49,0.37,0.53,1.25
2020-03-21,0.17000000000000004,0.44999999999999996,0.25,0.21999999999999997,0.35,1.3
2020-03-22,0.15000000000000002,0.36,0.20999999999999996,0.22999999999999998,0.44999999999999996,1.25
2020-03-23,0.14,0.33999999999999997,0.22999999999999998,0.16000000000000003,0.18000000000000005,1.37
2020-03-24,0.29000000000000004,0.5900000000000001,0.4,0.35,0.38,1.28
2020-03-25,0.17000000000000004,0.36,0.25,0.19999999999999996,0.25,1.35
2020-03-26,0.18000000000000005,0.39,0.26,0.19999999999999996,0.25,1.35
2020-03-27,0.18000000000000005,0.41000000000000003,0.26,0.19999999999999996,0.27,1.38
2020-03-28,0.16000000000000003,0.39,0.24,0.19999999999999996,0.31999999999999995,1.31
2020-03-29,0.14,0.31999999999999995,0.19999999999999996,0.18000000000000005,0.42000000000000004,1.26
2020-03-30,0.20999999999999996,0.43999999999999995,0.29000000000000004,0.20999999999999996,0.27,1.34
2020-03-31,0.21999999999999997,0.48,0.31000000000000005,0.21999999999999997,0.28,1.34
2020-04-01,0.21999999999999997,0.47,0.31000000000000005,0.21999999999999997,0.27,1.33
2020-04-02,0.21999999999999997,0.49,0.31999999999999995,0.21999999999999997,0.27,1.34
2020-04-03,0.20999999999999996,0.47,0.29000000000000004,0.21999999999999997,0.29000000000000004,1.3599999999999999
2020-04-04,0.18000000000000005,0.42000000000000004,0.26,0.20999999999999996,0.33999999999999997,1.31
2020-04-05,0.15000000000000002,0.33999999999999997,0.20999999999999996,0.18999999999999995,0.43000000000000005,1.26
2020-04-06,0.22999999999999998,0.45999999999999996,0.31000000000000005,0.21999999999999997,0.28,1.34
2020-04-07,0.24,0.51,0.32999999999999996,0.24,0.29000000000000004,1.33
2020-04-08,0.24,0.53,0.35,0.24,0.28,1.32
2020-04-09,0.15000000000000002,0.37,0.24,0.15000000000000002,0.17000000000000004,1.38
2020-04-10,0.09999999999999998,0.25,0.18000000000000005,0.12,0.15000000000000002,1.42
2020-04-11,0.16000000000000003,0.35,0.22999999999999998,0.18999999999999995,0.31000000000000005,1.32
