date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,13.0,8.0,37.0,14.0,3.0,-2.0
2020-02-16,12.0,8.0,28.0,9.0,2.0,-1.0
2020-02-17,4.0,2.0,17.0,1.0,-2.0,0.0
2020-02-18,9.0,5.0,22.0,2.0,-2.0,0.0
2020-02-19,4.0,1.0,6.0,-2.0,-2.0,0.0
2020-02-20,4.0,2.0,16.0,0.0,-3.0,0.0
2020-02-21,2.0,3.0,4.0,-1.0,-3.0,0.0
2020-02-22,9.0,6.0,30.0,11.0,5.0,-3.0
2020-02-23,3.0,3.0,-17.0,1.0,1.0,0.0
2020-02-24,3.0,2.0,13.0,1.0,0.0,0.0
2020-02-25,6.0,6.0,13.0,2.0,0.0,0.0
2020-02-26,3.0,6.0,10.0,0.0,-1.0,0.0
2020-02-27,3.0,11.0,9.0,-1.0,-1.0,0.0
2020-02-28,0.0,6.0,0.0,0.0,-1.0,0.0
2020-02-29,1.0,4.0,0.0,2.0,5.0,0.0
2020-03-01,8.0,9.0,29.0,9.0,4.0,-1.0
2020-03-02,0.0,4.0,18.0,0.0,0.0,0.0
2020-03-03,0.0,1.0,-9.0,-6.0,-1.0,1.0
2020-03-04,3.0,2.0,17.0,0.0,-1.0,0.0
2020-03-05,2.0,2.0,21.0,-1.0,-1.0,0.0
2020-03-06,0.0,4.0,2.0,-1.0,-1.0,1.0
2020-03-07,0.0,6.0,-6.0,-1.0,4.0,0.0
2020-03-08,13.0,17.0,45.0,9.0,5.0,-1.0
2020-03-09,0.0,3.0,8.0,-2.0,0.0,1.0
2020-03-10,3.0,18.0,6.0,-2.0,-1.0,1.0
2020-03-11,-6.0,8.0,-11.0,-17.0,-14.0,5.0
2020-03-12,-5.0,21.0,12.0,-18.0,-15.0,5.0
2020-03-13,-20.0,13.0,-2.0,-26.0,-18.0,8.0
2020-03-14,-56.0,16.0,21.0,-26.0,-6.0,5.0
2020-03-15,-57.0,13.0,37.0,-31.0,-12.0,4.0
2020-03-16,-61.0,-13.0,-20.0,-50.0,-30.0,15.0
2020-03-17,-65.0,-24.0,-17.0,-56.0,-39.0,18.0
2020-03-18,-65.0,-21.0,-1.0,-55.0,-41.0,19.0
2020-03-19,-67.0,-22.0,-11.0,-58.0,-44.0,20.0
2020-03-20,-68.0,-16.0,-26.0,-59.0,-44.0,22.0
2020-03-21,-79.0,-22.0,-62.0,-66.0,-32.0,15.0
2020-03-22,-77.0,-29.0,-39.0,-65.0,-32.0,12.0
2020-03-23,-64.0,-22.0,-27.0,-60.0,-44.0,21.0
2020-03-24,-64.0,-20.0,-17.0,-59.0,-45.0,21.0
2020-03-25,-64.0,-20.0,-15.0,-58.0,-45.0,21.0
2020-03-26,-65.0,-20.0,-24.0,-60.0,-46.0,22.0
2020-03-27,-64.0,-16.0,2.0,-56.0,-45.0,22.0
2020-03-28,-71.0,-19.0,18.0,-49.0,-27.0,11.0
2020-03-29,-73.0,-26.0,-24.0,-61.0,-31.0,11.0
2020-03-30,-61.0,-19.0,-20.0,-58.0,-44.0,20.0
2020-03-31,-62.0,-18.0,-28.0,-59.0,-45.0,21.0
2020-04-01,-61.0,-16.0,0.0,-55.0,-44.0,20.0
2020-04-02,-60.0,-15.0,5.0,-56.0,-45.0,20.0
2020-04-03,-63.0,-12.0,-24.0,-58.0,-44.0,22.0
2020-04-04,-70.0,-16.0,-6.0,-51.0,-27.0,11.0
2020-04-05,-63.0,-13.0,45.0,-46.0,-27.0,7.0
2020-04-06,-54.0,-12.0,18.0,-51.0,-43.0,18.0
2020-04-07,-63.0,-1.0,1.0,-45.0,-44.0,17.0
2020-04-08,-62.0,7.0,2.0,-44.0,-44.0,16.0
2020-04-09,-54.0,23.0,2.0,-42.0,-46.0,14.0
2020-04-10,-74.0,-22.0,11.0,-58.0,-78.0,27.0
2020-04-11,-67.0,4.0,9.0,-37.0,-27.0,7.0
2020-04-12,-63.0,1.0,35.0,-38.0,-24.0,5.0
2020-04-13,-89.0,-90.0,-35.0,-73.0,-85.0,30.0
2020-04-14,-64.0,1.0,-39.0,-50.0,-41.0,18.0
2020-04-15,-62.0,-7.0,-16.0,-44.0,-39.0,17.0
2020-04-16,-56.0,-6.0,19.0,-43.0,-39.0,15.0
2020-04-17,-58.0,-2.0,8.0,-43.0,-39.0,16.0
2020-04-18,-61.0,-3.0,28.0,-31.0,-14.0,5.0
2020-04-19,-64.0,-11.0,-6.0,-47.0,-22.0,7.0
2020-04-20,-55.0,-6.0,2.0,-44.0,-38.0,15.0
2020-04-21,-54.0,-4.0,12.0,-42.0,-38.0,15.0
2020-04-22,-54.0,-4.0,19.0,-41.0,-37.0,14.0
2020-04-23,-54.0,-2.0,23.0,-41.0,-37.0,14.0
2020-04-24,-56.0,-2.0,14.0,-41.0,-37.0,14.0
2020-04-25,-63.0,-4.0,4.0,-35.0,-14.0,6.0
2020-04-26,-55.0,-6.0,43.0,-32.0,-14.0,3.0
2020-04-27,-45.0,-3.0,23.0,-37.0,-33.0,12.0
2020-04-28,-45.0,-1.0,32.0,-34.0,-34.0,11.0
2020-04-29,-50.0,5.0,-12.0,-39.0,-35.0,14.0
2020-04-30,-41.0,17.0,19.0,-34.0,-35.0,9.0
2020-05-01,-66.0,-31.0,33.0,-55.0,-76.0,24.0
2020-05-02,-55.0,-3.0,10.0,-35.0,-17.0,6.0
2020-05-03,-53.0,-5.0,9.0,-38.0,-14.0,4.0
2020-05-04,-44.0,-2.0,2.0,-37.0,-30.0,12.0
2020-05-05,-45.0,1.0,-1.0,-37.0,-31.0,12.0
2020-05-06,-44.0,8.0,4.0,-33.0,-30.0,12.0
2020-05-07,-31.0,34.0,38.0,-27.0,-32.0,8.0
2020-05-08,-68.0,-77.0,95.0,-46.0,-75.0,20.0
2020-05-09,-40.0,24.0,73.0,-19.0,-7.0,0.0
2020-05-10,-42.0,12.0,27.0,-30.0,-1.0,-1.0
2020-05-11,-34.0,4.0,-25.0,-32.0,-25.0,11.0
2020-05-12,-28.0,13.0,4.0,-24.0,-24.0,10.0
2020-05-13,-32.0,7.0,-10.0,-25.0,-24.0,10.0
2020-05-14,-36.0,2.0,-39.0,-20.0,-25.0,9.0
2020-05-15,-38.0,2.0,-39.0,-20.0,-25.0,10.0
2020-05-16,-31.0,0.0,1.0,2.0,7.0,0.0
2020-05-17,-22.0,-1.0,13.0,-3.0,7.0,-1.0
2020-05-18,-26.0,-3.0,-14.0,-12.0,-21.0,7.0
2020-05-19,-24.0,-1.0,-9.0,-11.0,-21.0,7.0
2020-05-20,-19.0,4.0,-9.0,-14.0,-21.0,7.0
2020-05-21,-17.0,5.0,-1.0,-14.0,-22.0,7.0
2020-05-22,-24.0,3.0,-6.0,-17.0,-23.0,7.0
2020-05-23,-40.0,3.0,-48.0,-28.0,-1.0,5.0
2020-05-24,-26.0,2.0,-10.0,-16.0,6.0,1.0
2020-05-25,-18.0,0.0,-39.0,-19.0,-20.0,8.0
2020-05-26,-13.0,2.0,-19.0,-14.0,-18.0,7.0
2020-05-27,-9.0,1.0,4.0,-7.0,-17.0,5.0
