,0
2020-03-01,-0.04392
2020-03-02,0.00929
2020-03-03,0.02359
2020-03-04,0.01577
2020-03-05,0.00145
2020-03-06,0.00478
2020-03-07,0.02489
2020-03-08,0.04368
2020-03-09,0.03275
2020-03-10,0.0486
2020-03-11,0.02311
2020-03-12,0.00767
2020-03-13,0.0106
2020-03-14,0.01795
2020-03-15,0.01944
2020-03-16,0.007400000000000001
2020-03-17,0.00575
2020-03-18,-0.00212
2020-03-19,-0.02402
2020-03-20,-0.06678
2020-03-21,-0.05887
2020-03-22,-0.25658
2020-03-23,-0.10901
2020-03-24,-0.21979
2020-03-25,-0.28718
2020-03-26,-0.38936
2020-03-27,-0.39673
2020-03-28,-0.35292
2020-03-29,-0.3739
2020-03-30,-0.3508
2020-03-31,-0.36059
2020-04-01,-0.36111
2020-04-02,-0.36018
2020-04-03,-0.34086
2020-04-04,-0.3102
2020-04-05,-0.32661
2020-04-06,-0.34869
2020-04-07,-0.33253
2020-04-08,-0.3525
2020-04-09,-0.34926
2020-04-10,-0.34052
2020-04-11,-0.31276
2020-04-12,-0.34823
2020-04-13,-0.3322
2020-04-14,-0.35371
2020-04-15,-0.34855
2020-04-16,-0.34632
2020-04-17,-0.33654
2020-04-18,-0.28877
2020-04-19,-0.33923
2020-04-20,-0.31188
2020-04-21,-0.3986
2020-04-22,-0.33628
2020-04-23,-0.28977
2020-04-24,-0.35445
2020-04-25,-0.35134
2020-04-26,-0.35659
2020-04-27,-0.33734
2020-04-28,-0.31795
2020-04-29,-0.31746
2020-04-30,-0.30624
2020-05-01,-0.27086
2020-05-02,-0.26341
2020-05-03,-0.2966
2020-05-04,-0.2891
2020-05-05,-0.28235
2020-05-06,-0.26819
2020-05-07,-0.24077
2020-05-08,-0.17563
2020-05-09,-0.16428
2020-05-10,-0.2035
2020-05-11,-0.18589
2020-05-12,-0.17761
2020-05-13,-0.20769
2020-05-14,-0.21385
2020-05-15,-0.14693
2020-05-16,-0.12722
2020-05-17,-0.0936
2020-05-18,-0.05075
2020-05-19,-0.06638
2020-05-20,-0.06035000000000001
2020-05-21,-0.03172
2020-05-22,0.07065
2020-05-23,0.02604
2020-05-24,-0.02259
2020-05-25,-0.21843
2020-05-26,-0.05484
2020-05-27,-0.08275
2020-05-28,-0.08952
2020-05-29,-0.08857
2020-05-30,-0.02308
2020-05-31,0.007580000000000001
2020-06-01,0.01198
2020-06-02,-0.00566
2020-06-03,-0.02016
2020-06-04,0.00509
2020-06-05,-0.06262
2020-06-06,-0.0332
2020-06-07,0.0012
2020-06-08,0.02075
2020-06-09,0.00869
2020-06-10,-0.00221
2020-06-11,0.01541
2020-06-12,-0.03494
2020-06-13,0.03617
2020-06-14,0.03811
2020-06-15,0.04467
2020-06-16,0.03333
2020-06-17,0.0037000000000000006
2020-06-18,-0.01262
2020-06-19,-0.0128
2020-06-20,0.01679
2020-06-21,0.01323
2020-06-22,0.03947
2020-06-23,0.04316
2020-06-24,0.02964
2020-06-25,0.06913
2020-06-26,0.05525
2020-06-27,-0.00567
2020-06-28,-0.14692
2020-06-29,0.06615
2020-06-30,0.05904999999999999
2020-07-01,0.04566
2020-07-02,0.03462
2020-07-03,0.06619
2020-07-04,0.08271
2020-07-05,0.08309
2020-07-06,0.09379
2020-07-07,0.11172
2020-07-08,0.07124
2020-07-09,0.02436
2020-07-10,0.0651
2020-07-11,0.07437
2020-07-12,0.06861
2020-07-13,0.07636
2020-07-14,0.05504
2020-07-15,0.03879
2020-07-16,0.06668
2020-07-17,0.10137
2020-07-18,0.10411
2020-07-19,0.09291
2020-07-20,0.09612
2020-07-21,0.09488
2020-07-22,0.058070000000000004
2020-07-23,0.04879
2020-07-24,0.03689
2020-07-25,0.09918
2020-07-26,0.12139
2020-07-27,0.1282
2020-07-28,0.19697
2020-07-29,0.21188
2020-07-30,-0.02624
2020-07-31,0.40966
2020-08-01,0.05057
2020-08-02,0.14965
2020-08-03,0.13857
2020-08-04,0.12993
2020-08-05,0.13754
2020-08-06,0.15215
2020-08-07,0.07884
2020-08-08,0.10201
2020-08-09,0.11999
2020-08-10,0.12064999999999998
2020-08-11,0.1306
2020-08-12,0.10002
2020-08-13,0.08516
2020-08-14,0.09356
2020-08-15,0.11480000000000001
2020-08-16,0.1034
2020-08-17,0.11484999999999998
2020-08-18,0.10681
2020-08-19,0.10755
2020-08-20,-0.09601
2020-08-21,0.09612
2020-08-22,0.10473
2020-08-23,0.10483
2020-08-24,0.07171
2020-08-25,0.08573
2020-08-26,0.10391
2020-08-27,0.12053000000000001
2020-08-28,0.12539
2020-08-29,0.15511
2020-08-30,0.13242
2020-08-31,0.15935
2020-09-01,0.14363
2020-09-02,0.13955
2020-09-03,0.07217
2020-09-04,0.06289
2020-09-05,0.10229
2020-09-06,0.13892
2020-09-07,0.13626
2020-09-08,0.11971
2020-09-09,0.08256
2020-09-10,0.03839
2020-09-11,0.01655
2020-09-12,0.05463
2020-09-13,0.10352
2020-09-14,0.09754
2020-09-15,0.08101
2020-09-16,0.06629
2020-09-17,0.01365
2020-09-18,-0.004
2020-09-19,0.029030000000000004
2020-09-20,0.05724
2020-09-21,0.0435
2020-09-22,0.05961999999999999
2020-09-23,0.057319999999999996
2020-09-24,0.00604
2020-09-25,-0.02225
2020-09-26,0.00932
2020-09-27,0.03271
2020-09-28,0.09527
2020-09-29,0.08796
2020-09-30,0.10251
2020-10-01,0.10287
2020-10-02,0.06228
2020-10-03,0.09363
2020-10-04,0.1274
2020-10-05,0.12603
2020-10-06,0.10077
2020-10-07,0.11063
2020-10-08,0.10427
2020-10-09,0.058350000000000006
2020-10-10,0.05033
2020-10-11,0.08561
2020-10-12,0.0856
2020-10-13,0.09117
2020-10-14,0.08894
2020-10-15,0.09364
2020-10-16,0.06511
2020-10-17,0.08116
2020-10-18,0.10062
2020-10-19,0.09744
2020-10-20,0.06716
2020-10-21,0.05992
2020-10-22,0.060599999999999994
2020-10-23,0.01582
2020-10-24,0.0559
2020-10-25,0.08642
2020-10-26,0.07576
2020-10-27,0.08033
2020-10-28,0.12975
2020-10-29,-0.13802
2020-10-30,0.01799
2020-10-31,0.06343
2020-11-01,0.11620000000000001
2020-11-02,0.1237
2020-11-03,0.14993
2020-11-04,0.16448
2020-11-05,0.11984
2020-11-06,0.07129
2020-11-07,0.05581
2020-11-08,0.12847
2020-11-09,0.13941
2020-11-10,0.15163
2020-11-11,0.13526
2020-11-12,0.1523
2020-11-13,0.06562
2020-11-14,0.10549
2020-11-15,0.16263
2020-11-16,0.13911
2020-11-17,0.12169
2020-11-18,0.13439
2020-11-19,0.11626
2020-11-20,0.03356
2020-11-21,0.08362
2020-11-22,0.13052
2020-11-23,0.14592
2020-11-24,0.11826
2020-11-25,0.03394
2020-11-26,-0.0266
2020-11-27,-0.08087
2020-11-28,0.04635
2020-11-29,0.12603
2020-11-30,0.15061
2020-12-01,0.18977
2020-12-02,0.18407
2020-12-03,0.16004
2020-12-04,0.12722
2020-12-05,0.14392
2020-12-06,0.17504
2020-12-07,0.19492
2020-12-08,0.17587
2020-12-09,0.14352
2020-12-10,0.10154
2020-12-11,0.11194
2020-12-12,0.14832
2020-12-13,0.16242
2020-12-14,0.1673
2020-12-15,0.168
2020-12-16,0.1774
2020-12-17,0.18251
2020-12-18,0.08296
2020-12-19,0.127
2020-12-20,0.13501
2020-12-21,0.1566
2020-12-22,0.12196
2020-12-23,0.12732
2020-12-24,0.12658
2020-12-25,0.12263
2020-12-26,0.13301
2020-12-27,0.14679
2020-12-28,0.17585
2020-12-29,0.14138
2020-12-30,0.1134
2020-12-31,0.17707
2021-01-01,0.19985
2021-01-02,0.16345
2021-01-03,0.20224
2021-01-04,0.23110000000000003
2021-01-05,0.21354
2021-01-06,0.20299
2021-01-07,0.19532
2021-01-08,0.19161
2021-01-09,0.21738
2021-01-10,0.24186
2021-01-11,0.26526
2021-01-12,0.20395
2021-01-13,0.19408
2021-01-14,0.21531
2021-01-15,0.15791
2021-01-16,0.21091
2021-01-17,0.21404
