ds,all_day_bing_tiles_visited_relative_change
2020-03-01,-0.07249222222222222
2020-03-02,-0.03771833333333333
2020-03-03,-0.01976666666666667
2020-03-04,0.006114444444444444
2020-03-05,-0.014141111111111111
2020-03-06,-0.03526833333333333
2020-03-07,-0.02673944444444444
2020-03-08,-0.04643722222222222
2020-03-09,-0.003997222222222222
2020-03-10,0.01642388888888889
2020-03-11,0.0008061111111111109
2020-03-12,-0.042237222222222225
2020-03-13,-0.12404055555555556
2020-03-14,-0.30356777777777777
2020-03-15,-0.5808766666666667
2020-03-16,-0.5115666666666666
2020-03-17,-0.534668888888889
2020-03-18,-0.5430694444444444
2020-03-19,-0.6171122222222222
2020-03-20,-0.5995833333333334
2020-03-21,-0.669505
2020-03-22,-0.7404683333333334
2020-03-23,-0.5961533333333333
2020-03-24,-0.6022827777777777
2020-03-25,-0.6016594444444444
2020-03-26,-0.6074544444444444
2020-03-27,-0.6158794444444444
2020-03-28,-0.6793450000000001
2020-03-29,-0.7419077777777778
2020-03-30,-0.6508033333333334
2020-03-31,-0.6602783333333333
2020-04-01,-0.6577211111111111
2020-04-02,-0.657665
2020-04-03,-0.6550938888888889
2020-04-04,-0.6832144444444445
2020-04-05,-0.7486644444444445
2020-04-06,-0.6449755555555555
2020-04-07,-0.6311488888888889
2020-04-08,-0.62152
2020-04-09,-0.7239961111111111
2020-04-10,-0.7781366666666667
2020-04-11,-0.67952
2020-04-12,-0.7487988888888889
2020-04-13,-0.6714894444444445
2020-04-14,-0.5820394444444444
2020-04-15,-0.5892277777777778
2020-04-16,-0.5886827777777778
2020-04-17,-0.5952577777777778
2020-04-18,-0.6539838888888889
2020-04-19,-0.7383922222222222
2020-04-20,-0.5839388888888889
2020-04-21,-0.5742133333333334
2020-04-22,-0.5741144444444444
2020-04-23,-0.5897011111111111
2020-04-24,-0.5818644444444444
2020-04-25,-0.6465716666666667
2020-04-26,-0.7092538888888889
2020-04-27,-0.5568344444444445
2020-04-28,-0.5442761111111111
2020-04-29,-0.5371611111111112
2020-04-30,-0.5226394444444444
2020-05-01,-0.7105788888888889
2020-05-02,-0.5494650000000001
2020-05-03,-0.5531044444444445
2020-05-04,-0.4043638888888889
2020-05-05,-0.40279666666666664
2020-05-06,-0.3927411111111111
2020-05-07,-0.39768111111111115
2020-05-08,-0.42181111111111114
2020-05-09,-0.470915
2020-05-10,-0.5902444444444445
2020-05-11,-0.335405
2020-05-12,-0.3327427777777778
2020-05-13,-0.34147500000000003
2020-05-14,-0.3591538888888889
2020-05-15,-0.37112277777777775
2020-05-16,-0.37847277777777777
2020-05-17,-0.42762500000000003
2020-05-18,-0.2594855555555556
2020-05-19,-0.25468944444444447
2020-05-20,-0.25848333333333334
2020-05-21,-0.26517222222222225
2020-05-22,-0.2757988888888889
2020-05-23,-0.3021111111111111
2020-05-24,-0.36791722222222223
2020-05-25,-0.20608555555555555
2020-05-26,-0.19620722222222223
2020-05-27,-0.19099999999999998
2020-05-28,-0.1940738888888889
2020-05-29,-0.20527
2020-05-30,-0.18962222222222222
2020-05-31,-0.2821438888888889
2020-06-01,-0.19044
2020-06-02,-0.15844222222222223
2020-06-03,-0.1677438888888889
2020-06-04,-0.1942788888888889
2020-06-05,-0.1913072222222222
2020-06-06,-0.17197
2020-06-07,-0.29790444444444447
2020-06-08,-0.17126166666666667
2020-06-09,-0.1607888888888889
2020-06-10,-0.13515444444444447
2020-06-11,-0.17768444444444442
2020-06-12,-0.18938611111111112
2020-06-13,-0.1644077777777778
2020-06-14,-0.20431333333333332
2020-06-15,-0.12810611111111112
2020-06-16,-0.13480777777777778
2020-06-17,-0.12905944444444445
2020-06-18,-0.12490833333333333
2020-06-19,-0.1356738888888889
2020-06-20,-0.10939444444444445
2020-06-21,-0.14227277777777778
2020-06-22,-0.0720438888888889
2020-06-23,-0.06666444444444444
2020-06-24,-0.11353777777777779
2020-06-25,-0.08990111111111111
2020-06-26,-0.09570666666666666
2020-06-27,-0.069985
2020-06-28,-0.12075055555555554
2020-06-29,-0.06400222222222222
2020-06-30,-0.053921111111111114
2020-07-01,-0.058327222222222225
2020-07-02,-0.06881888888888889
2020-07-03,-0.06387055555555556
2020-07-04,-0.03209666666666666
2020-07-05,-0.0839561111111111
2020-07-06,-0.039773333333333334
