date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,0.0,-4.0,-1.0,0.0,4.0,1.0
2020-02-16,-2.0,-5.0,-4.0,-2.0,0.0,1.0
2020-02-17,-4.0,-8.0,-9.0,-1.0,0.0,1.0
2020-02-18,-3.0,-5.0,-6.0,-2.0,4.0,1.0
2020-02-19,-4.0,-9.0,-1.0,-5.0,2.0,2.0
2020-02-20,-7.0,-6.0,-3.0,-5.0,3.0,1.0
2020-02-21,-9.0,-11.0,-12.0,-11.0,0.0,4.0
2020-02-22,-7.0,-9.0,-15.0,-8.0,3.0,3.0
2020-02-23,-6.0,-9.0,-19.0,-5.0,2.0,2.0
2020-02-24,-3.0,-9.0,-11.0,-5.0,2.0,2.0
2020-02-25,-1.0,-5.0,-12.0,0.0,2.0,1.0
2020-02-26,-7.0,-12.0,-14.0,-10.0,-2.0,4.0
2020-02-27,3.0,1.0,-4.0,3.0,3.0,0.0
2020-02-28,5.0,2.0,1.0,-1.0,6.0,0.0
2020-02-29,1.0,2.0,-3.0,0.0,4.0,0.0
2020-03-01,3.0,1.0,-4.0,-2.0,4.0,-1.0
2020-03-02,2.0,2.0,-3.0,2.0,2.0,0.0
2020-03-03,2.0,4.0,1.0,-3.0,4.0,1.0
2020-03-04,-3.0,0.0,-6.0,-5.0,2.0,1.0
2020-03-05,1.0,9.0,0.0,1.0,4.0,-1.0
2020-03-06,2.0,7.0,-7.0,-1.0,7.0,-1.0
2020-03-07,-16.0,-8.0,-8.0,-16.0,-3.0,5.0
2020-03-08,6.0,9.0,-10.0,5.0,4.0,-1.0
2020-03-09,-3.0,-1.0,-12.0,-5.0,-1.0,-2.0
2020-03-10,-4.0,-3.0,-10.0,-4.0,-7.0,-3.0
2020-03-11,-13.0,-8.0,-13.0,-13.0,-8.0,-1.0
2020-03-12,-3.0,3.0,-6.0,0.0,-3.0,-4.0
2020-03-13,-2.0,4.0,-7.0,-8.0,5.0,0.0
2020-03-14,-9.0,-4.0,-10.0,-9.0,-2.0,1.0
2020-03-15,-12.0,-4.0,-11.0,-14.0,-2.0,4.0
2020-03-16,-7.0,-4.0,-9.0,-12.0,-9.0,6.0
2020-03-17,-13.0,-6.0,-3.0,-15.0,-10.0,6.0
2020-03-18,-16.0,-7.0,-6.0,-18.0,-11.0,8.0
2020-03-19,-19.0,-7.0,-4.0,-22.0,-12.0,9.0
2020-03-20,-21.0,-7.0,-12.0,-26.0,-10.0,11.0
2020-03-21,-30.0,-16.0,-24.0,-38.0,-18.0,13.0
2020-03-22,-43.0,-27.0,-32.0,-51.0,-19.0,15.0
2020-03-23,-35.0,-27.0,-24.0,-43.0,-25.0,17.0
2020-03-24,-38.0,-27.0,-21.0,-42.0,-28.0,17.0
2020-03-25,-32.0,-21.0,-20.0,-41.0,-28.0,15.0
2020-03-26,-30.0,-16.0,-13.0,-40.0,-28.0,16.0
2020-03-27,-30.0,-15.0,-16.0,-40.0,-24.0,18.0
2020-03-28,-35.0,-20.0,-22.0,-39.0,-21.0,15.0
2020-03-29,-39.0,-24.0,-25.0,-47.0,-15.0,15.0
2020-03-30,-33.0,-24.0,-14.0,-42.0,-26.0,16.0
2020-03-31,-33.0,-23.0,-10.0,-42.0,-28.0,17.0
2020-04-01,-37.0,-27.0,-13.0,-48.0,-30.0,18.0
2020-04-02,-34.0,-23.0,-12.0,-41.0,-29.0,17.0
2020-04-03,-35.0,-22.0,-19.0,-46.0,-25.0,19.0
2020-04-04,-36.0,-22.0,-18.0,-37.0,-19.0,15.0
2020-04-05,-37.0,-24.0,-21.0,-41.0,-10.0,13.0
2020-04-06,-31.0,-25.0,-15.0,-43.0,-30.0,18.0
2020-04-07,-32.0,-22.0,-12.0,-42.0,-29.0,18.0
2020-04-08,-33.0,-21.0,-14.0,-44.0,-29.0,18.0
2020-04-09,-37.0,-26.0,-14.0,-45.0,-32.0,20.0
2020-04-10,-31.0,-16.0,-12.0,-39.0,-26.0,19.0
2020-04-11,-32.0,-13.0,-23.0,-39.0,-23.0,18.0
2020-04-12,-24.0,2.0,-23.0,-34.0,-4.0,11.0
2020-04-13,-66.0,-64.0,-26.0,-75.0,-72.0,36.0
2020-04-14,-56.0,-46.0,-21.0,-65.0,-56.0,31.0
2020-04-15,-56.0,-50.0,-17.0,-68.0,-55.0,32.0
2020-04-16,-52.0,-39.0,-16.0,-60.0,-52.0,28.0
2020-04-17,-58.0,-48.0,-22.0,-67.0,-61.0,34.0
2020-04-18,-55.0,-45.0,-28.0,-60.0,-37.0,25.0
2020-04-19,-54.0,-47.0,-29.0,-61.0,-25.0,22.0
2020-04-20,-51.0,-46.0,-24.0,-58.0,-48.0,28.0
2020-04-21,-48.0,-39.0,-19.0,-56.0,-48.0,27.0
2020-04-22,-50.0,-42.0,-21.0,-59.0,-47.0,27.0
2020-04-23,-47.0,-35.0,-23.0,-56.0,-45.0,27.0
2020-04-24,-49.0,-35.0,-26.0,-56.0,-43.0,28.0
2020-04-25,-53.0,-41.0,-24.0,-59.0,-35.0,25.0
2020-04-26,-47.0,-36.0,-33.0,-56.0,-14.0,20.0
2020-04-27,-44.0,-36.0,-19.0,-52.0,-43.0,26.0
2020-04-28,-36.0,-26.0,-13.0,-42.0,-35.0,22.0
2020-04-29,-33.0,-22.0,-13.0,-38.0,-30.0,22.0
2020-04-30,-28.0,-15.0,-7.0,-35.0,-30.0,20.0
2020-05-01,-45.0,-39.0,-18.0,-52.0,-56.0,27.0
2020-05-02,-34.0,-23.0,-16.0,-35.0,-18.0,18.0
2020-05-03,-38.0,-25.0,-26.0,-44.0,-6.0,16.0
2020-05-04,-30.0,-27.0,-18.0,-37.0,-28.0,19.0
2020-05-05,-30.0,-22.0,-14.0,-35.0,-28.0,20.0
2020-05-06,-30.0,-23.0,-19.0,-39.0,-28.0,22.0
2020-05-07,-24.0,-13.0,-9.0,-31.0,-26.0,20.0
2020-05-08,-29.0,-18.0,-19.0,-38.0,-24.0,23.0
2020-05-09,-28.0,-16.0,-15.0,-33.0,-11.0,17.0
2020-05-10,-34.0,-21.0,-27.0,-45.0,-4.0,17.0
2020-05-11,-26.0,-21.0,-12.0,-37.0,-25.0,19.0
2020-05-12,-27.0,-17.0,-15.0,-32.0,-26.0,20.0
2020-05-13,-28.0,-21.0,-14.0,-35.0,-25.0,21.0
2020-05-14,-26.0,-17.0,-15.0,-35.0,-25.0,19.0
2020-05-15,-28.0,-17.0,-17.0,-37.0,-22.0,22.0
2020-05-16,-27.0,-18.0,-20.0,-35.0,-12.0,17.0
2020-05-17,-32.0,-21.0,-30.0,-43.0,0.0,15.0
2020-05-18,-28.0,-23.0,-13.0,-36.0,-24.0,19.0
2020-05-19,-30.0,-20.0,-15.0,-35.0,-25.0,21.0
2020-05-20,-34.0,-28.0,-18.0,-41.0,-27.0,22.0
2020-05-21,-36.0,-29.0,-18.0,-45.0,-51.0,26.0
2020-05-22,-29.0,-19.0,-16.0,-36.0,-21.0,21.0
2020-05-23,-31.0,-21.0,-20.0,-35.0,-12.0,18.0
2020-05-24,-33.0,-23.0,-28.0,-39.0,-11.0,16.0
2020-05-25,-23.0,-20.0,-9.0,-34.0,-24.0,19.0
2020-05-26,-25.0,-17.0,-14.0,-28.0,-23.0,20.0
2020-05-27,-25.0,-18.0,-8.0,-29.0,-23.0,20.0
2020-05-28,-22.0,-14.0,-10.0,-30.0,-22.0,19.0
2020-05-29,-23.0,-13.0,-16.0,-32.0,-18.0,20.0
2020-05-30,-23.0,-11.0,-13.0,-30.0,-8.0,15.0
2020-05-31,-25.0,-10.0,-24.0,-39.0,5.0,14.0
2020-06-01,-37.0,-34.0,-9.0,-48.0,-53.0,25.0
