date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,-1.0,,,,4,
2020-02-16,-2.0,,,,-1,
2020-02-17,-7.0,,,,-1,
2020-02-18,1.0,-2.0,,,1,
2020-02-19,-7.0,,,,3,
2020-02-20,9.0,,,,4,
2020-02-21,3.0,2.0,-17.0,,1,
2020-02-22,-7.0,,,,-4,
2020-02-23,-4.0,,,,0,
2020-02-24,-15.0,,,,-17,
2020-02-25,-19.0,2.0,,,-43,
2020-02-26,-18.0,-2.0,-12.0,,-17,
2020-02-27,-4.0,,,,-4,
2020-02-28,-2.0,8.0,-6.0,,3,
2020-02-29,-8.0,,,,8,
2020-03-01,-2.0,,,,5,
2020-03-02,-7.0,,,,-5,
2020-03-03,-8.0,2.0,,,-4,
2020-03-04,-8.0,,-12.0,,4,
2020-03-05,1.0,,,,6,
2020-03-06,-3.0,4.0,-11.0,,6,
2020-03-07,-9.0,,,,1,
2020-03-08,-9.0,,,,1,
2020-03-09,-22.0,,,,-35,
2020-03-10,-23.0,,,,2,
2020-03-11,-16.0,,,,6,
2020-03-12,-13.0,,-7.0,,3,
2020-03-13,-18.0,8.0,-13.0,,1,
2020-03-14,-28.0,,,,-3,
2020-03-15,-22.0,,,,-7,
2020-03-16,-29.0,,,,-3,
2020-03-17,-27.0,,,,-3,
2020-03-18,-30.0,,-14.0,,-3,
2020-03-19,-44.0,,-14.0,,-15,
2020-03-20,-34.0,4.0,-19.0,,-16,
2020-03-21,-37.0,-16.0,,,-13,
2020-03-22,-46.0,,,,-17,
2020-03-23,-39.0,,,,-14,
2020-03-24,-48.0,-11.0,,,-17,
2020-03-25,-42.0,-2.0,,,-21,
2020-03-26,-46.0,-20.0,-21.0,,-38,
2020-03-27,-50.0,-43.0,-21.0,,-36,
2020-03-28,-58.0,-11.0,-25.0,,-28,
2020-03-29,-50.0,,,,-27,
2020-03-30,-57.0,-26.0,,,-37,
2020-03-31,-61.0,-51.0,-22.0,,-46,
2020-04-01,-54.0,-39.0,-19.0,,-38,
2020-04-02,-50.0,-14.0,-19.0,,-39,
2020-04-03,-50.0,-27.0,-30.0,,-40,
2020-04-04,-57.0,-17.0,,,-24,
2020-04-05,-64.0,,,,-25,
2020-04-06,,,-26.0,,-41,
2020-04-07,,,-20.0,,-41,
2020-04-08,,,-31.0,,-39,
2020-04-09,,,-28.0,,-38,
2020-04-10,,,-34.0,,-47,
2020-04-11,,,,,-21,
2020-04-12,,,,,-21,
2020-04-13,,,,,-51,
2020-04-14,,,,,-38,
2020-04-15,,,-14.0,,-34,
2020-04-16,,,-14.0,,-31,
2020-04-17,,,-28.0,,-29,
2020-04-18,,,,,-16,
2020-04-19,,,,,-13,
2020-04-20,,,,,-30,
2020-04-21,,,-22.0,,-32,
2020-04-22,,,-24.0,,-30,
2020-04-23,,,-26.0,,-29,
2020-04-24,,,-25.0,,-32,
2020-04-25,,,,,-17,
2020-04-26,,,,,-12,
2020-04-27,,,,,-31,
2020-04-28,,,-19.0,,-29,
2020-04-29,,,-17.0,,-28,
2020-04-30,,,-16.0,,-27,
2020-05-01,,,-23.0,,-49,
2020-05-02,,,,,-15,
2020-05-03,,,,,-12,
2020-05-04,,,,,-27,
2020-05-05,,,-17.0,,-30,
2020-05-06,,,-16.0,,-29,
2020-05-07,,,-14.0,,-29,
2020-05-08,,,-23.0,,-28,
2020-05-09,,,-14.0,,-14,
2020-05-10,,,,,-7,
2020-05-11,,,,,-32,
2020-05-12,,,-15.0,,-30,
2020-05-13,,,-27.0,,-29,
2020-05-14,,,-18.0,,-29,
2020-05-15,-50.0,,-22.0,,-29,
2020-05-16,,,-21.0,,-7,
2020-05-17,,,,,-7,
2020-05-18,,,-25.0,,-26,
2020-05-19,,,,,-29,
2020-05-20,-48.0,,-17.0,,-29,
2020-05-21,,,,,-27,
2020-05-22,,,-13.0,,-23,
2020-05-23,,,-8.0,,-5,
2020-05-24,,,,,-9,
2020-05-25,,,,,-45,
2020-05-26,,,,,-25,
2020-05-27,,,,,-19,
2020-05-28,,,-8.0,,-19,
2020-05-29,,,-9.0,,-16,
2020-05-30,,,-8.0,,-2,
2020-05-31,,,,,-3,
2020-06-01,,,,,-19,
2020-06-02,,,,,-18,
2020-06-03,,,,,-15,
2020-06-04,,,-8.0,,-12,
2020-06-05,,,-2.0,,-13,
2020-06-06,,,-11.0,,2,
2020-06-07,,,,,7,
2020-06-08,,,,,-16,
2020-06-09,,,,,-13,
2020-06-10,,,,,-13,
2020-06-11,,,,,-12,
2020-06-12,,,-10.0,,-11,
2020-06-13,,,-12.0,,-5,
2020-06-14,,,,,8,
2020-06-15,,,,,-13,
2020-06-16,,,,,-17,
2020-06-17,,,,,-16,
2020-06-18,,,-9.0,,-18,
2020-06-19,,,-16.0,,-13,
2020-06-20,,,-15.0,,-4,
2020-06-21,,,,,5,
2020-06-22,,,,,-16,
2020-06-23,,,,,-17,
2020-06-24,,,,,-14,
2020-06-25,,,-18.0,,-21,
2020-06-26,,,-15.0,,-12,
2020-06-27,,,-19.0,,-9,
2020-06-28,,,,,5,
2020-06-29,,,,,-16,
2020-06-30,,,,,-15,
2020-07-01,,,,,-11,
2020-07-02,,,-6.0,,-15,
2020-07-03,,,-8.0,,-11,
2020-07-04,,,-6.0,,3,
2020-07-05,,,,,3,
2020-07-06,,,,,-16,
2020-07-07,,,,,-17,
2020-07-08,,,,,-15,
2020-07-09,,,-8.0,,-13,
2020-07-10,,,-8.0,,-11,
2020-07-11,,,-13.0,,-5,
2020-07-12,,,,,-3,
2020-07-13,,,,,-15,
2020-07-14,,,,,-16,
2020-07-15,,,,,-15,
2020-07-16,,,-13.0,,-13,
2020-07-17,,,-21.0,,-22,
2020-07-18,,,-13.0,,-2,
2020-07-19,,,,,-4,
2020-07-20,,,,,-13,
2020-07-21,,,,,-15,
2020-07-22,,,,,-13,
2020-07-23,,,-9.0,,-18,
2020-07-24,,,-13.0,,-14,
2020-07-25,,,,,0,
2020-07-26,,,,,4,
2020-07-27,,,,,-13,
2020-07-28,,,,,-17,
2020-07-29,,,,,-17,
2020-07-30,,,,,-22,
2020-07-31,,,-6.0,,-56,
2020-08-01,,,,,-18,
2020-08-02,,,,,-11,
2020-08-03,,,,,-45,
2020-08-04,,,,,-26,
2020-08-05,,,,,-17,
2020-08-06,,,,,-15,
2020-08-07,,,-10.0,,-12,
2020-08-08,,,,,3,
2020-08-09,,,,,-5,
2020-08-10,,,,,-16,
2020-08-11,,,,,-14,
2020-08-12,,,,,-13,
2020-08-13,,,,,-14,
2020-08-14,,,-7.0,,-23,
2020-08-15,,,-5.0,,-7,
2020-08-16,,,,,3,
2020-09-11,,,-5.0,,-19,
2020-09-12,,,-7.0,,-5,
2020-09-13,,,,,-7,
2020-09-14,,,,,-12,
2020-09-15,,,,,-14,
2020-09-16,,,,,-13,
2020-09-17,,,,,-14,
2020-09-18,,,-13.0,,-17,
2020-09-19,,,-2.0,,-8,
2020-09-20,,,,,-7,
2020-09-21,,,,,-18,
2020-09-22,,,,,-18,
2020-09-23,,,,,-22,
2020-09-24,,,,,-66,
2020-09-25,,,-7.0,,-25,
2020-09-26,,,,,-17,
2020-09-27,,,,,-19,
2020-09-28,,,,,-17,
2020-09-29,,,,,-23,
2020-09-30,,,-12.0,,-34,
2020-10-01,,,,,-32,
2020-10-02,,,-17.0,,-31,
2020-10-03,,,-15.0,,-31,
2020-10-04,,,,,-40,
2020-10-05,,,,,-31,
2020-10-06,,,,,-29,
2020-10-07,,,-21.0,,-26,
2020-10-08,,,-19.0,,-22,
2020-10-09,,,-20.0,,-18,
2020-10-10,,,-15.0,,-20,
2020-10-11,,,,,-28,
2020-10-12,,,,,-23,
2020-10-13,,,-18.0,,-20,
2020-10-14,,,,,-17,
2020-10-15,,,-21.0,,-20,
2020-10-16,,,-23.0,,-24,
2020-10-17,,,-26.0,,-20,
2020-10-18,,,,,-30,
2020-10-19,,,,,-21,
2020-10-20,,,-20.0,,-23,
2020-10-21,,,-16.0,,-16,
2020-10-22,,,-20.0,,-18,
2020-10-23,,,-33.0,,-20,
2020-10-24,,,-28.0,,-19,
2020-10-25,,,,,-32,
2020-10-26,,,,,-18,
2020-10-27,,,-16.0,,-20,
2020-10-28,,,-23.0,,-22,
2020-10-29,,,-24.0,,-22,
2020-10-30,,,-34.0,,-19,
2020-10-31,,,-32.0,,-28,
2020-11-01,,,,,-39,
2020-11-02,,,-37.0,,-61,
2020-11-03,,,-28.0,,-23,
