date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,-3.0,1.0,-6.0,-5.0,2.0,1.0
2020-02-16,2.0,5.0,0.0,-7.0,3.0,0.0
2020-02-17,-4.0,-3.0,-7.0,-3.0,0.0,1.0
2020-02-18,-5.0,-4.0,-7.0,-6.0,2.0,1.0
2020-02-19,-9.0,-9.0,-6.0,-9.0,-1.0,2.0
2020-02-20,-7.0,-7.0,-10.0,-6.0,-4.0,3.0
2020-02-21,-6.0,-4.0,-11.0,-3.0,-4.0,3.0
2020-02-22,-6.0,-3.0,-6.0,-7.0,-1.0,1.0
2020-02-23,-17.0,-22.0,-11.0,-16.0,-3.0,4.0
2020-02-24,-36.0,-41.0,-17.0,-39.0,-46.0,16.0
2020-02-25,-28.0,-26.0,-13.0,-26.0,-44.0,12.0
2020-02-26,-24.0,-19.0,-10.0,-23.0,-39.0,10.0
2020-02-27,-4.0,-6.0,-5.0,-3.0,-4.0,4.0
2020-02-28,-4.0,-3.0,-7.0,-8.0,-3.0,4.0
2020-02-29,-5.0,-3.0,-8.0,-11.0,1.0,2.0
2020-03-01,-10.0,-8.0,-17.0,-12.0,-2.0,3.0
2020-03-02,-3.0,-3.0,-8.0,-8.0,3.0,1.0
2020-03-03,-5.0,-5.0,-7.0,-6.0,3.0,2.0
2020-03-04,-3.0,-4.0,-4.0,-7.0,4.0,1.0
2020-03-05,-3.0,-4.0,-4.0,-6.0,5.0,1.0
2020-03-06,-2.0,-1.0,-7.0,-3.0,6.0,1.0
2020-03-07,-4.0,0.0,-9.0,-8.0,4.0,1.0
2020-03-08,-10.0,-9.0,-17.0,-7.0,-2.0,3.0
2020-03-09,-7.0,-9.0,-11.0,-9.0,2.0,2.0
2020-03-10,-7.0,-6.0,-8.0,-4.0,4.0,1.0
2020-03-11,-5.0,-6.0,-7.0,-8.0,2.0,1.0
2020-03-12,-7.0,-2.0,-7.0,-3.0,4.0,1.0
2020-03-13,-3.0,2.0,-9.0,-3.0,4.0,0.0
2020-03-14,-2.0,4.0,-11.0,-9.0,4.0,-1.0
2020-03-15,-4.0,-2.0,-12.0,-7.0,1.0,0.0
2020-03-16,-6.0,-1.0,-13.0,-4.0,0.0,-1.0
2020-03-17,-6.0,-1.0,-11.0,-14.0,3.0,-2.0
2020-03-18,-5.0,-2.0,-8.0,-15.0,3.0,0.0
2020-03-19,-8.0,0.0,-9.0,-16.0,3.0,0.0
2020-03-20,-12.0,15.0,-10.0,-21.0,-20.0,6.0
2020-03-21,-24.0,-13.0,-19.0,-42.0,-15.0,6.0
2020-03-22,-31.0,-28.0,-21.0,-46.0,-11.0,7.0
2020-03-23,-28.0,-24.0,-20.0,-40.0,-31.0,11.0
2020-03-24,-32.0,-26.0,-21.0,-43.0,-33.0,11.0
2020-03-25,-32.0,-28.0,-19.0,-45.0,-35.0,11.0
2020-03-26,-34.0,-27.0,-19.0,-44.0,-34.0,12.0
2020-03-27,-35.0,-23.0,-22.0,-43.0,-33.0,12.0
2020-03-28,-34.0,-25.0,-19.0,-48.0,-20.0,7.0
2020-03-29,-34.0,-31.0,-19.0,-48.0,-14.0,7.0
2020-03-30,-33.0,-28.0,-20.0,-48.0,-35.0,11.0
2020-03-31,-32.0,-28.0,-18.0,-49.0,-34.0,11.0
2020-04-01,-29.0,-27.0,-17.0,-49.0,-33.0,11.0
2020-04-02,-32.0,-27.0,-20.0,-51.0,-34.0,12.0
2020-04-03,-31.0,-25.0,-21.0,-49.0,-32.0,11.0
2020-04-04,-34.0,-27.0,-19.0,-52.0,-20.0,8.0
2020-04-05,-34.0,-35.0,-17.0,-51.0,-12.0,7.0
2020-04-06,-29.0,-26.0,-21.0,-48.0,-32.0,10.0
2020-04-07,-30.0,-26.0,-17.0,-50.0,-34.0,10.0
2020-04-08,-29.0,-26.0,-18.0,-51.0,-35.0,12.0
2020-04-09,-28.0,-19.0,-15.0,-48.0,-38.0,11.0
2020-04-10,-49.0,-50.0,-23.0,-61.0,-55.0,17.0
2020-04-11,-38.0,-25.0,-18.0,-57.0,-26.0,10.0
2020-04-12,-40.0,-41.0,-20.0,-58.0,-18.0,8.0
2020-04-13,-33.0,-32.0,-22.0,-52.0,-36.0,11.0
2020-04-14,-33.0,-33.0,-17.0,-55.0,-35.0,11.0
2020-04-15,-33.0,-33.0,-18.0,-52.0,-36.0,12.0
2020-04-16,-31.0,-28.0,-17.0,-52.0,-34.0,11.0
2020-04-17,-32.0,-28.0,-22.0,-47.0,-33.0,12.0
2020-04-18,-33.0,-26.0,-18.0,-51.0,-20.0,7.0
2020-04-19,-34.0,-37.0,-18.0,-55.0,-13.0,7.0
2020-04-20,-28.0,-27.0,-19.0,-45.0,-31.0,10.0
2020-04-21,-30.0,-28.0,-18.0,-49.0,-32.0,9.0
2020-04-22,-31.0,-29.0,-17.0,-50.0,-32.0,11.0
2020-04-23,-30.0,-28.0,-17.0,-50.0,-31.0,11.0
2020-04-24,-32.0,-28.0,-20.0,-46.0,-31.0,11.0
2020-04-25,-34.0,-26.0,-20.0,-52.0,-20.0,7.0
2020-04-26,-36.0,-35.0,-19.0,-52.0,-14.0,6.0
2020-04-27,-34.0,-33.0,-24.0,-49.0,-34.0,9.0
2020-04-28,-32.0,-30.0,-19.0,-50.0,-33.0,5.0
2020-04-29,-27.0,-26.0,-12.0,-49.0,-30.0,10.0
2020-04-30,-26.0,-20.0,-11.0,-45.0,-29.0,9.0
2020-05-01,-43.0,-33.0,-17.0,-54.0,-48.0,14.0
2020-05-02,-32.0,-23.0,-13.0,-47.0,-18.0,7.0
2020-05-03,-38.0,-34.0,-18.0,-50.0,-14.0,7.0
2020-05-04,-29.0,-24.0,-19.0,-39.0,-31.0,9.0
2020-05-05,-30.0,-23.0,-15.0,-45.0,-30.0,10.0
2020-05-06,-27.0,-24.0,-16.0,-46.0,-30.0,9.0
2020-05-07,-27.0,-22.0,-12.0,-41.0,-30.0,7.0
2020-05-08,-28.0,-22.0,-14.0,-41.0,-27.0,10.0
2020-05-09,-29.0,-20.0,-13.0,-44.0,-15.0,4.0
2020-05-10,-34.0,-30.0,-20.0,-50.0,-12.0,6.0
2020-05-11,-26.0,-24.0,-15.0,-41.0,-28.0,8.0
2020-05-12,-29.0,-23.0,-16.0,-43.0,-29.0,9.0
2020-05-13,-30.0,-27.0,-18.0,-47.0,-31.0,9.0
2020-05-14,-28.0,-24.0,-17.0,-43.0,-29.0,7.0
2020-05-15,-27.0,-21.0,-15.0,-38.0,-27.0,10.0
2020-05-16,-27.0,-18.0,-10.0,-42.0,-14.0,6.0
2020-05-17,-34.0,-30.0,-18.0,-46.0,-9.0,5.0
2020-05-18,-45.0,-43.0,-23.0,-56.0,-50.0,14.0
2020-05-19,-28.0,-23.0,-18.0,-46.0,-30.0,9.0
2020-05-20,-27.0,-24.0,-13.0,-47.0,-31.0,10.0
2020-05-21,-28.0,-23.0,-17.0,-44.0,-31.0,12.0
2020-05-22,-31.0,-24.0,-20.0,-44.0,-29.0,11.0
2020-05-23,-32.0,-24.0,-19.0,-48.0,-16.0,8.0
2020-05-24,-36.0,-34.0,-20.0,-48.0,-10.0,7.0
2020-05-25,-30.0,-26.0,-18.0,-43.0,-31.0,11.0
2020-05-26,-31.0,-28.0,-22.0,-46.0,-33.0,10.0
2020-05-27,-33.0,-31.0,-26.0,-50.0,-36.0,10.0
2020-05-28,-33.0,-31.0,-25.0,-47.0,-36.0,10.0
2020-05-29,-32.0,-26.0,-23.0,-43.0,-33.0,10.0
2020-05-30,-26.0,-15.0,-18.0,-42.0,-18.0,6.0
2020-05-31,-29.0,-22.0,-19.0,-46.0,-9.0,4.0
2020-06-01,-27.0,-25.0,-19.0,-43.0,-31.0,9.0
2020-06-02,-30.0,-25.0,-17.0,-44.0,-31.0,10.0
2020-06-03,-28.0,-26.0,-16.0,-45.0,-32.0,10.0
2020-06-04,-28.0,-24.0,-16.0,-41.0,-31.0,10.0
2020-06-05,-29.0,-21.0,-20.0,-41.0,-30.0,10.0
2020-06-06,-31.0,-23.0,-18.0,-45.0,-17.0,6.0
2020-06-07,-35.0,-33.0,-19.0,-49.0,-8.0,7.0
