date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.1400000000000001,1.06,1.46,1.16,1.04,0.98
2020-02-16,1.2,1.1,1.52,1.18,1.03,0.98
2020-02-17,1.06,1.04,1.25,1.06,1.03,1.0
2020-02-18,1.05,1.04,1.24,1.05,1.02,1.0
2020-02-19,1.03,1.02,1.16,1.02,1.02,0.99
2020-02-20,1.04,1.02,1.1400000000000001,1.04,1.02,1.0
2020-02-21,1.02,1.02,1.01,1.01,1.01,1.0
2020-02-22,1.08,1.03,1.3599999999999999,1.11,1.03,0.99
2020-02-23,1.11,1.06,1.23,1.1400000000000001,1.02,0.98
2020-02-24,1.02,1.04,1.21,1.03,1.03,1.0
2020-02-25,1.05,1.06,1.42,1.06,1.03,0.99
2020-02-26,0.97,1.05,1.0,0.98,1.01,1.01
2020-02-27,1.03,1.1,1.07,1.02,1.02,1.0
2020-02-28,1.0,1.06,0.95,1.0,1.0,1.01
2020-02-29,1.02,1.03,1.1,1.05,1.04,1.0
2020-03-01,1.05,1.03,1.09,1.07,1.03,0.99
2020-03-02,1.0,1.02,1.15,1.02,1.03,1.0
2020-03-03,1.01,1.03,1.04,1.01,1.03,1.0
2020-03-04,1.02,1.04,1.03,1.0,1.02,1.0
2020-03-05,1.07,1.09,1.18,1.05,1.03,0.99
2020-03-06,1.03,1.07,0.9,1.0,1.0,1.01
2020-03-07,1.11,1.12,1.12,1.08,1.03,0.99
2020-03-08,1.24,1.24,1.31,1.17,1.05,0.98
2020-03-09,1.05,1.06,1.25,1.03,1.03,1.0
2020-03-10,1.07,1.1,1.32,1.04,1.02,0.99
2020-03-11,1.03,1.18,1.15,1.01,1.01,1.0
2020-03-12,1.05,1.23,1.35,1.0,0.99,1.0
2020-03-13,0.96,1.23,0.97,0.91,0.96,1.03
2020-03-14,0.9,1.22,1.1,0.92,0.99,1.02
2020-03-15,0.5800000000000001,0.25,1.38,0.83,0.84,1.03
2020-03-16,0.9,1.35,1.0,0.72,0.76,1.09
2020-03-17,0.69,1.12,1.08,0.64,0.6799999999999999,1.13
2020-03-18,0.64,1.04,1.05,0.6,0.64,1.15
2020-03-19,0.5900000000000001,0.92,0.99,0.5700000000000001,0.61,1.16
2020-03-20,0.55,0.86,0.97,0.55,0.6,1.17
2020-03-21,0.43000000000000005,0.73,0.54,0.53,0.76,1.12
2020-03-22,0.36,0.64,0.51,0.44999999999999996,0.71,1.1
2020-03-23,0.45999999999999996,0.74,0.5,0.42000000000000004,0.54,1.21
2020-03-24,0.45999999999999996,0.75,0.62,0.43000000000000005,0.52,1.22
2020-03-25,0.43999999999999995,0.73,0.55,0.42000000000000004,0.52,1.22
2020-03-26,0.47,0.76,0.6799999999999999,0.44999999999999996,0.52,1.22
2020-03-27,0.56,0.94,0.91,0.52,0.54,1.19
2020-03-28,0.33999999999999997,0.6,0.79,0.48,0.6799999999999999,1.13
2020-03-29,0.33999999999999997,0.5700000000000001,0.9299999999999999,0.47,0.6799999999999999,1.1
2020-03-30,0.43000000000000005,0.71,0.5800000000000001,0.41000000000000003,0.51,1.22
2020-03-31,0.44999999999999996,0.74,0.76,0.43999999999999995,0.51,1.21
2020-04-01,0.45999999999999996,0.73,0.85,0.45999999999999996,0.52,1.21
2020-04-02,0.49,0.8,0.83,0.47,0.52,1.21
2020-04-03,0.5,0.84,0.87,0.49,0.53,1.21
2020-04-04,0.45999999999999996,0.78,0.96,0.5700000000000001,0.7,1.11
2020-04-05,0.45999999999999996,0.73,1.2,0.56,0.71,1.08
2020-04-06,0.56,0.84,0.96,0.49,0.53,1.19
2020-04-07,0.5800000000000001,0.91,1.08,0.51,0.52,1.19
2020-04-08,0.5900000000000001,1.02,1.05,0.51,0.52,1.17
2020-04-09,0.71,1.22,1.02,0.56,0.49,1.17
2020-04-10,0.18999999999999995,0.14,0.91,0.30000000000000004,0.16000000000000003,1.32
2020-04-11,0.49,0.96,0.79,0.5700000000000001,0.62,1.11
2020-04-12,0.22999999999999998,0.15000000000000002,0.95,0.47,0.6,1.09
2020-04-13,0.16000000000000003,0.09999999999999998,0.91,0.25,0.12,1.33
2020-04-14,0.55,0.88,0.7,0.45999999999999996,0.51,1.2
2020-04-15,0.54,0.83,0.9,0.49,0.53,1.19
2020-04-16,0.56,0.85,0.96,0.5,0.54,1.19
2020-04-17,0.56,0.86,1.01,0.52,0.55,1.19
2020-04-18,0.48,0.79,0.92,0.61,0.78,1.09
2020-04-19,0.41000000000000003,0.69,0.7,0.49,0.74,1.09
2020-04-20,0.55,0.81,0.96,0.49,0.5700000000000001,1.18
2020-04-21,0.55,0.8200000000000001,1.04,0.5,0.56,1.18
2020-04-22,0.54,0.8,1.07,0.5,0.56,1.17
2020-04-23,0.54,0.84,1.02,0.5,0.56,1.18
2020-04-24,0.54,0.84,1.02,0.51,0.56,1.18
2020-04-25,0.48,0.79,0.81,0.5800000000000001,0.77,1.09
2020-04-26,0.48,0.74,1.07,0.5800000000000001,0.79,1.06
2020-04-27,0.56,0.8,1.02,0.5,0.5800000000000001,1.17
2020-04-28,0.5700000000000001,0.83,1.18,0.52,0.5800000000000001,1.15
2020-04-29,0.55,0.86,0.88,0.5,0.5700000000000001,1.17
2020-04-30,0.6799999999999999,1.13,1.09,0.56,0.5700000000000001,1.15
2020-05-01,0.20999999999999996,0.13,0.89,0.29000000000000004,0.17000000000000004,1.31
2020-05-02,0.5800000000000001,0.96,1.01,0.65,0.74,1.07
2020-05-03,0.5700000000000001,0.85,0.91,0.6599999999999999,0.86,1.04
2020-05-04,0.6599999999999999,0.8200000000000001,1.1,0.54,0.62,1.15
2020-05-05,0.65,0.87,0.96,0.53,0.61,1.16
2020-05-06,0.65,0.87,0.95,0.54,0.62,1.16
2020-05-07,0.6799999999999999,0.92,1.04,0.56,0.62,1.15
2020-05-08,0.72,0.97,1.22,0.5900000000000001,0.62,1.1400000000000001
2020-05-09,0.7,0.94,1.3900000000000001,0.74,0.87,1.04
2020-05-10,0.74,0.89,1.51,0.72,0.9,1.03
2020-05-11,0.72,0.91,1.11,0.5700000000000001,0.63,1.1400000000000001
2020-05-12,0.6799999999999999,0.9299999999999999,0.9299999999999999,0.56,0.62,1.15
2020-05-13,0.6699999999999999,0.89,0.94,0.56,0.63,1.15
2020-05-14,0.71,0.94,1.11,0.5900000000000001,0.64,1.13
2020-05-15,0.7,0.94,0.98,0.5800000000000001,0.63,1.1400000000000001
2020-05-16,0.71,0.9299999999999999,1.38,0.76,0.9,1.03
2020-05-17,0.7,0.86,1.22,0.6699999999999999,0.91,1.04
2020-05-18,0.8200000000000001,0.91,1.41,0.63,0.6599999999999999,1.12
2020-05-19,0.78,0.9,1.27,0.62,0.6599999999999999,1.12
2020-05-20,0.77,0.91,1.2,0.62,0.65,1.13
2020-05-21,0.8200000000000001,0.96,1.32,0.65,0.64,1.13
2020-05-22,0.83,0.94,1.45,0.6699999999999999,0.6599999999999999,1.11
2020-05-23,0.79,0.9,1.44,0.81,0.95,1.02
2020-05-24,0.81,0.88,1.25,0.73,0.95,1.02
2020-05-25,0.8,0.89,1.04,0.61,0.6699999999999999,1.13
2020-05-26,0.8,0.9,1.15,0.63,0.6799999999999999,1.12
2020-05-27,0.8,0.9,1.23,0.65,0.6799999999999999,1.11
2020-05-28,0.83,0.96,1.15,0.6599999999999999,0.69,1.11
2020-05-29,0.85,1.01,1.21,0.6799999999999999,0.6699999999999999,1.1
2020-05-30,0.87,1.08,1.49,0.85,1.01,1.0
2020-05-31,0.56,0.22999999999999998,1.09,0.62,0.9,1.03
2020-06-01,0.53,0.18999999999999995,2.5700000000000003,0.45999999999999996,0.19999999999999996,1.21
2020-06-02,0.91,1.06,1.34,0.72,0.72,1.08
2020-06-03,0.9,0.97,1.37,0.73,0.73,1.09
2020-06-04,0.91,0.99,1.33,0.73,0.73,1.09
2020-06-05,0.88,1.02,1.04,0.71,0.73,1.09
2020-06-06,0.9299999999999999,0.98,1.81,0.9299999999999999,1.06,0.99
2020-06-07,1.0,0.94,1.69,0.88,1.09,0.99
2020-06-08,0.9299999999999999,0.98,1.34,0.72,0.74,1.08
2020-06-09,0.92,0.97,1.33,0.73,0.74,1.08
2020-06-10,0.9299999999999999,0.99,1.24,0.73,0.73,1.08
2020-06-11,0.98,1.03,1.37,0.76,0.73,1.07
2020-06-12,0.99,1.05,1.5699999999999998,0.79,0.74,1.06
2020-06-13,0.94,0.97,1.81,0.94,1.08,0.98
2020-06-14,0.9299999999999999,0.92,1.29,0.83,1.09,0.99
2020-06-15,0.97,1.0,1.26,0.75,0.75,1.07
2020-06-16,0.95,0.99,1.29,0.76,0.75,1.07
