date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,0.89,0.94,0.64,0.88,0.96,1.03
2020-02-16,0.94,0.9299999999999999,0.71,0.94,0.99,1.02
2020-02-17,1.08,1.01,1.12,1.0,0.92,1.02
2020-02-18,1.06,0.98,1.12,1.0,0.9299999999999999,1.01
2020-02-19,1.02,0.97,0.95,0.98,0.91,1.02
2020-02-20,1.08,0.99,1.12,0.99,0.88,1.02
2020-02-21,1.01,0.97,0.99,0.99,0.87,1.03
2020-02-22,0.98,1.0,0.96,0.99,0.99,1.0
2020-02-23,0.97,0.98,1.01,1.01,1.0,1.0
2020-02-24,1.01,1.03,1.03,1.01,1.01,1.0
2020-02-25,0.98,1.03,1.06,1.0,1.03,1.0
2020-02-26,0.99,1.0,1.09,1.01,1.02,1.0
2020-02-27,1.04,1.03,1.15,1.04,1.02,1.0
2020-02-28,1.03,1.05,1.0,1.04,1.01,1.0
2020-02-29,0.88,0.97,0.72,0.91,0.97,1.03
2020-03-01,1.03,1.03,0.95,1.02,1.02,1.0
2020-03-02,1.04,1.04,1.12,1.01,1.01,1.0
2020-03-03,1.08,1.05,1.29,1.02,1.03,0.99
2020-03-04,1.05,1.04,1.25,1.01,1.01,1.0
2020-03-05,1.04,1.04,1.15,1.0,1.02,1.0
2020-03-06,1.03,1.07,1.1,1.0,1.01,1.0
2020-03-07,0.97,1.03,0.99,0.96,1.0,1.01
2020-03-08,1.0,1.02,1.0,0.96,1.0,1.0
2020-03-09,0.97,1.03,0.87,0.94,1.0,1.02
2020-03-10,1.03,1.11,1.15,0.97,1.01,1.01
2020-03-11,0.97,1.11,0.97,0.91,0.99,1.02
2020-03-12,0.97,1.33,0.87,0.86,0.97,1.03
2020-03-13,0.81,1.1,1.01,0.7,0.74,1.12
2020-03-14,0.6799999999999999,1.02,0.85,0.6599999999999999,0.88,1.09
2020-03-15,0.64,1.07,1.2,0.65,0.84,1.09
2020-03-16,0.74,1.15,1.21,0.55,0.51,1.18
2020-03-17,0.41000000000000003,0.76,1.67,0.38,0.19999999999999996,1.29
2020-03-18,0.54,0.91,1.1400000000000001,0.48,0.54,1.2
2020-03-19,0.52,0.9,1.29,0.45999999999999996,0.52,1.22
2020-03-20,0.47,0.91,1.16,0.43000000000000005,0.52,1.23
2020-03-21,0.41000000000000003,0.97,0.88,0.41000000000000003,0.61,1.17
2020-03-22,0.41000000000000003,0.89,1.3900000000000001,0.47,0.61,1.13
2020-03-23,0.51,0.8200000000000001,1.07,0.39,0.49,1.21
2020-03-24,0.49,0.91,1.1,0.38,0.47,1.22
2020-03-25,0.4,0.8200000000000001,1.13,0.37,0.44999999999999996,1.24
2020-03-26,0.4,0.84,1.15,0.35,0.43999999999999995,1.25
2020-03-27,0.37,0.87,1.0,0.33999999999999997,0.43999999999999995,1.26
2020-03-28,0.19999999999999996,0.78,0.41000000000000003,0.25,0.47,1.21
2020-03-29,0.17000000000000004,0.63,0.41000000000000003,0.21999999999999997,0.48,1.19
2020-03-30,0.27,0.71,0.63,0.24,0.31999999999999995,1.29
2020-03-31,0.27,0.75,0.78,0.26,0.30000000000000004,1.3
2020-04-01,0.25,0.74,0.69,0.25,0.30000000000000004,1.31
2020-04-02,0.26,0.77,0.62,0.24,0.30000000000000004,1.33
2020-04-03,0.26,0.78,0.65,0.24,0.31000000000000005,1.34
2020-04-04,0.21999999999999997,0.77,0.54,0.26,0.43999999999999995,1.22
2020-04-05,0.18999999999999995,0.6699999999999999,0.41000000000000003,0.20999999999999996,0.48,1.2
2020-04-06,0.31999999999999995,0.76,0.91,0.26,0.31000000000000005,1.29
