date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,2.0,2.0,10.0,7.0,2.0,-1.0
2020-02-16,0.0,-2.0,4.0,5.0,3.0,0.0
2020-02-17,5.0,1.0,6.0,6.0,3.0,0.0
2020-02-18,3.0,0.0,7.0,6.0,2.0,0.0
2020-02-19,0.0,-4.0,3.0,1.0,1.0,1.0
2020-02-20,2.0,-1.0,2.0,5.0,1.0,0.0
2020-02-21,4.0,1.0,4.0,5.0,3.0,0.0
2020-02-22,3.0,0.0,6.0,4.0,3.0,0.0
2020-02-23,3.0,3.0,2.0,5.0,5.0,-1.0
2020-02-24,2.0,-1.0,7.0,4.0,5.0,-1.0
2020-02-25,1.0,-4.0,1.0,3.0,6.0,0.0
2020-02-26,0.0,-6.0,-1.0,1.0,5.0,0.0
2020-02-27,2.0,-2.0,1.0,4.0,5.0,0.0
2020-02-28,4.0,2.0,3.0,5.0,8.0,-1.0
2020-02-29,5.0,2.0,8.0,5.0,5.0,-2.0
2020-03-01,3.0,1.0,3.0,3.0,6.0,-1.0
2020-03-02,1.0,-2.0,1.0,2.0,6.0,0.0
2020-03-03,3.0,3.0,4.0,5.0,7.0,-1.0
2020-03-04,2.0,2.0,5.0,5.0,6.0,0.0
2020-03-05,5.0,6.0,6.0,8.0,7.0,-1.0
2020-03-06,6.0,7.0,9.0,8.0,8.0,-2.0
2020-03-07,6.0,7.0,7.0,9.0,5.0,-2.0
2020-03-08,6.0,5.0,6.0,7.0,7.0,-1.0
2020-03-09,3.0,2.0,3.0,5.0,7.0,0.0
2020-03-10,3.0,3.0,5.0,7.0,7.0,-1.0
2020-03-11,3.0,2.0,5.0,6.0,8.0,-1.0
2020-03-12,4.0,2.0,1.0,7.0,7.0,0.0
2020-03-13,5.0,6.0,2.0,6.0,9.0,-1.0
2020-03-14,1.0,3.0,-1.0,3.0,5.0,1.0
2020-03-15,-1.0,3.0,-1.0,1.0,7.0,1.0
2020-03-16,1.0,6.0,-6.0,0.0,-1.0,4.0
2020-03-17,-5.0,1.0,-9.0,0.0,-9.0,5.0
2020-03-18,-7.0,-1.0,-14.0,-3.0,-13.0,8.0
2020-03-19,-10.0,-2.0,-17.0,-6.0,-15.0,9.0
2020-03-20,-14.0,-4.0,-16.0,-9.0,-14.0,10.0
2020-03-21,-19.0,-10.0,-12.0,-12.0,-8.0,8.0
2020-03-22,-24.0,-15.0,-12.0,-19.0,-8.0,9.0
2020-03-23,-23.0,-12.0,-19.0,-20.0,-24.0,14.0
2020-03-24,-28.0,-15.0,-24.0,-22.0,-30.0,17.0
2020-03-25,-30.0,-13.0,-25.0,-26.0,-34.0,18.0
2020-03-26,-34.0,-22.0,-25.0,-30.0,-36.0,19.0
2020-03-27,-42.0,-29.0,-25.0,-36.0,-36.0,23.0
2020-03-28,-43.0,-30.0,-21.0,-37.0,-25.0,19.0
2020-03-29,-45.0,-33.0,-20.0,-39.0,-22.0,17.0
2020-03-30,-36.0,-29.0,-24.0,-35.0,-38.0,21.0
2020-03-31,-37.0,-27.0,-25.0,-34.0,-38.0,21.0
2020-04-01,-38.0,-28.0,-25.0,-35.0,-39.0,22.0
2020-04-02,-37.0,-26.0,-25.0,-34.0,-38.0,22.0
2020-04-03,-39.0,-24.0,-22.0,-35.0,-35.0,23.0
2020-04-04,-39.0,-23.0,-17.0,-33.0,-23.0,17.0
2020-04-05,-43.0,-29.0,-19.0,-37.0,-20.0,17.0
2020-04-06,-35.0,-24.0,-22.0,-33.0,-38.0,21.0
2020-04-07,-39.0,-27.0,-26.0,-36.0,-39.0,23.0
2020-04-08,-40.0,-30.0,-26.0,-37.0,-39.0,23.0
2020-04-09,-40.0,-29.0,-26.0,-37.0,-39.0,23.0
2020-04-10,-50.0,-36.0,-33.0,-46.0,-56.0,32.0
2020-04-11,-47.0,-33.0,-23.0,-41.0,-29.0,21.0
2020-04-12,-49.0,-38.0,-24.0,-45.0,-21.0,19.0
2020-04-13,-48.0,-39.0,-36.0,-47.0,-60.0,31.0
2020-04-14,-41.0,-33.0,-28.0,-39.0,-38.0,22.0
2020-04-15,-42.0,-33.0,-29.0,-40.0,-38.0,23.0
2020-04-16,-43.0,-32.0,-28.0,-41.0,-38.0,24.0
2020-04-17,-45.0,-32.0,-30.0,-41.0,-35.0,25.0
2020-04-18,-48.0,-36.0,-32.0,-42.0,-23.0,20.0
2020-04-19,-50.0,-39.0,-34.0,-46.0,-20.0,19.0
2020-04-20,-43.0,-36.0,-34.0,-42.0,-37.0,23.0
2020-04-21,-44.0,-36.0,-34.0,-41.0,-38.0,23.0
2020-04-22,-45.0,-38.0,-35.0,-43.0,-38.0,24.0
2020-04-23,-46.0,-37.0,-35.0,-43.0,-38.0,25.0
2020-04-24,-47.0,-35.0,-35.0,-43.0,-34.0,26.0
2020-04-25,-47.0,-35.0,-31.0,-42.0,-23.0,21.0
