,0
2020-03-01,-0.0838935048705486
2020-03-02,-0.021803493444307164
2020-03-03,-0.03609488304397656
2020-03-04,-0.02324367905812428
2020-03-05,-0.007158314537045149
2020-03-06,-0.041856288371981194
2020-03-07,-0.07588499730485743
2020-03-08,-0.05776913285391803
2020-03-09,-0.06373288542470174
2020-03-10,-0.044930008004148425
2020-03-11,-0.03957341851079838
2020-03-12,-0.03504010988984996
2020-03-13,-0.039521192465823377
2020-03-14,-0.056795441546889126
2020-03-15,-0.06046028301260188
2020-03-16,-0.05724351424314936
2020-03-17,-0.07154505783442837
2020-03-18,-0.10135071802875208
2020-03-19,-0.15462454174502077
2020-03-20,-0.2093867724356268
2020-03-21,-0.28122441270717563
2020-03-22,-0.3413222117524972
2020-03-23,-0.3476383956111967
2020-03-24,-0.3662685426258001
2020-03-25,-0.46760918018382297
2020-03-26,-0.5164664801517386
2020-03-27,-0.5237823146645922
2020-03-28,-0.5591131180477925
2020-03-29,-0.5633765793039595
2020-03-30,-0.526223669040435
2020-03-31,-0.5325337571246203
2020-04-01,-0.5648784944692454
2020-04-02,-0.5756929622045457
2020-04-03,-0.565917804827068
2020-04-04,-0.5747348842188247
2020-04-05,-0.5643960403482496
2020-04-06,-0.5409635095431087
2020-04-07,-0.56437830513103
2020-04-08,-0.5477427687512644
2020-04-09,-0.5871774088087337
2020-04-10,-0.5561510336458781
2020-04-11,-0.5614223793160004
2020-04-12,-0.5560380255062686
2020-04-13,-0.5343778261975081
2020-04-14,-0.540892361526757
2020-04-15,-0.5468113640880082
2020-04-16,-0.520974615878202
2020-04-17,-0.5087588063814472
2020-04-18,-0.5252140334490358
2020-04-19,-0.5267332176018856
2020-04-20,-0.48891770931522754
2020-04-21,-0.4849005236220957
2020-04-22,-0.49138784328717405
2020-04-23,-0.48148996067808447
2020-04-24,-0.5236596875178772
2020-04-25,-0.5419711223606083
2020-04-26,-0.5259881409582062
2020-04-27,-0.4875563814054418
2020-04-28,-0.49147776751071026
2020-04-29,-0.4786651857822537
2020-04-30,-0.4641045381548641
2020-05-01,-0.4385720168965017
2020-05-02,-0.43100167966729985
2020-05-03,-0.43960619679026486
2020-05-04,-0.4188516525698324
2020-05-05,-0.4260154693366914
2020-05-06,-0.3617205512813724
2020-05-07,-0.3652906932573472
2020-05-08,-0.3787761685027874
2020-05-09,-0.4318315560860263
2020-05-10,-0.408452617050174
2020-05-11,-0.2821352605011325
2020-05-12,-0.2623655613580665
2020-05-13,-0.2505711545975611
2020-05-14,-0.2639979232606144
2020-05-15,-0.2697913915722942
2020-05-16,-0.2916539872895533
2020-05-17,-0.2663139294763403
2020-05-18,-0.2120865053658303
2020-05-19,-0.2500654277158176
2020-05-20,-0.2302175675693681
2020-05-21,-0.19680482026998833
2020-05-22,-0.19612143976478358
2020-05-23,-0.22625977543207307
2020-05-24,-0.21558091889544193
2020-05-25,-0.16001777056147756
2020-05-26,-0.06946834332038229
2020-05-27,-0.09428838189623152
2020-05-28,-0.07174121891725005
2020-05-29,-0.08379617679984488
2020-05-30,-0.09806477480317999
2020-05-31,-0.06197183213334165
2020-06-01,-0.01955244069266791
2020-06-02,-0.03852764547804698
2020-06-03,-0.048216334170539665
2020-06-04,-0.042165311649871896
2020-06-05,-0.045301538740874614
2020-06-06,-0.06611040875934031
2020-06-07,-0.0257411673176406
2020-06-08,-0.01754730936431361
2020-06-09,-0.04053749198319783
2020-06-10,-0.023946575077430005
2020-06-11,-0.01550358983111887
2020-06-12,-0.025681600837685312
2020-06-13,-0.044980548082361425
2020-06-14,-0.021909166837272377
2020-06-15,0.003225877994136527
2020-06-16,-0.0010481780275935384
2020-06-17,0.002032950964896885
2020-06-18,-0.027638371981349934
2020-06-19,-0.05170792051335232
2020-06-20,-0.04868914660497915
2020-06-21,-0.04676586897551343
2020-06-22,-0.027663283269884733
2020-06-23,-0.034404117990308895
2020-06-24,-0.04273107120209437
2020-06-25,-0.054100950022593346
2020-06-26,-0.04699001148584008
2020-06-27,-0.12129746878032414
2020-06-28,-0.1582993268667186
2020-06-29,-0.1112913132335724
2020-06-30,-0.0911376990129486
2020-07-01,-0.13068669586225978
2020-07-02,-0.1422785452035241
2020-07-03,-0.163657508823847
2020-07-04,-0.18328567174496682
2020-07-05,-0.1808305333561757
2020-07-06,-0.17579822203440482
2020-07-07,-0.15482837397040156
2020-07-08,-0.1841971907860915
2020-07-09,-0.18841940737580884
2020-07-10,-0.19196632166187028
2020-07-11,-0.22100593059286722
2020-07-12,-0.22435454188609008
2020-07-13,-0.1927693179415309
2020-07-14,-0.16837244326622874
2020-07-15,-0.16611835350967724
2020-07-16,-0.1713449787929593
2020-07-17,-0.18549350002654685
2020-07-18,-0.20592954681912717
2020-07-19,-0.1932085949124181
2020-07-20,-0.14946618511591356
2020-07-21,-0.1522643646206812
2020-07-22,-0.1535882284900252
2020-07-23,-0.15262223079628442
2020-07-24,-0.1567603348363893
2020-07-25,-0.1748065182634809
2020-07-26,-0.13767843490919535
2020-07-27,-0.12348490095105949
2020-07-28,-0.1006681881412312
2020-07-29,-0.09295423688168915
2020-07-30,-0.09009607739994727
2020-07-31,-0.20217027756350353
2020-08-01,-0.16030110409643222
2020-08-02,-0.11469635144585451
2020-08-03,-0.05916125377401351
2020-08-04,-0.044847017039287916
2020-08-05,-0.051305430883652574
2020-08-06,-0.06961594944440787
2020-08-07,-0.08263811039270628
2020-08-08,-0.07690778407203734
2020-08-09,-0.055875065927950066
2020-08-10,-0.048533560351250345
2020-08-11,-0.027426599581944936
2020-08-12,-0.021875211969756475
2020-08-13,-0.009083986401654132
2020-08-14,-0.03372831002300641
2020-08-15,-0.039164554361639604
2020-08-16,-0.022782635950375472
2020-08-17,-0.0054251023729114944
2020-08-18,-0.0025015789435569313
2020-08-19,-0.019635296439707607
2020-08-20,0.0043859888885330565
2020-08-21,-0.024394301318408116
2020-08-22,-0.03596873879512513
2020-08-23,-0.0067627926924472784
2020-08-24,0.014715580553679263
2020-08-25,0.02920959150791279
2020-08-26,0.02302164548839006
2020-08-27,0.00436007448080495
2020-08-28,-0.0003559499444256133
2020-08-29,0.00391899517188066
2020-08-30,0.02751796419816261
2020-08-31,-0.06468978007002063
2020-09-01,0.05393359582629917
2020-09-02,0.015267843080926147
2020-09-03,-0.013949598126249088
2020-09-04,-0.039373683653174396
2020-09-05,-0.03694793089015721
2020-09-06,-0.003726492895308764
2020-09-07,0.013628732072649714
2020-09-08,0.0017219990217697892
2020-09-09,-0.020799473266001876
2020-09-10,-0.04215884540811405
2020-09-11,-0.04966439969918339
2020-09-12,-0.03414515105116715
2020-09-13,-0.026297500792262646
2020-09-14,0.004211126111614075
2020-09-15,0.008897931040121529
2020-09-16,-0.004091715054416407
2020-09-17,0.000272490527028618
2020-09-18,-0.03770194922700848
2020-09-19,-0.03607548985261377
2020-09-20,6.035784994513866e-05
2020-09-21,-0.016321285927634877
2020-09-22,0.008862777556326326
2020-09-23,-0.00038176270626478267
2020-09-24,-0.022086586740657953
2020-09-25,-0.034639469208250694
2020-09-26,-0.03092010174958378
2020-09-27,-0.014079900546131226
2020-09-28,-0.021046214015009196
2020-09-29,0.005495859129925776
2020-09-30,0.005155813468804253
2020-10-01,0.009120894578583772
2020-10-02,-0.015533722926048904
2020-10-03,-0.0312993926195196
2020-10-04,0.05437446600841274
2020-10-05,-0.011768373008605624
2020-10-06,-0.07215854688390275
2020-10-07,-0.09519485188383933
2020-10-08,-0.07050519287839388
2020-10-09,-0.09253160276744887
2020-10-10,-0.14270258402768624
2020-10-11,-0.09876918901933988
2020-10-12,-0.06545185906328214
2020-10-13,-0.020278076621148184
2020-10-14,-0.0392657102264541
2020-10-15,-0.036147778755830744
2020-10-16,-0.05004296512760037
2020-10-17,-0.057564123238861724
2020-10-18,-0.04098907012048791
2020-10-19,-0.03509017162464617
2020-10-20,-0.02944000010023464
2020-10-21,-0.03993734578137178
2020-10-22,-0.0392289851754429
2020-10-23,-0.07121361890010296
2020-10-24,-0.08789897001900931
2020-10-25,-0.06191051444942786
2020-10-26,-0.02758370648089023
2020-10-27,-0.033634886390779335
2020-10-28,-0.03843269210000161
2020-10-29,-0.058743440446282165
2020-10-30,-0.06107408172682823
2020-10-31,-0.059633426333375365
2020-11-01,-0.03625024568618841
2020-11-02,-0.030881416801895444
2020-11-03,-0.01873350321052957
2020-11-04,-0.04427645317234051
2020-11-05,-0.028527391704450424
2020-11-06,-0.056271745157077904
2020-11-07,-0.062319873716962175
2020-11-08,-0.036638368653925314
2020-11-09,-0.10530152697676554
2020-11-10,-0.08916633476338234
2020-11-11,-0.034067855406687296
2020-11-12,-0.036400103084262905
2020-11-13,-0.08490970786056684
2020-11-14,-0.09947120200137126
2020-11-15,-0.07958335970591303
2020-11-16,-0.04045558920804398
2020-11-17,-0.06231072418873572
2020-11-18,-0.07255492767589872
2020-11-19,-0.0684990529907489
2020-11-20,-0.08850964435440511
2020-11-21,-0.09165387843857699
2020-11-22,-0.08872380434080201
2020-11-23,-0.05095186491469237
2020-11-24,-0.05402296690360743
2020-11-25,-0.06554753921766683
2020-11-26,-0.05895175591456615
2020-11-27,-0.07084596008366423
2020-11-28,-0.10823821769132724
2020-11-29,-0.09329324343222001
2020-11-30,-0.05373797064831019
2020-12-01,-0.04736857796921082
2020-12-02,-0.06108470430682206
2020-12-03,-0.042949425489690975
2020-12-04,-0.06325354034675758
2020-12-05,-0.09003320660064595
2020-12-06,-0.07075866175856436
2020-12-07,-0.06372992602652719
2020-12-08,-0.0640501061882326
2020-12-09,-0.07158854572396721
2020-12-10,-0.06600154659397049
2020-12-11,-0.06898677476398478
2020-12-12,-0.07220706092315761
2020-12-13,-0.08032921896184858
2020-12-14,-0.06451689903915038
2020-12-15,-0.044898123963034046
2020-12-16,-0.06648346255863322
2020-12-17,-0.05510710894461175
2020-12-18,-0.06351124578075984
2020-12-19,-0.056737542293595275
2020-12-20,-0.04119072434438104
2020-12-21,-0.044606551785276755
2020-12-22,-0.047794927526430435
2020-12-23,-0.03473001451896863
2020-12-24,-0.02939191897583359
2020-12-25,-0.03487883035784299
2020-12-26,-0.03324667989603998
2020-12-27,-0.02851157254189768
2020-12-28,-0.029659310298839937
2020-12-29,-0.006724477719927464
2020-12-30,0.017900420120630436
2020-12-31,-0.05891661060881562
2021-01-01,-0.2636487486631739
2021-01-02,-0.21555578407648956
2021-01-03,-0.1324777356116657
2021-01-04,-0.13022006236394862
2021-01-05,-0.10008375419308434
2021-01-06,-0.1047726745701018
2021-01-07,-0.14456987737250393
2021-01-08,-0.15109753433276663
2021-01-09,-0.13934969545625522
2021-01-10,-0.09419226794589731
2021-01-11,-0.08349600724208237
2021-01-12,-0.0676423957856955
2021-01-13,-0.07593306506015036
2021-01-14,-0.08053486772393072
2021-01-15,-0.07545724968261394
2021-01-16,-0.0903811632285857
2021-01-17,-0.07761021132576736
2021-01-18,-0.056270741817838435
2021-01-19,-0.055127297485808684
2021-01-20,-0.05361621036482373
2021-01-21,-0.03894371025608929
2021-01-22,-0.08203991907803769
2021-01-23,-0.10733535011272731
2021-01-24,-0.08831227162472463
2021-01-25,-0.047965364765981455
2021-01-26,-0.05812724468286494
2021-01-27,-0.06931784746163552
2021-01-28,-0.046676622036384376
2021-01-29,-0.05187039565988324
2021-01-30,-0.05210764131694343
2021-01-31,-0.046800160051498736
2021-02-01,-0.018933983369628076
2021-02-02,-0.029885168812585555
2021-02-03,-0.03538135832068464
2021-02-04,-0.04126440355091775
2021-02-05,-0.0354116768222513
2021-02-06,-0.056703092958850024
2021-02-07,-0.07734501522785192
2021-02-08,-0.051065468938043646
2021-02-09,-0.057168954335160026
2021-02-10,-0.08177506303920178
2021-02-11,-0.04526850743244513
2021-02-12,-0.05337557348764212
2021-02-13,-0.07206133698505798
2021-02-14,-0.05281050998478996
2021-02-15,-0.019074487780793247
2021-02-16,-0.014678175324497911
2021-02-17,-0.025428151106728324
2021-02-18,-0.03126319783477222
2021-02-19,-0.04856761494234137
