date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,3,1,5,3,3,1
2020-02-16,3,4,3,4,3,2
2020-02-17,-2,1,4,2,6,2
2020-02-18,0,2,4,4,7,1
2020-02-19,0,3,6,4,5,1
2020-02-20,4,3,10,8,5,0
2020-02-21,2,5,18,0,-18,7
2020-02-22,0,-1,12,2,0,2
2020-02-23,1,1,5,6,3,1
2020-02-24,-1,1,4,4,7,1
2020-02-25,3,8,4,6,8,1
2020-02-26,2,7,6,6,5,1
2020-02-27,3,5,4,4,7,1
2020-02-28,5,9,5,7,7,1
2020-02-29,5,5,6,7,8,0
2020-03-01,4,7,1,7,6,2
2020-03-02,0,4,2,4,7,2
2020-03-03,0,3,1,4,8,1
2020-03-04,2,5,3,5,6,2
2020-03-05,4,4,4,5,7,2
2020-03-06,6,9,8,9,5,1
2020-03-07,5,5,13,9,1,0
2020-03-08,9,8,24,9,2,0
2020-03-09,-14,-9,31,-16,-60,15
2020-03-10,2,11,3,12,8,-1
2020-03-11,3,12,6,9,6,0
2020-03-12,3,30,3,7,7,1
2020-03-13,-3,18,-2,2,2,5
2020-03-14,-10,-1,-6,-5,2,6
2020-03-15,-20,0,-13,-13,-1,9
2020-03-16,-37,-17,-14,-33,-54,24
2020-03-17,-33,-2,-17,-24,-34,18
2020-03-18,-41,-11,-18,-32,-46,23
2020-03-19,-46,-14,-24,-37,-48,25
2020-03-20,-52,1,-28,-36,-53,27
2020-03-21,-89,-92,-56,-81,-70,40
2020-03-22,-88,-92,-59,-80,-56,34
2020-03-23,-79,-67,-41,-64,-75,43
2020-03-24,-64,-31,-35,-57,-72,34
2020-03-25,-86,-84,-49,-79,-79,45
2020-03-26,-74,-57,-38,-57,-72,38
2020-03-27,-82,-76,-47,-75,-74,45
2020-03-28,-88,-89,-56,-80,-65,38
2020-03-29,-86,-87,-57,-78,-50,32
2020-03-30,-76,-66,-39,-62,-70,38
2020-03-31,-85,-83,-47,-78,-75,42
2020-04-01,-78,-68,-41,-65,-71,39
2020-04-02,-84,-80,-48,-77,-75,45
2020-04-03,-84,-78,-50,-77,-74,47
2020-04-04,-86,-85,-55,-79,-62,37
2020-04-05,-84,-84,-55,-77,-45,31
2020-04-06,-71,-56,-36,-56,-68,38
2020-04-07,-85,-85,-47,-79,-77,44
2020-04-08,-83,-80,-46,-76,-73,42
2020-04-09,-70,-55,-36,-54,-66,36
2020-04-10,-83,-78,-48,-76,-73,46
2020-04-11,-84,-81,-53,-76,-59,36
2020-04-12,-83,-83,-55,-76,-45,30
2020-04-13,-86,-89,-48,-81,-79,46
2020-04-14,-86,-88,-49,-80,-77,44
2020-04-15,-84,-83,-47,-78,-73,41
2020-04-16,-71,-59,-37,-57,-66,35
2020-04-17,-82,-79,-47,-77,-70,43
2020-04-18,-85,-83,-54,-78,-57,33
2020-04-19,-84,-84,-56,-77,-41,29
2020-04-20,-68,-57,-37,-58,-57,33
