date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,-2,-1.0,40.0,4,-2.0,-2.0
2020-02-16,-7,-1.0,18.0,2,-3.0,-1.0
2020-02-17,-3,-3.0,-1.0,-11,-22.0,4.0
2020-02-18,-3,-5.0,1.0,-13,-22.0,3.0
2020-02-19,-6,-6.0,-4.0,-12,-23.0,3.0
2020-02-20,-7,-8.0,-7.0,-12,-23.0,3.0
2020-02-21,-8,-2.0,11.0,-5,-23.0,4.0
2020-02-22,-8,-1.0,32.0,12,-4.0,-1.0
2020-02-23,-8,1.0,-13.0,5,-5.0,0.0
2020-02-24,-2,4.0,12.0,-3,-4.0,2.0
2020-02-25,-1,7.0,14.0,-1,0.0,1.0
2020-02-26,-4,6.0,-3.0,0,0.0,1.0
2020-02-27,-14,-10.0,4.0,0,-1.0,3.0
2020-02-28,1,14.0,17.0,4,-1.0,1.0
2020-02-29,-1,8.0,5.0,12,1.0,1.0
2020-03-01,-3,17.0,-4.0,12,-2.0,0.0
2020-03-02,-3,7.0,0.0,1,0.0,1.0
2020-03-03,-2,8.0,6.0,0,1.0,0.0
2020-03-04,-4,6.0,-2.0,0,0.0,1.0
2020-03-05,-5,0.0,-7.0,-2,0.0,1.0
2020-03-06,-1,7.0,3.0,1,1.0,1.0
2020-03-07,2,7.0,44.0,8,1.0,0.0
2020-03-08,0,10.0,7.0,0,-3.0,1.0
2020-03-09,-2,6.0,9.0,-3,0.0,2.0
2020-03-10,-6,6.0,-4.0,-5,-1.0,2.0
2020-03-11,-7,10.0,-5.0,-4,-3.0,2.0
2020-03-12,-7,23.0,2.0,-6,-3.0,2.0
2020-03-13,-12,51.0,3.0,-12,-7.0,6.0
2020-03-14,-30,6.0,3.0,-16,-8.0,8.0
2020-03-15,-29,-1.0,51.0,-8,-14.0,5.0
2020-03-16,-50,17.0,13.0,-32,-44.0,19.0
2020-03-17,-62,3.0,-6.0,-44,-54.0,22.0
2020-03-18,-71,-14.0,-35.0,-56,-62.0,28.0
2020-03-19,-77,-29.0,-36.0,-64,-68.0,31.0
2020-03-20,-80,-29.0,-40.0,-68,-70.0,37.0
2020-03-21,-87,-49.0,-70.0,-72,-63.0,25.0
2020-03-22,-87,-62.0,-34.0,-68,-58.0,
2020-03-23,-80,-35.0,-48.0,-74,-75.0,35.0
2020-03-24,-81,-38.0,-43.0,-73,-76.0,35.0
2020-03-25,-82,-38.0,-50.0,-74,-77.0,36.0
2020-03-26,-82,-38.0,-46.0,-75,-76.0,36.0
2020-03-27,-82,-32.0,-39.0,-74,-76.0,39.0
2020-03-28,-84,-44.0,-28.0,-67,-61.0,23.0
2020-03-29,-90,-70.0,-66.0,-78,-60.0,
2020-03-30,-79,-36.0,-44.0,-74,-76.0,35.0
2020-03-31,-81,-38.0,-44.0,-73,-76.0,34.0
2020-04-01,-81,-36.0,-42.0,-72,-76.0,35.0
2020-04-02,-81,-38.0,-39.0,-73,-76.0,35.0
2020-04-03,-82,-32.0,-56.0,-76,-75.0,40.0
2020-04-04,-84,-41.0,-31.0,-67,-60.0,23.0
2020-04-05,-85,-78.0,-7.0,-65,-57.0,15.0
2020-04-06,-77,-32.0,-31.0,-71,-75.0,34.0
2020-04-07,-78,-33.0,-27.0,-71,-75.0,33.0
2020-04-08,-78,-31.0,-32.0,-70,-76.0,34.0
2020-04-09,-77,-27.0,-35.0,-72,-76.0,33.0
2020-04-10,-78,-22.0,-26.0,-73,-77.0,38.0
2020-04-11,-82,-32.0,-20.0,-65,-58.0,22.0
2020-04-12,-86,-82.0,-21.0,-68,-57.0,15.0
2020-04-13,-93,-94.0,-41.0,-85,-92.0,41.0
2020-04-14,-76,-24.0,-34.0,-71,-73.0,32.0
2020-04-15,-77,-30.0,-34.0,-69,-74.0,34.0
2020-04-16,-81,-26.0,-26.0,-68,-73.0,33.0
2020-04-17,-81,-20.0,-21.0,-68,-71.0,37.0
2020-04-18,-85,-40.0,-26.0,-64,-52.0,22.0
2020-04-19,-85,-81.0,-14.0,-65,-51.0,14.0
2020-04-20,-70,-42.0,-24.0,-65,-66.0,29.0
2020-04-21,-72,-39.0,-20.0,-64,-66.0,29.0
2020-04-22,-73,-39.0,-24.0,-62,-65.0,29.0
2020-04-23,-71,-38.0,-15.0,-62,-65.0,28.0
2020-04-24,-73,-32.0,-17.0,-62,-64.0,32.0
2020-04-25,-75,-33.0,-5.0,-57,-45.0,18.0
2020-04-26,-81,-75.0,20.0,-58,-45.0,12.0
2020-04-27,-66,-35.0,-3.0,-59,-62.0,27.0
2020-04-28,-69,-35.0,-34.0,-61,-63.0,26.0
2020-04-29,-70,-31.0,-34.0,-60,-63.0,28.0
2020-04-30,-62,-20.0,-43.0,-61,-62.0,27.0
2020-05-01,-92,-94.0,-52.0,-84,-90.0,44.0
2020-05-02,-69,-24.0,-34.0,-61,-44.0,19.0
2020-05-03,-79,-73.0,0.0,-60,-41.0,13.0
2020-05-04,-60,-30.0,-20.0,-56,-58.0,26.0
2020-05-05,-62,-30.0,-9.0,-54,-58.0,24.0
2020-05-06,-62,-31.0,-7.0,-52,-58.0,25.0
