date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.03,0.98,1.03,1.03,1.04,1.01
2020-02-16,0.98,0.96,0.96,0.98,1.04,1.01
2020-02-17,1.04,1.0,1.03,1.08,1.05,1.0
2020-02-18,1.0,0.95,1.01,1.07,1.05,1.01
2020-02-19,0.97,0.98,1.02,1.0,1.03,1.01
2020-02-20,1.0,1.0,1.0,0.99,1.04,1.01
2020-02-21,1.05,0.96,0.98,0.96,1.04,1.01
2020-02-22,1.05,0.96,0.95,0.95,1.05,1.0
2020-02-23,1.0,0.97,0.91,0.96,1.02,1.01
2020-02-24,1.04,1.02,1.02,1.02,1.05,1.0
2020-02-25,1.04,1.01,1.04,1.04,1.05,1.0
2020-02-26,1.02,1.01,1.06,0.99,1.06,1.0
2020-02-27,1.03,1.01,1.01,1.0,1.05,1.01
2020-02-28,1.05,0.97,1.01,0.98,1.05,1.01
2020-02-29,1.06,0.96,1.0,0.97,1.06,1.0
2020-03-01,1.01,0.98,1.02,0.98,1.06,1.01
2020-03-02,1.1,1.03,1.03,1.0,1.08,1.0
2020-03-03,1.06,0.99,1.05,1.0,1.07,1.0
2020-03-04,1.05,1.01,1.05,0.98,1.07,1.01
2020-03-05,1.03,1.01,1.04,0.98,1.07,1.0
2020-03-06,1.05,0.98,1.09,0.98,1.07,1.0
2020-03-07,1.06,1.01,1.12,0.9299999999999999,1.07,1.0
2020-03-08,1.02,1.01,1.02,0.95,1.08,1.01
2020-03-09,1.06,1.02,1.06,0.96,1.07,1.0
2020-03-10,1.03,0.98,1.08,1.03,1.07,1.0
2020-03-11,1.01,1.01,1.07,0.96,1.07,1.0
2020-03-12,1.0,0.99,1.09,0.9299999999999999,1.06,1.0
2020-03-13,1.0,0.97,1.02,0.9299999999999999,1.06,1.01
2020-03-14,0.98,0.94,1.01,0.86,1.05,1.0
2020-03-15,0.96,0.96,0.99,0.85,1.06,1.0
2020-03-16,1.01,0.96,1.04,0.9299999999999999,1.05,1.0
2020-03-17,0.99,0.9299999999999999,1.06,0.92,1.04,1.0
2020-03-18,0.97,0.99,1.04,0.91,1.04,1.01
2020-03-19,0.94,0.99,0.99,0.87,0.98,1.03
2020-03-20,0.9299999999999999,0.92,0.98,0.9,0.98,1.04
2020-03-21,0.91,0.92,0.96,0.8,0.99,1.03
2020-03-22,0.89,0.9299999999999999,0.95,0.74,1.01,1.02
2020-03-23,0.97,0.97,1.05,0.83,0.98,1.04
2020-03-24,0.95,0.94,1.08,0.86,0.97,1.04
2020-03-25,0.9299999999999999,1.0,1.03,0.84,0.96,1.05
2020-03-26,0.75,0.91,0.9299999999999999,0.71,0.6599999999999999,1.15
2020-03-27,0.81,0.84,0.94,0.75,0.91,1.12
2020-03-28,0.77,0.81,0.88,0.7,0.96,1.1
2020-03-29,0.75,0.8200000000000001,0.88,0.64,1.0,1.09
2020-03-30,0.86,0.88,0.98,0.75,0.91,1.1
2020-03-31,0.84,0.84,0.96,0.74,0.9,1.1
2020-04-01,0.81,0.88,0.96,0.6799999999999999,0.89,1.11
2020-04-02,0.8,0.87,0.94,0.76,0.88,1.11
2020-04-03,0.79,0.81,0.89,0.69,0.89,1.11
2020-04-04,0.77,0.81,0.85,0.69,0.96,1.09
2020-04-05,0.76,0.83,0.84,0.62,1.0,1.08
2020-04-06,0.85,0.88,0.97,0.71,0.9,1.1
2020-04-07,0.85,0.86,0.99,0.72,0.89,1.09
2020-04-08,0.8200000000000001,0.88,0.98,0.6599999999999999,0.87,1.1
2020-04-09,0.8200000000000001,0.88,0.96,0.6599999999999999,0.87,1.11
2020-04-10,0.81,0.84,0.92,0.6799999999999999,0.88,1.12
2020-04-11,0.78,0.83,0.9,0.6699999999999999,0.96,1.1
2020-04-12,0.78,0.83,0.89,0.62,1.0,1.08
2020-04-13,0.76,0.84,0.9,0.62,0.63,1.17
2020-04-14,0.8200000000000001,0.83,0.94,0.6799999999999999,0.88,1.12
2020-04-15,0.8200000000000001,0.87,0.94,0.7,0.88,1.11
2020-04-16,0.8200000000000001,0.89,0.96,0.6699999999999999,0.88,1.1
2020-04-17,0.8,0.83,0.9,0.64,0.88,1.11
2020-04-18,0.79,0.81,0.84,0.5800000000000001,0.96,1.09
2020-04-19,0.79,0.83,0.86,0.56,0.99,1.07
2020-04-20,0.89,0.9,0.97,0.6599999999999999,0.9,1.1
2020-04-21,0.84,0.85,1.0,0.6699999999999999,0.88,1.09
2020-04-22,0.83,0.9,0.9299999999999999,0.62,0.89,1.09
2020-04-23,0.86,0.9299999999999999,0.97,0.6699999999999999,0.89,1.09
