date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.04,1.05,0.98,1.04,1.09,0.99
2020-02-16,1.03,1.05,1.0,1.04,1.06,1.0
2020-02-17,1.02,1.04,1.0,1.01,0.97,1.02
2020-02-18,1.0,1.06,0.99,1.03,1.03,1.0
2020-02-19,0.98,1.02,0.96,0.99,1.04,0.99
2020-02-20,1.03,1.04,1.08,1.01,1.03,1.0
2020-02-21,1.0,1.01,0.96,1.02,1.05,0.99
2020-02-22,1.03,1.02,1.01,1.03,1.07,1.0
2020-02-23,1.03,1.03,0.97,1.08,1.04,1.0
2020-02-24,0.98,1.02,1.0,1.01,1.03,1.0
2020-02-25,1.02,1.03,0.97,1.03,1.03,1.0
2020-02-26,0.99,1.03,1.04,1.02,1.03,0.99
2020-02-27,1.04,1.04,0.96,1.08,1.03,1.0
2020-02-28,1.07,0.9299999999999999,0.96,1.08,1.04,0.99
2020-02-29,1.06,0.9,0.99,1.1,1.07,0.98
2020-03-01,1.06,0.9,0.99,1.04,1.06,0.98
2020-03-02,1.05,0.9299999999999999,0.92,1.03,1.04,0.98
2020-03-03,1.02,1.04,0.99,1.06,1.05,0.98
2020-03-04,1.05,1.04,0.96,1.03,1.05,0.98
2020-03-05,1.04,1.03,0.9299999999999999,1.01,1.06,0.99
2020-03-06,0.99,1.02,0.96,0.98,1.07,0.98
2020-03-07,1.02,1.0,0.98,1.03,1.06,0.98
2020-03-08,1.0,1.0,1.0,1.06,1.1,0.97
2020-03-09,1.0,1.0,0.96,1.04,1.04,0.98
2020-03-10,1.02,1.03,0.96,1.07,1.04,0.98
2020-03-11,1.02,1.0,0.97,1.07,1.04,0.98
2020-03-12,1.03,1.04,1.04,1.04,1.04,1.0
2020-03-13,1.05,1.02,0.98,1.01,1.07,0.99
2020-03-14,1.02,1.01,1.0,1.04,1.08,0.98
2020-03-15,1.01,1.01,1.05,1.02,1.06,0.99
2020-03-16,1.01,0.99,0.95,0.97,1.05,0.98
2020-03-17,0.99,1.03,0.97,0.99,1.06,0.98
2020-03-18,0.99,1.04,0.9,1.03,1.05,0.99
2020-03-19,0.97,1.05,0.97,1.0,1.04,0.98
2020-03-20,0.9299999999999999,1.02,0.9299999999999999,0.96,1.01,1.02
2020-03-21,0.89,0.96,0.94,0.89,0.9299999999999999,1.02
2020-03-22,0.89,0.92,0.92,0.77,1.01,1.01
2020-03-23,0.88,0.96,0.86,0.76,0.88,1.05
2020-03-24,0.86,0.97,0.87,0.78,0.87,1.05
2020-03-25,0.86,0.95,0.84,0.78,0.86,1.07
2020-03-26,0.83,0.9299999999999999,0.89,0.71,0.83,1.07
2020-03-27,0.84,0.9299999999999999,0.89,0.71,0.86,1.08
2020-03-28,0.74,0.84,0.83,0.7,0.86,1.1
2020-03-29,0.77,0.85,0.81,0.75,0.99,1.09
2020-03-30,0.78,0.85,0.74,0.72,0.78,1.13
2020-03-31,0.76,0.83,0.8,0.76,0.74,1.13
2020-04-01,0.73,0.83,0.78,0.6799999999999999,0.74,1.13
2020-04-02,0.77,0.86,0.8,0.69,0.75,1.15
2020-04-03,0.76,0.83,0.79,0.65,0.77,1.15
2020-04-04,0.76,0.83,0.84,0.6699999999999999,0.88,1.11
2020-04-05,0.78,0.85,0.84,0.7,1.0,1.08
2020-04-06,0.8,0.9,0.8,0.6599999999999999,0.77,1.13
2020-04-07,0.8,0.89,0.84,0.71,0.76,1.12
2020-04-08,0.8,0.89,0.81,0.69,0.77,1.13
2020-04-09,0.81,0.91,0.86,0.7,0.77,1.1400000000000001
2020-04-10,0.76,0.8,0.8,0.6799999999999999,0.78,1.1400000000000001
2020-04-11,0.77,0.86,0.79,0.65,0.9,1.11
2020-04-12,0.77,0.84,0.81,0.64,1.0,1.09
2020-04-13,0.73,0.81,0.79,0.6,0.5700000000000001,1.18
2020-04-14,0.8,0.92,0.79,0.71,0.8,1.13
2020-04-15,0.8200000000000001,0.91,0.8200000000000001,0.69,0.79,1.13
2020-04-16,0.81,0.9299999999999999,0.85,0.6799999999999999,0.8,1.13
2020-04-17,0.77,0.86,0.76,0.6599999999999999,0.8200000000000001,1.13
2020-04-18,0.79,0.89,0.8,0.65,0.92,1.1
2020-04-19,0.81,0.87,0.77,0.6699999999999999,1.02,1.07
2020-04-20,0.81,0.92,0.79,0.69,0.79,1.12
2020-04-21,0.81,0.95,0.81,0.72,0.79,1.11
2020-04-22,0.87,0.96,0.79,0.71,0.81,1.11
2020-04-23,0.91,1.06,0.83,0.78,0.8,1.1
2020-04-24,0.7,0.83,0.69,0.5800000000000001,0.65,1.2
2020-04-25,0.72,0.8200000000000001,0.74,0.63,0.94,1.15
2020-04-26,0.72,0.8200000000000001,0.73,0.63,1.07,1.12
2020-04-27,0.74,0.86,0.73,0.63,0.81,1.1400000000000001
2020-04-28,0.75,0.89,0.73,0.64,0.8,1.13
2020-04-29,0.75,0.87,0.74,0.64,0.81,1.1400000000000001
2020-04-30,0.79,0.88,0.76,0.6599999999999999,0.8,1.1400000000000001
2020-05-01,0.7,0.8,0.69,0.56,0.65,1.19
2020-05-02,0.73,0.85,0.76,0.61,0.96,1.12
2020-05-03,0.74,0.84,0.71,0.61,1.11,1.1
2020-05-04,0.77,0.87,0.79,0.6,0.81,1.12
2020-05-05,0.8,0.94,0.72,0.61,0.81,1.12
2020-05-06,0.81,0.94,0.78,0.62,0.85,1.12
2020-05-07,0.83,0.98,0.77,0.7,0.86,1.13
2020-05-08,0.79,0.91,0.76,0.62,0.9,1.1400000000000001
2020-05-09,0.77,0.89,0.75,0.61,1.02,1.11
2020-05-10,0.79,0.9,0.74,0.65,1.16,1.08
2020-05-11,0.81,0.95,0.8,0.63,0.85,1.12
2020-05-12,0.81,0.9299999999999999,0.79,0.69,0.84,1.1
2020-05-13,0.84,0.97,0.8,0.7,0.87,1.1
2020-05-14,0.89,1.0,0.85,0.71,0.88,1.09
2020-05-15,0.86,0.98,0.88,0.71,0.91,1.11
2020-05-16,0.84,0.95,0.83,0.7,1.04,1.09
2020-05-17,0.85,0.99,0.83,0.77,1.1400000000000001,1.05
2020-05-18,0.86,1.03,0.85,0.73,0.87,1.08
2020-05-19,0.83,1.0,0.8,0.77,0.86,1.09
2020-05-20,0.83,1.0,0.81,0.77,0.6599999999999999,1.12
2020-05-21,0.99,1.16,0.94,0.9299999999999999,0.87,1.07
2020-05-22,1.02,1.25,0.91,0.92,0.88,1.06
2020-05-23,0.94,0.9,0.83,0.74,0.7,1.02
2020-05-24,0.97,0.97,0.88,0.77,1.01,1.04
2020-05-25,1.08,1.17,0.9299999999999999,0.8200000000000001,0.87,1.06
2020-05-26,1.02,1.13,0.9,0.89,0.91,1.06
2020-05-27,0.95,1.07,0.9,0.87,0.9299999999999999,1.06
2020-05-28,1.03,1.1400000000000001,0.9,0.84,0.9299999999999999,1.06
2020-05-29,1.01,1.13,0.86,0.88,0.96,1.05
2020-05-30,1.01,1.06,0.88,0.89,1.01,1.02
2020-05-31,1.01,1.09,0.88,0.95,1.12,1.0
2020-06-01,1.0,1.12,0.95,0.88,0.9299999999999999,0.99
2020-06-02,0.99,1.1,0.86,0.94,0.9299999999999999,1.0
2020-06-03,1.03,1.13,0.92,0.92,0.96,0.99
2020-06-04,1.01,1.11,0.9299999999999999,0.86,0.97,1.0
2020-06-05,1.02,1.1,0.9,0.91,0.98,1.0
2020-06-06,1.07,1.1,0.9299999999999999,0.94,1.04,0.97
2020-06-07,1.01,1.07,0.91,0.95,1.11,0.98
2020-06-08,1.0,1.11,0.94,0.9,0.96,0.98
2020-06-09,1.01,1.1,0.86,0.9,0.97,0.99
2020-06-10,1.04,1.09,0.91,1.0,0.98,0.99
2020-06-11,1.05,1.08,0.9299999999999999,0.89,0.97,1.0
2020-06-12,1.02,1.05,0.96,0.87,0.98,1.0
2020-06-13,1.04,1.05,0.92,0.88,1.03,0.96
2020-06-14,0.95,0.96,0.86,0.85,1.04,0.97
2020-06-15,1.05,1.1,0.94,0.94,0.98,0.97
2020-06-16,1.02,1.06,0.94,0.96,0.97,0.97
2020-06-17,1.03,1.08,0.9,0.95,0.97,0.98
2020-06-18,1.01,1.04,0.91,0.89,0.95,1.0
2020-06-19,1.03,1.02,0.87,0.89,0.98,0.99
2020-06-20,1.03,1.01,0.91,0.89,1.03,0.97
2020-06-21,1.03,1.0,0.9,0.9299999999999999,1.07,0.98
2020-06-22,1.02,1.03,0.9,0.87,0.94,0.98
2020-06-23,1.0,1.03,0.92,0.88,0.94,0.98
2020-06-24,1.02,1.05,0.94,0.9299999999999999,0.96,0.98
2020-06-25,1.07,1.09,0.95,0.89,0.95,0.98
2020-06-26,1.02,1.05,0.95,0.9,0.96,0.98
2020-06-27,1.06,1.05,0.89,0.92,0.99,0.96
2020-06-28,1.05,1.02,0.89,0.97,1.03,0.98
2020-06-29,1.02,1.05,0.9299999999999999,0.89,0.94,0.98
2020-06-30,1.06,1.06,1.07,1.03,0.96,0.97
2020-07-01,1.05,1.08,1.1,1.0,0.97,0.98
2020-07-02,1.06,1.07,1.15,0.96,0.96,1.0
2020-07-03,1.04,1.05,1.19,0.97,0.97,0.99
2020-07-04,1.04,1.05,1.11,0.99,0.98,0.97
2020-07-05,1.05,1.04,1.04,0.99,1.04,0.96
2020-07-06,1.04,1.1,1.15,0.9299999999999999,0.94,0.97
2020-07-07,1.03,1.05,1.08,1.04,0.94,0.98
2020-07-08,1.01,1.01,1.04,0.99,0.95,0.98
2020-07-09,1.03,1.06,1.1,0.92,0.95,0.98
2020-07-10,1.02,1.0,1.02,0.9,0.95,1.01
2020-07-11,1.02,1.04,1.09,0.99,0.98,0.97
2020-07-12,0.9299999999999999,0.97,0.97,0.86,0.99,1.01
2020-07-13,1.05,1.09,1.12,0.92,0.9299999999999999,0.98
2020-07-14,1.02,1.04,1.06,0.94,0.92,1.0
