,0
2020-03-01,-0.03502440082716517
2020-03-02,0.012730742458156502
2020-03-03,-0.004069508089759527
2020-03-04,0.010793675065426755
2020-03-05,0.019970960741034157
2020-03-06,0.014470172839682327
2020-03-07,0.014595214630331825
2020-03-08,-0.024391859777974624
2020-03-09,0.029168258245346634
2020-03-10,0.015269855736570713
2020-03-11,0.006245085398194526
2020-03-12,-0.007964831801345102
2020-03-13,0.0010134298611831607
2020-03-14,-0.004203415316193802
2020-03-15,-0.03969744876436796
2020-03-16,0.00929855745157787
2020-03-17,0.0012327021304673752
2020-03-18,0.009986401932832808
2020-03-19,0.010523795098931515
2020-03-20,-2.2861573954649402e-05
2020-03-21,-0.014169553877551689
2020-03-22,-0.07526556683653698
2020-03-23,-0.036510527161895796
2020-03-24,-0.09374781561475977
2020-03-25,-0.0952373976571975
2020-03-26,-0.13413018249402325
2020-03-27,-0.1841648151274281
2020-03-28,-0.20469355479824386
2020-03-29,-0.24148176666624302
2020-03-30,-0.18693740425692462
2020-03-31,-0.28751917570557356
2020-04-01,-0.33470748669178313
2020-04-02,-0.31343224354305527
2020-04-03,-0.32756309232701186
2020-04-04,-0.3183036691687786
2020-04-05,-0.32158084806796705
2020-04-06,-0.3124234597028648
2020-04-07,-0.28992945407022125
2020-04-08,-0.30939802640012604
2020-04-09,-0.31189885934771855
2020-04-10,-0.3435226673059088
2020-04-11,-0.29760582892538023
2020-04-12,-0.3218333535200896
2020-04-13,-0.363722519786019
2020-04-14,-0.31857304808714026
2020-04-15,-0.2866112113252486
2020-04-16,-0.2936122295904939
2020-04-17,-0.31494771270929295
2020-04-18,-0.3236674961901221
2020-04-19,-0.3400699630578512
2020-04-20,-0.3152653491475201
2020-04-21,-0.3203172065170556
2020-04-22,-0.3155533786528468
2020-04-23,-0.321898868785356
2020-04-24,-0.33780029081885476
2020-04-25,-0.351358621376281
2020-04-26,-0.37728241684310027
2020-04-27,-0.3322437576640861
2020-04-28,-0.36297001799502987
2020-04-29,-0.32652227913401494
2020-04-30,-0.3459877117763796
2020-05-01,-0.354524775757962
2020-05-02,-0.32602505234376566
2020-05-03,-0.3579877688976467
2020-05-04,-0.20948900952165025
2020-05-05,-0.26460028040799016
2020-05-06,-0.19889194302331972
2020-05-07,-0.24084457597812434
2020-05-08,-0.2184283478536728
2020-05-09,-0.24021510130473728
2020-05-10,-0.30274564728605446
2020-05-11,-0.16736340829387839
2020-05-12,-0.2127095285583808
2020-05-13,-0.14198045550713917
2020-05-14,-0.19216921779167967
2020-05-15,-0.15008952147401272
2020-05-16,-0.17558651311542503
2020-05-17,-0.23583132311731436
2020-05-18,-0.11052119193307626
2020-05-19,-0.21266870460433485
2020-05-20,-0.14697632808457164
2020-05-21,-0.18089730253516667
2020-05-22,-0.11889097434827445
2020-05-23,-0.19254060111032317
2020-05-24,-0.20436202291001687
2020-05-25,-0.2096599374672386
2020-05-26,-0.21052225617774734
2020-05-27,-0.08929510422578749
2020-05-28,-0.15478191592764073
2020-05-29,-0.09290264920929876
2020-05-30,-0.14538346781224484
2020-05-31,-0.16911051176859193
2020-06-01,-0.09379601933274198
2020-06-02,-0.15005863607773415
2020-06-03,-0.07944782303791877
2020-06-04,-0.1116441157177581
2020-06-05,-0.07918624991106879
2020-06-06,-0.13080380510711728
2020-06-07,-0.15093975410901087
2020-06-08,-0.07889846248842876
2020-06-09,-0.12570316782087412
2020-06-10,-0.07297677245107538
2020-06-11,-0.10164497713798287
2020-06-12,-0.12220523030477547
2020-06-13,-0.12348909845318222
2020-06-14,-0.15580974736955816
2020-06-15,-0.0641081253755731
2020-06-16,-0.08396196879336536
2020-06-17,-0.06852961798042011
2020-06-18,-0.1433137272003935
2020-06-19,-0.0836073855479426
2020-06-20,-0.11852879793496489
2020-06-21,-0.14472177012936266
2020-06-22,-0.07150212296268454
2020-06-23,-0.0821108291301365
2020-06-24,-0.047913019827360855
2020-06-25,-0.07333232762040723
2020-06-26,-0.040273794229218306
2020-06-27,-0.08123966477247122
2020-06-28,-0.1304294309512932
2020-06-29,-0.02750862406534689
2020-06-30,-0.06225467610908838
2020-07-01,-0.03767287174786333
2020-07-02,-0.07056494205121179
2020-07-03,-0.03068695328150127
2020-07-04,-0.08605347178167212
2020-07-05,-0.09789503239327159
2020-07-06,-0.011300007644364351
2020-07-07,-0.04361356050441698
2020-07-08,-0.04164476764784429
2020-07-09,-0.053202656267196544
2020-07-10,-0.04180586802301947
2020-07-11,-0.05606304705689968
2020-07-12,-0.09557587600043393
2020-07-13,-0.0036602674570646748
2020-07-14,-0.048292559534537524
2020-07-15,-0.02734316361490082
2020-07-16,-0.039791743883270614
2020-07-17,-0.02477530902637147
2020-07-18,-0.047926584029959814
2020-07-19,-0.08943915159983912
2020-07-20,-0.010733579757165063
2020-07-21,-0.05028883175893381
2020-07-22,-0.028311299189242908
