date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.08,1.05,1.07,1.12,1.05,0.98
2020-02-16,1.01,0.99,0.98,1.05,1.06,0.99
2020-02-17,1.01,1.0,1.08,1.05,1.07,1.0
2020-02-18,1.0,0.98,1.09,1.0,1.04,1.0
2020-02-19,0.96,0.92,1.07,1.01,1.02,1.01
2020-02-20,0.97,0.95,1.05,1.02,1.03,1.01
2020-02-21,1.01,0.98,1.03,1.09,1.03,1.0
2020-02-22,1.04,1.03,1.11,1.16,1.03,0.98
2020-02-23,1.0,0.98,1.02,1.05,1.0,0.99
2020-02-24,0.96,0.95,1.06,1.03,1.04,1.01
2020-02-25,0.98,0.97,1.08,1.01,1.03,1.0
2020-02-26,1.03,0.99,1.02,1.07,1.02,0.98
2020-02-27,0.99,0.99,1.0,1.09,1.02,0.99
2020-02-28,1.03,0.97,1.1,1.09,0.99,1.01
2020-02-29,0.97,0.95,1.07,1.03,0.9,1.01
2020-03-01,0.96,0.99,0.95,1.1400000000000001,0.99,0.99
2020-03-02,0.96,0.99,1.02,1.05,1.03,1.01
2020-03-03,0.98,1.0,1.02,1.04,1.03,1.01
2020-03-04,1.05,1.03,1.02,1.09,1.03,0.99
2020-03-05,0.99,0.98,1.01,1.08,1.02,1.0
2020-03-06,1.04,1.04,1.03,1.12,1.01,0.99
2020-03-07,1.12,1.1,1.15,1.23,1.05,0.97
2020-03-08,1.08,1.04,1.04,1.17,1.01,0.99
2020-03-09,1.02,1.01,1.09,1.07,1.05,1.01
2020-03-10,1.02,0.98,1.08,1.04,1.05,1.0
2020-03-11,1.03,0.99,1.04,1.07,1.03,0.98
2020-03-12,0.99,0.96,1.0,1.09,1.04,1.01
2020-03-13,1.0,0.98,1.06,1.06,1.04,1.0
2020-03-14,1.05,1.1,1.07,1.17,1.11,0.99
2020-03-15,0.87,0.99,0.9299999999999999,0.92,1.01,1.06
2020-03-16,0.89,1.0,1.09,0.98,0.86,1.07
2020-03-17,0.81,0.88,1.04,0.87,0.79,1.09
2020-03-18,0.81,0.86,0.98,0.85,0.76,1.08
2020-03-19,0.77,0.86,0.99,0.87,0.76,1.1
2020-03-20,0.75,0.8200000000000001,1.01,0.78,0.76,1.1
2020-03-21,0.75,0.87,0.97,0.73,0.92,1.08
2020-03-22,0.54,0.69,0.85,0.4,0.76,1.16
2020-03-23,0.48,0.55,0.99,0.31999999999999995,0.42000000000000004,1.26
2020-03-24,0.42000000000000004,0.43999999999999995,0.96,0.29000000000000004,0.37,1.29
2020-03-25,0.43000000000000005,0.43000000000000005,0.88,0.28,0.36,1.28
2020-03-26,0.4,0.42000000000000004,0.84,0.27,0.37,1.29
2020-03-27,0.38,0.39,0.89,0.24,0.38,1.34
2020-03-28,0.42000000000000004,0.44999999999999996,0.88,0.27,0.5700000000000001,1.22
