date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,-5.0,0.0,-1.0,-6.0,0.0,2.0
2020-02-16,-5.0,-2.0,0.0,-5.0,4.0,2.0
2020-02-17,-8.0,-4.0,3.0,-7.0,4.0,2.0
2020-02-18,-7.0,-3.0,3.0,-6.0,4.0,2.0
2020-02-19,-7.0,-4.0,8.0,-4.0,3.0,1.0
2020-02-20,-5.0,-4.0,-3.0,-3.0,3.0,2.0
2020-02-21,-6.0,-3.0,4.0,-13.0,-4.0,2.0
2020-02-22,-9.0,-4.0,-3.0,-8.0,0.0,2.0
2020-02-23,-7.0,-4.0,3.0,-7.0,4.0,2.0
2020-02-24,-9.0,-6.0,5.0,-8.0,4.0,2.0
2020-02-25,-6.0,-3.0,2.0,-3.0,3.0,1.0
2020-02-26,-5.0,-1.0,-3.0,-3.0,-1.0,2.0
2020-02-27,2.0,5.0,-3.0,-2.0,3.0,1.0
2020-02-28,3.0,6.0,3.0,-10.0,-3.0,2.0
2020-02-29,1.0,6.0,-2.0,-6.0,2.0,1.0
2020-03-01,1.0,5.0,2.0,-6.0,5.0,1.0
2020-03-02,-2.0,3.0,0.0,-8.0,4.0,1.0
2020-03-03,-1.0,3.0,0.0,-8.0,4.0,1.0
2020-03-04,-1.0,2.0,2.0,-6.0,4.0,1.0
2020-03-05,1.0,3.0,-2.0,-9.0,4.0,1.0
2020-03-06,-1.0,2.0,-1.0,-17.0,-3.0,2.0
2020-03-07,-4.0,2.0,-9.0,-16.0,2.0,2.0
2020-03-08,-4.0,2.0,-2.0,-18.0,4.0,2.0
2020-03-09,-8.0,2.0,0.0,-21.0,-8.0,5.0
2020-03-10,-5.0,3.0,4.0,-19.0,-9.0,5.0
2020-03-11,-7.0,0.0,4.0,-21.0,-9.0,5.0
2020-03-12,-10.0,0.0,-12.0,-25.0,-9.0,7.0
2020-03-13,-16.0,-1.0,-17.0,-31.0,-5.0,6.0
2020-03-14,-16.0,0.0,-14.0,-28.0,0.0,5.0
2020-03-15,-14.0,4.0,-8.0,-34.0,-11.0,7.0
2020-03-16,-29.0,2.0,-19.0,-43.0,-19.0,9.0
2020-03-17,-35.0,-5.0,-25.0,-47.0,-24.0,11.0
