,0
2020-03-01,-0.07945
2020-03-02,-0.07355
2020-03-03,-0.06427
2020-03-04,-0.05380000000000001
2020-03-05,0.00961
2020-03-06,0.06291
2020-03-07,0.02459
2020-03-08,-0.01827
2020-03-09,-0.01194
2020-03-10,0.01575
2020-03-11,0.01026
2020-03-12,-0.03657
2020-03-13,-0.01309
2020-03-14,-0.058070000000000004
2020-03-15,-0.10859
2020-03-16,-0.06555
2020-03-17,-0.0934
2020-03-18,-0.05449
2020-03-19,-0.04375
2020-03-20,-0.06077
2020-03-21,-0.16126
2020-03-22,-0.23079
2020-03-23,-0.12821
2020-03-24,-0.14278
2020-03-25,-0.20034
2020-03-26,-0.12934
2020-03-27,-0.11037
2020-03-28,-0.1796
2020-03-29,-0.25162
2020-03-30,-0.14034
2020-03-31,-0.12114000000000001
2020-04-01,-0.10814
2020-04-02,-0.15004
2020-04-03,-0.11282000000000002
2020-04-04,-0.26958
2020-04-05,-0.28175
2020-04-06,-0.11096
2020-04-07,-0.10786
2020-04-08,-0.16957
2020-04-09,-0.24407999999999996
2020-04-10,-0.21275
2020-04-11,-0.3132
2020-04-12,-0.36557
2020-04-13,-0.15514
2020-04-14,-0.21102
2020-04-15,-0.16426
2020-04-16,-0.17762
2020-04-17,-0.17351
2020-04-18,-0.21268999999999996
2020-04-19,-0.26524
2020-04-20,-0.16121
2020-04-21,-0.0856
2020-04-22,-0.14645
2020-04-23,-0.19793
2020-04-24,-0.17761
2020-04-25,-0.30045
2020-04-26,-0.321
2020-04-27,-0.17971
2020-04-28,-0.1903
2020-04-29,-0.2614
2020-04-30,-0.13652
2020-05-01,-0.34213
2020-05-02,-0.28694
2020-05-03,-0.36423
2020-05-04,-0.23025999999999996
2020-05-05,-0.20639
2020-05-06,-0.22118999999999997
2020-05-07,-0.21215
2020-05-08,-0.20363
2020-05-09,-0.2796
2020-05-10,-0.40734000000000004
2020-05-11,-0.17625
2020-05-12,-0.13086
2020-05-13,-0.23381
2020-05-14,-0.17262
2020-05-15,-0.12823
2020-05-16,-0.22124000000000002
2020-05-17,-0.30238
2020-05-18,-0.08764
2020-05-19,-0.15964
2020-05-20,-0.15799
2020-05-21,-0.21002999999999997
2020-05-22,-0.12497999999999998
2020-05-23,-0.21009
2020-05-24,-0.39508
