date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,0.99,0.97,0.89,0.99,1.1400000000000001,1.0
2020-02-16,1.02,0.99,0.98,1.02,1.02,0.98
2020-02-17,1.02,1.01,0.98,1.01,1.15,0.98
2020-02-18,0.9299999999999999,0.95,0.9,0.97,1.1400000000000001,0.99
2020-02-19,0.97,1.0,0.95,0.99,1.17,0.99
2020-02-20,1.03,1.01,1.0,1.03,1.18,0.98
2020-02-21,1.05,1.05,0.99,1.04,1.17,0.97
2020-02-22,1.05,1.05,0.99,1.06,1.17,0.97
2020-02-23,1.09,1.05,1.08,1.06,1.05,0.96
2020-02-24,1.01,1.0,0.98,1.01,1.15,0.98
2020-02-25,1.01,1.02,0.99,1.0,1.17,0.97
2020-02-26,0.97,1.01,0.96,0.99,1.17,0.98
2020-02-27,0.91,0.92,0.85,0.97,1.15,1.0
2020-02-28,0.98,1.01,0.91,1.02,1.18,0.99
2020-02-29,1.02,1.03,0.96,1.06,1.19,0.97
2020-03-01,1.01,0.96,1.06,1.06,1.05,0.95
2020-03-02,1.04,1.05,1.0,1.03,1.17,0.94
2020-03-03,1.03,1.06,0.98,1.03,1.2,0.95
2020-03-04,0.99,1.1,0.9,1.03,1.21,0.97
2020-03-05,1.0,1.08,0.89,1.02,1.19,0.98
2020-03-06,1.08,1.1400000000000001,0.99,1.07,1.24,0.97
2020-03-07,1.03,1.09,0.9,1.04,1.17,0.99
2020-03-08,1.09,1.08,1.02,1.05,1.08,0.98
2020-03-09,0.91,0.96,0.91,0.9,0.71,1.05
2020-03-10,0.98,1.03,0.92,1.01,1.19,0.97
2020-03-11,0.97,1.04,0.9299999999999999,1.02,1.22,0.98
2020-03-12,1.0,1.0,0.95,1.03,1.22,0.98
2020-03-13,1.03,1.04,1.0,1.07,1.22,0.97
2020-03-14,1.02,1.03,1.04,1.09,1.21,0.97
2020-03-15,1.01,1.04,1.06,1.05,1.1,0.97
2020-03-16,1.02,1.07,1.01,1.09,1.19,0.96
2020-03-17,0.99,1.05,1.01,1.06,1.19,0.96
2020-03-18,0.99,1.08,1.02,1.02,1.19,0.96
2020-03-19,1.01,1.04,1.01,0.99,1.17,0.96
2020-03-20,1.02,1.07,1.04,1.0,1.09,0.95
2020-03-21,0.81,0.85,0.97,0.88,0.74,1.04
2020-03-22,0.91,0.83,1.1400000000000001,0.89,0.96,0.97
2020-03-23,0.79,0.84,0.89,0.74,0.6699999999999999,1.04
2020-03-24,0.79,0.83,0.87,0.75,0.7,1.03
2020-03-25,0.8,0.87,0.83,0.76,0.74,1.04
2020-03-26,0.88,0.89,0.92,0.8,0.91,1.01
2020-03-27,0.91,0.95,0.94,0.84,1.08,1.01
2020-03-28,0.92,0.94,0.95,0.83,1.13,0.99
2020-03-29,0.92,0.92,1.04,0.83,1.1,0.97
2020-03-30,0.92,0.96,0.97,0.84,1.1,0.98
2020-03-31,0.87,0.9299999999999999,0.85,0.8,1.09,0.98
2020-04-01,0.84,0.89,0.79,0.78,1.1,1.0
2020-04-02,0.96,0.96,0.95,0.84,1.13,0.97
2020-04-03,0.98,0.98,0.96,0.9,1.15,0.97
2020-04-04,0.95,0.97,0.96,0.88,1.15,0.98
2020-04-05,0.94,0.94,1.0,0.85,1.06,0.98
2020-04-06,0.95,0.96,0.9299999999999999,0.84,1.1400000000000001,0.98
2020-04-07,0.9299999999999999,0.9299999999999999,0.89,0.83,1.12,0.98
2020-04-08,0.83,0.88,0.79,0.8,1.13,1.01
2020-04-09,0.84,0.8,0.8200000000000001,0.8,1.06,1.02
2020-04-10,0.97,0.96,0.95,0.88,1.15,0.99
2020-04-11,0.91,0.92,0.86,0.85,1.15,1.0
2020-04-12,0.87,0.87,0.85,0.79,0.99,1.01
2020-04-13,0.88,0.9,0.83,0.79,1.13,1.0
2020-04-14,0.88,0.9,0.86,0.8200000000000001,1.12,0.99
2020-04-15,0.83,0.87,0.83,0.79,1.11,1.02
2020-04-16,0.97,0.95,0.95,0.86,1.13,0.98
2020-04-17,0.97,0.97,0.98,0.87,1.1400000000000001,0.98
2020-04-18,0.94,0.95,0.96,0.8200000000000001,1.09,0.98
2020-04-19,0.9299999999999999,0.91,1.0,0.77,0.98,0.98
2020-04-20,0.92,0.9299999999999999,0.97,0.78,1.1,0.98
2020-04-21,0.89,0.91,0.92,0.79,1.09,0.97
2020-04-22,0.89,0.91,0.9,0.79,1.08,0.99
2020-04-23,0.88,0.94,0.88,0.79,1.07,1.0
2020-04-24,0.74,0.84,0.8,0.72,1.03,1.06
2020-04-25,0.73,0.83,0.77,0.69,1.01,1.07
2020-04-26,0.71,0.78,0.79,0.6799999999999999,0.95,1.06
2020-04-27,0.71,0.78,0.8,0.65,0.91,1.07
