date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.02,1.03,0.89,0.96,1.07,1.01
2020-02-16,1.07,1.06,1.1400000000000001,1.02,1.05,1.0
2020-02-17,1.06,1.05,1.1,1.05,1.08,0.98
2020-02-18,1.04,1.06,1.11,1.04,1.08,0.98
2020-02-19,1.0,1.03,1.06,1.0,1.09,0.98
2020-02-20,0.99,1.02,1.02,1.0,1.1,0.99
2020-02-21,0.96,1.0,0.92,0.97,1.07,1.0
2020-02-22,1.0,1.01,0.9,0.96,1.08,1.01
2020-02-23,1.07,1.05,1.21,1.03,1.07,1.0
2020-02-24,1.03,1.03,1.07,1.03,1.09,0.99
2020-02-25,1.03,1.06,1.12,1.04,1.09,0.98
2020-02-26,1.01,1.06,1.15,1.03,1.1,0.98
2020-02-27,0.98,1.04,1.07,1.03,1.11,0.99
2020-02-28,0.97,1.03,1.06,1.0,1.08,0.99
2020-02-29,0.94,0.98,0.84,0.9,1.07,1.02
2020-03-01,1.09,1.1,1.35,1.03,1.07,1.0
2020-03-02,1.06,1.07,1.18,1.07,1.1,0.98
2020-03-03,1.07,1.09,1.23,1.06,1.1,0.97
2020-03-04,1.02,1.07,1.16,1.04,1.11,0.98
2020-03-05,1.03,1.08,1.1,1.04,1.12,0.98
2020-03-06,1.06,1.1,1.17,1.04,1.09,0.98
2020-03-07,1.13,1.12,1.34,1.09,1.1,0.98
2020-03-08,1.18,1.15,1.6800000000000002,1.12,1.08,0.97
2020-03-09,1.08,1.08,1.24,1.08,1.1,0.97
2020-03-10,1.02,1.07,1.04,1.01,1.1,0.98
2020-03-11,1.03,1.21,1.15,1.03,1.11,0.98
2020-03-12,1.06,1.19,1.25,1.06,1.12,0.98
2020-03-13,0.98,1.1400000000000001,1.11,1.02,1.06,1.0
2020-03-14,0.9299999999999999,1.1,1.1,0.96,1.04,1.01
2020-03-15,0.85,1.05,1.03,0.84,1.01,1.02
2020-03-16,0.88,1.13,0.87,0.86,0.88,1.05
2020-03-17,0.74,1.1400000000000001,0.81,0.78,0.81,1.08
