date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,2.0,-3.0,0.0,0.0,2.0,-1.0
2020-02-16,-7.0,-5.0,-9.0,-5.0,-3.0,1.0
2020-02-17,-5.0,-6.0,-21.0,-4.0,7.0,1.0
2020-02-18,-4.0,-3.0,-16.0,-4.0,7.0,1.0
2020-02-19,3.0,0.0,-4.0,2.0,7.0,-1.0
2020-02-20,-1.0,-3.0,-14.0,0.0,6.0,0.0
2020-02-21,-2.0,-1.0,-27.0,-4.0,7.0,0.0
2020-02-22,2.0,0.0,-11.0,-3.0,1.0,0.0
2020-02-23,5.0,1.0,0.0,-6.0,0.0,2.0
2020-02-24,-8.0,-7.0,29.0,-10.0,-36.0,6.0
2020-02-25,-20.0,-12.0,-7.0,-14.0,-36.0,5.0
2020-02-26,-3.0,0.0,-9.0,0.0,3.0,0.0
2020-02-27,-5.0,-6.0,-3.0,-1.0,4.0,1.0
2020-02-28,-2.0,-2.0,-12.0,-3.0,5.0,0.0
2020-02-29,1.0,0.0,-10.0,-6.0,2.0,1.0
2020-03-01,-11.0,-5.0,-17.0,-15.0,-7.0,4.0
2020-03-02,4.0,6.0,-14.0,1.0,15.0,0.0
2020-03-03,3.0,11.0,-12.0,4.0,19.0,-1.0
2020-03-04,5.0,12.0,-14.0,6.0,20.0,-2.0
2020-03-05,1.0,4.0,-14.0,5.0,21.0,-2.0
2020-03-06,5.0,6.0,-17.0,6.0,23.0,-3.0
2020-03-07,7.0,3.0,-13.0,-4.0,5.0,1.0
2020-03-08,2.0,3.0,-13.0,-10.0,-2.0,3.0
2020-03-09,2.0,4.0,-25.0,6.0,24.0,-2.0
2020-03-10,-1.0,3.0,-22.0,4.0,24.0,-2.0
2020-03-11,-3.0,1.0,-32.0,2.0,22.0,-2.0
2020-03-12,-5.0,0.0,-22.0,1.0,21.0,-1.0
2020-03-13,-5.0,9.0,-25.0,1.0,23.0,-2.0
2020-03-14,-30.0,-2.0,-57.0,-32.0,-3.0,9.0
2020-03-15,-39.0,-6.0,-59.0,-40.0,-12.0,13.0
2020-03-16,-30.0,-9.0,-45.0,-27.0,-1.0,8.0
2020-03-17,-44.0,-19.0,-58.0,-37.0,-12.0,12.0
2020-03-18,-53.0,-17.0,-67.0,-47.0,-24.0,16.0
2020-03-19,-56.0,-23.0,-67.0,-49.0,-27.0,17.0
2020-03-20,-54.0,-21.0,-63.0,-46.0,-28.0,18.0
2020-03-21,-62.0,-30.0,-68.0,-56.0,-27.0,18.0
2020-03-22,-74.0,-42.0,-78.0,-68.0,-33.0,21.0
2020-03-23,-57.0,-30.0,-68.0,-53.0,-33.0,19.0
2020-03-24,-62.0,-39.0,-69.0,-56.0,-38.0,19.0
2020-03-25,-62.0,-37.0,-71.0,-57.0,-40.0,20.0
2020-03-26,-65.0,-41.0,-70.0,-58.0,-41.0,21.0
2020-03-27,-63.0,-38.0,-71.0,-58.0,-39.0,22.0
2020-03-28,-68.0,-41.0,-76.0,-64.0,-34.0,20.0
2020-03-29,-75.0,-45.0,-79.0,-71.0,-35.0,22.0
2020-03-30,-60.0,-37.0,-69.0,-57.0,-39.0,20.0
2020-03-31,-62.0,-35.0,-72.0,-59.0,-41.0,20.0
2020-04-01,-62.0,-33.0,-73.0,-60.0,-43.0,21.0
2020-04-02,-57.0,-26.0,-70.0,-55.0,-42.0,20.0
2020-04-03,-53.0,-20.0,-66.0,-52.0,-39.0,21.0
2020-04-04,-58.0,-24.0,-71.0,-57.0,-32.0,19.0
2020-04-05,-71.0,-36.0,-79.0,-68.0,-35.0,21.0
2020-04-06,-55.0,-26.0,-69.0,-55.0,-48.0,21.0
2020-04-07,-56.0,-25.0,-70.0,-55.0,-50.0,21.0
2020-04-08,-55.0,-22.0,-70.0,-54.0,-50.0,20.0
2020-04-09,-63.0,-26.0,-71.0,-60.0,-58.0,23.0
2020-04-10,-76.0,-42.0,-77.0,-70.0,-67.0,28.0
2020-04-11,-68.0,-29.0,-75.0,-63.0,-43.0,20.0
2020-04-12,-71.0,-32.0,-79.0,-66.0,-32.0,20.0
2020-04-13,-47.0,-26.0,-66.0,-49.0,-34.0,18.0
2020-04-14,-60.0,-37.0,-74.0,-60.0,-39.0,20.0
2020-04-15,-52.0,-25.0,-69.0,-51.0,-36.0,18.0
2020-04-16,-53.0,-28.0,-65.0,-49.0,-34.0,18.0
2020-04-17,-52.0,-26.0,-66.0,-49.0,-32.0,19.0
2020-04-18,-56.0,-29.0,-67.0,-56.0,-25.0,16.0
2020-04-19,-66.0,-36.0,-71.0,-64.0,-28.0,18.0
2020-04-20,-48.0,-31.0,-60.0,-49.0,-29.0,16.0
