date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,8,2,3,2,5,-1
2020-02-16,5,2,1,1,3,0
2020-02-17,6,3,4,3,10,-1
2020-02-18,3,0,0,1,6,-1
2020-02-19,5,0,4,4,5,-3
2020-02-20,6,3,8,7,7,-2
2020-02-21,8,7,8,5,-6,1
2020-02-22,8,7,12,10,6,-1
2020-02-23,17,13,35,9,6,-3
2020-02-24,-17,-11,36,-25,-54,6
2020-02-25,-31,-24,3,-32,-59,9
2020-02-26,-2,-3,0,-1,2,0
2020-02-27,1,3,3,2,6,1
2020-02-28,7,6,3,3,12,-1
2020-02-29,10,8,5,7,11,1
2020-03-01,8,9,1,4,7,1
2020-03-02,7,6,5,5,12,-1
2020-03-03,6,5,3,3,9,-1
2020-03-04,7,5,5,6,9,0
2020-03-05,4,2,4,3,7,-1
2020-03-06,7,2,3,4,13,-2
2020-03-07,8,4,1,5,9,-1
2020-03-08,9,4,3,2,7,0
2020-03-09,5,3,4,3,11,-2
2020-03-10,-1,2,1,-5,3,2
2020-03-11,7,4,9,8,11,0
2020-03-12,5,7,5,4,10,0
2020-03-13,4,20,0,3,13,-1
2020-03-14,-6,16,-11,-2,6,3
2020-03-15,-21,4,-23,-16,0,4
2020-03-16,-35,-5,-30,-39,-33,12
2020-03-17,-51,-21,-43,-54,-50,18
2020-03-18,-57,-28,-46,-60,-54,20
2020-03-19,-62,-36,-51,-63,-56,22
2020-03-20,-63,-37,-53,-64,-54,23
2020-03-21,-63,-40,-57,-62,-38,19
2020-03-22,-64,-45,-58,-64,-30,15
2020-03-23,-63,-40,-53,-65,-57,22
2020-03-24,-65,-42,-55,-67,-60,23
2020-03-25,-64,-40,-53,-65,-59,24
2020-03-26,-64,-40,-53,-64,-59,23
2020-03-27,-64,-38,-55,-64,-55,24
2020-03-28,-61,-38,-55,-60,-35,19
2020-03-29,-62,-44,-57,-62,-25,16
2020-03-30,-62,-41,-52,-64,-55,21
2020-03-31,-62,-39,-53,-64,-57,22
2020-04-01,-63,-40,-52,-64,-57,23
2020-04-02,-64,-40,-54,-64,-58,23
2020-04-03,-65,-41,-55,-66,-56,23
2020-04-04,-63,-41,-58,-63,-37,19
2020-04-05,-65,-48,-58,-65,-29,15
2020-04-06,-62,-41,-51,-64,-55,20
2020-04-07,-62,-37,-53,-64,-58,20
2020-04-08,-59,-32,-49,-61,-58,21
2020-04-09,-68,-44,-56,-67,-67,25
2020-04-10,-75,-59,-62,-73,-69,28
2020-04-11,-66,-46,-60,-65,-40,20
2020-04-12,-65,-51,-59,-65,-29,14
2020-04-13,-60,-39,-49,-62,-52,20
2020-04-14,-59,-35,-50,-61,-54,21
