date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,0.94,0.96,0.89,0.91,0.96,1.07
2020-02-16,0.91,0.9299999999999999,0.91,0.89,0.9299999999999999,1.07
2020-02-17,0.91,0.9299999999999999,0.9299999999999999,0.89,1.05,1.06
2020-02-18,0.89,0.96,0.92,0.91,1.07,1.06
2020-02-19,0.91,0.91,0.91,0.88,1.07,1.04
2020-02-20,0.88,0.9,0.89,0.85,1.05,1.03
2020-02-21,0.9299999999999999,0.91,0.9,0.88,0.95,1.07
2020-02-22,0.9299999999999999,0.97,0.89,0.91,0.97,1.07
2020-02-23,0.91,0.94,0.94,0.88,0.95,1.06
2020-02-24,0.9299999999999999,0.95,0.98,0.9,1.06,1.05
2020-02-25,0.9,0.96,0.95,0.91,1.09,1.05
2020-02-26,0.9,0.91,0.92,0.89,1.08,1.03
2020-02-27,0.89,0.91,0.91,0.87,1.07,1.02
2020-02-28,0.94,0.92,0.9299999999999999,0.91,0.97,1.06
2020-02-29,0.95,0.97,0.91,0.95,0.98,1.06
2020-03-01,0.95,0.97,0.98,0.95,0.97,1.05
2020-03-02,0.92,0.95,0.96,0.91,1.12,1.05
2020-03-03,0.88,0.94,0.9,0.9,1.1400000000000001,1.05
2020-03-04,0.86,0.85,0.83,0.83,1.11,1.05
2020-03-05,0.89,0.92,0.88,0.86,1.11,1.02
2020-03-06,0.97,0.95,0.91,0.91,1.03,1.05
2020-03-07,0.9299999999999999,1.04,0.88,0.91,1.04,1.07
2020-03-08,0.96,1.02,0.96,0.89,0.98,1.06
2020-03-09,0.88,0.95,0.94,0.85,1.1,1.06
2020-03-10,0.85,0.95,0.89,0.85,1.13,1.06
2020-03-11,0.86,0.91,0.88,0.83,1.11,1.04
2020-03-12,0.8200000000000001,0.9,0.87,0.79,1.08,1.03
2020-03-13,0.85,0.88,0.85,0.79,0.98,1.08
2020-03-14,0.8200000000000001,0.91,0.79,0.79,1.0,1.09
2020-03-15,0.81,0.9,0.84,0.77,0.95,1.09
2020-03-16,0.8200000000000001,0.9,0.88,0.77,1.08,1.08
2020-03-17,0.76,0.87,0.8200000000000001,0.76,1.08,1.08
2020-03-18,0.76,0.8200000000000001,0.78,0.72,1.07,1.07
2020-03-19,0.74,0.83,0.78,0.7,1.05,1.05
2020-03-20,0.79,0.86,0.81,0.73,0.96,1.09
2020-03-21,0.77,0.88,0.76,0.73,0.97,1.11
2020-03-22,0.74,0.85,0.79,0.6799999999999999,0.9299999999999999,1.11
2020-03-23,0.77,0.89,0.85,0.71,1.04,1.09
2020-03-24,0.73,0.88,0.8200000000000001,0.71,1.06,1.09
2020-03-25,0.71,0.83,0.79,0.69,1.03,1.08
2020-03-26,0.6599999999999999,0.83,0.78,0.65,0.99,1.07
2020-03-27,0.65,0.8200000000000001,0.75,0.65,0.88,1.12
2020-03-28,0.55,0.8,0.6699999999999999,0.5900000000000001,0.85,1.15
2020-03-29,0.48,0.71,0.6699999999999999,0.51,0.8,1.16
2020-03-30,0.5,0.73,0.72,0.52,0.89,1.15
2020-03-31,0.48,0.81,0.69,0.53,0.89,1.1400000000000001
2020-04-01,0.39,0.61,0.5900000000000001,0.41000000000000003,0.77,1.16
2020-04-02,0.32999999999999996,0.5800000000000001,0.56,0.32999999999999996,0.42000000000000004,1.23
2020-04-03,0.37,0.5700000000000001,0.5700000000000001,0.36,0.64,1.22
2020-04-04,0.35,0.5800000000000001,0.51,0.36,0.6699999999999999,1.23
2020-04-05,0.32999999999999996,0.56,0.53,0.32999999999999996,0.6799999999999999,1.22
2020-04-06,0.4,0.64,0.62,0.39,0.75,1.2
