date,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential
2020-02-15,1.03,1.03,0.99,1.04,1.03,1.01
2020-02-16,1.04,1.02,0.98,1.06,1.03,1.01
2020-02-17,1.06,1.03,1.02,1.05,1.05,1.01
2020-02-18,1.04,1.02,1.01,1.02,1.05,1.02
2020-02-19,1.02,0.99,0.97,1.01,1.04,1.01
2020-02-20,1.03,1.0,1.04,1.01,1.06,1.01
2020-02-21,1.0,1.01,1.02,0.99,1.04,1.02
2020-02-22,1.05,1.05,1.01,1.05,1.07,1.01
2020-02-23,1.07,1.02,1.01,1.02,1.07,1.01
2020-02-24,1.07,1.04,1.01,1.06,1.08,1.01
2020-02-25,1.07,1.03,1.02,1.08,1.07,1.01
2020-02-26,1.05,1.0,1.01,1.06,1.06,1.01
2020-02-27,1.05,1.01,1.04,1.1,1.09,1.01
2020-02-28,1.04,1.04,1.03,1.05,1.07,1.02
2020-02-29,1.08,1.06,1.02,1.09,1.08,1.01
2020-03-01,1.01,0.97,0.95,1.02,0.99,1.01
2020-03-02,1.07,1.05,1.02,1.06,1.06,1.0
2020-03-03,1.03,1.0,1.01,1.05,1.04,1.01
2020-03-04,1.02,1.0,1.05,1.04,1.04,1.01
2020-03-05,1.04,1.01,1.04,1.1,1.06,1.0
2020-03-06,1.0,1.02,1.05,1.07,1.06,1.02
2020-03-07,1.01,1.02,1.01,1.07,1.04,1.01
2020-03-08,1.03,1.01,0.99,1.06,1.02,1.01
2020-03-09,1.02,1.03,0.99,1.06,1.03,1.01
2020-03-10,1.01,1.0,1.01,1.04,1.04,1.01
2020-03-11,0.99,1.0,1.01,1.05,1.02,1.01
2020-03-12,0.99,0.99,0.99,1.02,1.04,1.01
2020-03-13,0.97,1.01,0.99,0.99,1.04,1.01
2020-03-14,0.99,1.03,1.0,1.0,1.03,1.02
2020-03-15,1.01,1.01,0.99,0.99,1.02,1.01
2020-03-16,1.0,1.03,0.96,0.99,0.99,1.02
2020-03-17,0.97,1.0,0.99,0.96,0.99,1.02
2020-03-18,0.99,0.99,0.98,0.91,0.97,1.02
2020-03-19,0.96,1.0,0.98,0.96,1.02,1.02
2020-03-20,0.95,1.04,0.96,0.97,1.08,1.02
2020-03-21,0.99,1.07,0.97,0.95,1.01,1.03
2020-03-22,0.95,1.01,0.94,0.94,0.98,1.03
2020-03-23,0.94,1.03,0.94,0.9,0.97,1.03
2020-03-24,0.9,0.98,0.92,0.89,0.94,1.04
2020-03-25,0.86,0.9299999999999999,0.9299999999999999,0.76,0.9,1.04
2020-03-26,0.87,0.96,0.91,0.81,0.98,1.05
2020-03-27,0.86,0.97,0.87,0.84,1.05,1.04
2020-03-28,0.92,1.02,0.92,0.9,0.99,1.05
2020-03-29,0.92,0.99,0.91,0.91,0.95,1.05
2020-03-30,0.92,1.0,0.92,0.87,0.94,1.04
2020-03-31,0.91,0.99,0.9299999999999999,0.86,0.94,1.05
2020-04-01,0.89,0.97,0.9,0.84,0.92,1.04
2020-04-02,0.84,0.94,0.91,0.8,0.95,1.05
2020-04-03,0.87,1.0,0.89,0.85,1.02,1.04
2020-04-04,0.94,1.05,0.95,0.88,0.98,1.04
2020-04-05,0.95,1.02,0.94,0.88,0.9299999999999999,1.04
2020-04-06,0.95,1.02,0.9299999999999999,0.84,0.9299999999999999,1.05
2020-04-07,0.95,1.02,0.97,0.86,0.9299999999999999,1.04
2020-04-08,0.9,0.98,0.92,0.83,0.91,1.05
2020-04-09,0.89,0.97,0.9299999999999999,0.9,0.97,1.05
2020-04-10,0.86,0.98,0.85,0.8200000000000001,1.01,1.05
2020-04-11,0.91,0.99,0.92,0.88,0.94,1.06
2020-04-12,0.91,0.97,0.89,0.85,0.9,1.05
2020-04-13,0.92,0.98,0.92,0.8,0.92,1.05
2020-04-14,0.89,0.96,0.92,0.86,0.92,1.05
2020-04-15,0.9,0.97,0.91,0.81,0.92,1.05
2020-04-16,0.92,1.01,0.9,0.84,0.97,1.05
2020-04-17,0.92,1.02,0.9,0.86,1.05,1.03
2020-04-18,0.97,1.03,0.92,0.91,0.97,1.03
2020-04-19,1.01,1.04,0.91,0.89,0.9299999999999999,1.03
2020-04-20,0.98,1.02,0.91,0.85,0.9299999999999999,1.03
2020-04-21,0.97,0.99,0.88,0.8,0.88,1.01
2020-04-22,0.97,0.99,0.91,0.84,0.88,1.0
2020-04-23,0.96,0.99,0.87,0.83,0.92,1.02
2020-04-24,0.79,0.91,0.71,0.73,0.97,1.05
2020-04-25,0.83,0.94,0.8200000000000001,0.8,0.9,1.07
2020-04-26,0.85,0.91,0.8200000000000001,0.83,0.87,1.07
2020-04-27,0.85,0.94,0.81,0.78,0.88,1.06
2020-04-28,0.9,0.96,0.87,0.86,0.9,1.05
2020-04-29,0.9,0.97,0.87,0.86,0.9,1.07
2020-04-30,0.84,0.91,0.84,0.8,0.91,1.08
2020-05-01,0.88,0.96,0.8,0.88,1.06,1.03
2020-05-02,0.85,0.9299999999999999,0.83,0.83,0.86,1.07
2020-05-03,0.86,0.89,0.8,0.84,0.81,1.06
2020-05-04,0.86,0.91,0.83,0.8,0.86,1.05
2020-05-05,0.88,0.92,0.86,0.86,0.86,1.06
2020-05-06,0.91,0.99,0.88,0.91,0.87,1.07
2020-05-07,0.89,0.98,0.86,0.9,0.92,1.09
2020-05-08,1.0,1.09,0.89,0.99,1.11,1.05
2020-05-09,0.94,1.04,0.92,0.96,0.9299999999999999,1.07
2020-05-10,0.94,1.01,0.89,0.94,0.86,1.08
2020-05-11,0.96,1.06,0.92,0.94,0.88,1.08
2020-05-12,0.95,1.04,0.9299999999999999,0.98,0.87,1.08
2020-05-13,0.91,0.99,0.91,0.94,0.86,1.08
2020-05-14,0.9299999999999999,1.03,0.92,0.96,0.9299999999999999,1.09
