,0
2020-03-01,-0.0065288030248625735
2020-03-02,0.04410333131629339
2020-03-03,0.021276237016919552
2020-03-04,0.020070833199877233
2020-03-05,0.019835418675538175
2020-03-06,0.010800185337640576
2020-03-07,0.007460903950289476
2020-03-08,-0.052031080339954336
2020-03-09,0.00023154294771447146
2020-03-10,-0.020348256978728118
2020-03-11,-0.02823346720449823
2020-03-12,-0.03618764337868022
2020-03-13,-0.029858789109228942
2020-03-14,-0.028360369313046543
2020-03-15,-0.09069972739722898
2020-03-16,-0.0404816906962194
2020-03-17,-0.07366034191524719
2020-03-18,-0.08934774037736262
2020-03-19,-0.11260359986910722
2020-03-20,-0.117786135065715
2020-03-21,-0.15010799487804938
2020-03-22,-0.22046892487842684
2020-03-23,-0.13554139676651225
2020-03-24,-0.09575861609203794
2020-03-25,-0.006102885325635892
2020-03-26,0.05820399943725137
2020-03-27,-0.5838241074118795
2020-03-28,-0.616157171791314
2020-03-29,-0.6212323943434672
2020-03-30,-0.5451848079473403
2020-03-31,-0.5289056472623208
2020-04-01,-0.5277988311079105
2020-04-02,-0.5345287413540825
2020-04-03,-0.5556823331346639
2020-04-04,-0.5779589004632052
2020-04-05,-0.5771928093746511
2020-04-06,-0.5315478524241826
2020-04-07,-0.5309052867043492
2020-04-08,-0.5411430839029396
2020-04-09,-0.5341180490032874
2020-04-10,-0.6485270778482665
2020-04-11,-0.5737665363910414
2020-04-12,-0.5944499197629567
2020-04-13,-0.6176257791391464
2020-04-14,-0.5304015740014835
2020-04-15,-0.4997588184887285
2020-04-16,-0.5042432695455326
2020-04-17,-0.5236540473068276
2020-04-18,-0.5295915127218294
2020-04-19,-0.5558882976573621
2020-04-20,-0.4808175625340781
2020-04-21,-0.4860235103990466
2020-04-22,-0.49436379822170873
2020-04-23,-0.4998494771151367
2020-04-24,-0.4869519918224593
2020-04-25,-0.4706479264737229
2020-04-26,-0.5301135828089247
2020-04-27,-0.5577866559324178
2020-04-28,-0.4561101107086498
2020-04-29,-0.454821090458126
2020-04-30,-0.4102592854009786
2020-05-01,-0.4576919608170281
2020-05-02,-0.3575349960577281
2020-05-03,-0.40108821336553013
2020-05-04,-0.27835270418399516
2020-05-05,-0.2894830886965027
2020-05-06,-0.25847216730668426
2020-05-07,-0.2588514063632605
2020-05-08,-0.35044513108117936
2020-05-09,-0.3485527135373617
2020-05-10,-0.4101676464545561
2020-05-11,-0.30583052678522565
2020-05-12,-0.3084283672478627
2020-05-13,-0.29827507632762623
2020-05-14,-0.30214205302842045
2020-05-15,-0.2984332800318574
2020-05-16,-0.30410061908036545
2020-05-17,-0.3822300428038457
2020-05-18,-0.25695627493269146
2020-05-19,-0.2899403454617811
2020-05-20,-0.2837838593310276
2020-05-21,-0.2902211059103307
2020-05-22,-0.3034072212152942
2020-05-23,-0.29579019837541565
2020-05-24,-0.37150598344316826
2020-05-25,-0.25239708829587926
2020-05-26,-0.2580399648624481
2020-05-27,-0.2510865229936191
2020-05-28,-0.24899615954159934
2020-05-29,-0.24604749744992493
2020-05-30,-0.215557661176291
2020-05-31,-0.28182273604643376
2020-06-01,-0.12277727915803022
2020-06-02,-0.15473580605707246
2020-06-03,-0.15975014712468594
2020-06-04,-0.1546934376765795
2020-06-05,-0.19059994556514562
2020-06-06,-0.18466676680634986
2020-06-07,-0.2500059925081742
2020-06-08,-0.1342861141246093
2020-06-09,-0.15729533491007766
2020-06-10,-0.17738964933572807
2020-06-11,-0.18118222267992137
2020-06-12,-0.20797085706368434
2020-06-13,-0.21946332243187794
2020-06-14,-0.2855430725911328
2020-06-15,-0.12446933177131826
2020-06-16,-0.3295479768168784
2020-06-17,-0.16258317312277226
2020-06-18,-0.18215247860624653
2020-06-19,-0.19425263710597868
2020-06-20,-0.19049910979602225
2020-06-21,-0.26043821512216286
2020-06-22,-0.1587381811357418
2020-06-23,-0.1568592279365743
2020-06-24,-0.15309594181189093
2020-06-25,-0.11080787746737501
2020-06-26,-0.13600728022852981
2020-06-27,-0.13171179635987854
2020-06-28,-0.2021042990128966
2020-06-29,-0.10579582826854354
2020-06-30,-0.09144534999606857
2020-07-01,-0.10305355583043167
2020-07-02,-0.11203898538448066
2020-07-03,-0.13405872040822864
2020-07-04,-0.1302357662097193
2020-07-05,-0.18987948564390592
2020-07-06,-0.09237574617387641
2020-07-07,-0.1227436973468894
2020-07-08,-0.1455713710223578
2020-07-09,-0.16068603508854878
2020-07-10,-0.19267988183847534
2020-07-11,-0.23201455706548796
2020-07-12,-0.25917092989098306
2020-07-13,-0.1568967094781447
2020-07-14,-0.18678255570162558
2020-07-15,-0.14481988179602362
2020-07-16,-0.14894918822495193
2020-07-17,-0.16861047231860546
2020-07-18,-0.18419553986903864
2020-07-19,-0.24901620777788994
2020-07-20,-0.12924425156622424
2020-07-21,-0.14705152190221518
2020-07-22,-0.14549328059783012
2020-07-23,-0.1510163680788171
2020-07-24,-0.1355461821335349
2020-07-25,-0.10442716674368027
2020-07-26,-0.1919285047247234
2020-07-27,-0.12036866300890522
2020-07-28,-0.1206064556912938
2020-07-29,-0.11899171307220538
2020-07-30,-0.11861086074887398
2020-07-31,-0.1044300423473598
2020-08-01,-0.07289706229389062
2020-08-02,-0.12834136232402277
2020-08-03,-0.0703190551874917
2020-08-04,-0.08622278400025063
2020-08-05,-0.09368115589455941
2020-08-06,-0.10233808156373975
2020-08-07,-0.11646269569283542
2020-08-08,-0.11023589658796085
2020-08-09,-0.20492315945704365
2020-08-10,-0.23061028928665422
2020-08-11,-0.09958019472459367
2020-08-12,-0.11383120246276328
2020-08-13,-0.11428860606209085
2020-08-14,-0.09872674445589204
2020-08-15,-0.1191096267760228
2020-08-16,-0.18712470118381463
2020-08-17,-0.08865987057878803
2020-08-18,-0.0918797040486906
2020-08-19,-0.09214917865723346
2020-08-20,-0.087101573401679
2020-08-21,-0.10115057742419024
2020-08-22,-0.09698855857647272
2020-08-23,-0.13545794768424824
2020-08-24,-0.06926859789530998
2020-08-25,-0.039650289156680396
2020-08-26,-0.04168635284174313
2020-08-27,-0.030731800589755262
2020-08-28,-0.042827759563738195
2020-08-29,-0.036376822135911535
2020-08-30,-0.08040429059955015
2020-08-31,-0.014307508945020524
2020-09-01,-0.04600718562671676
2020-09-02,-0.07310373719756375
2020-09-03,-0.07545048813992802
2020-09-04,-0.07549446994187319
2020-09-05,-0.07795790827604969
2020-09-06,-0.11286133066658939
2020-09-07,-0.04152817616020319
2020-09-08,-0.06090737647067206
2020-09-09,-0.07937831544652522
2020-09-10,-0.10557718568965645
2020-09-11,-0.12553808990937101
2020-09-12,-0.1118788978328237
2020-09-13,-0.16585527615299053
2020-09-14,-0.09230782360599472
2020-09-15,-0.07905889356662836
2020-09-16,-0.08539861015331529
2020-09-17,-0.09878411626066282
2020-09-18,-0.1086163613097095
2020-09-19,-0.09551935323941323
2020-09-20,-0.1557134770183279
2020-09-21,-0.08488723003977121
2020-09-22,-0.0896902155281089
2020-09-23,-0.02533274645498001
2020-09-24,-0.18237047102115228
2020-09-25,-0.10960928772935292
2020-09-26,-0.06983707032570319
2020-09-27,-0.037100475801452794
2020-09-28,-0.0489018886273897
2020-09-29,-0.06659914983017423
2020-09-30,-0.04695387309246533
2020-10-01,-0.05902223253154769
2020-10-02,-0.07446344986351729
2020-10-03,-0.07843484824987715
2020-10-04,-0.08715059854886945
2020-10-05,-0.044361208901146684
2020-10-06,-0.07372343181831426
2020-10-07,-0.07655734103089887
2020-10-08,-0.05827702875203837
2020-10-09,-0.08995052688504829
2020-10-10,-0.09378886786580168
2020-10-11,-0.15868266852367618
2020-10-12,-0.08015610640533663
2020-10-13,-0.08855701475985477
2020-10-14,-0.07546635835999639
2020-10-15,-0.04929936827581356
2020-10-16,-0.0654855091910219
2020-10-17,-0.07415681531006119
2020-10-18,-0.12442718148739339
2020-10-19,-0.0732634111591222
2020-10-20,-0.09744780369506009
2020-10-21,-0.08995395074041329
2020-10-22,-0.07463663997279463
2020-10-23,-0.044749815220889146
2020-10-24,-0.03434477200677186
2020-10-25,-0.07731510239901669
2020-10-26,-0.05719827520826983
2020-10-27,-0.06848261242756269
2020-10-28,-0.059759134864310656
2020-10-29,-0.051869964942011786
2020-10-30,-0.03408798111025112
2020-10-31,-0.02230238883352268
2020-11-01,-0.04572526214745677
2020-11-02,-0.02901355245298823
2020-11-03,-0.03932346069549671
2020-11-04,-0.04374065902180203
2020-11-05,-0.06306200772812305
2020-11-06,-0.07085474142911134
2020-11-07,-0.06012647921421253
2020-11-08,-0.10396762430237116
2020-11-09,-0.06209045925745803
2020-11-10,-0.09973729831196779
2020-11-11,-0.08555739411645766
2020-11-12,-0.06422911945722848
2020-11-13,-0.05775474812306394
2020-11-14,-0.05192767683783387
2020-11-15,-0.10495624312841151
2020-11-16,-0.047886073840584444
2020-11-17,-0.06979848866207565
2020-11-18,-0.07807781148503475
2020-11-19,-0.07407907258758428
2020-11-20,-0.062204300821008945
2020-11-21,-0.09285563212585762
2020-11-22,-0.1480972605693288
2020-11-23,-0.07164909207087117
2020-11-24,-0.07345411904927873
2020-11-25,-0.018930032388049474
2020-11-26,0.009138128313798446
2020-11-27,0.010156058303153467
2020-11-28,0.01414919738440445
2020-11-29,-0.023284853866690176
2020-11-30,0.003238266518394614
2020-12-01,-0.013395251709401677
2020-12-02,-0.010981483185924526
2020-12-03,-0.006758997799377059
2020-12-04,-0.013877149463555432
2020-12-05,0.00014395453496012794
2020-12-06,-0.038083649538576514
2020-12-07,-0.02685853277891024
2020-12-08,-0.04515444460877373
2020-12-09,-0.05162684209904281
2020-12-10,-0.04501686969287552
2020-12-11,-0.03624152049912833
2020-12-12,-0.02243753352971516
2020-12-13,-0.07381441060143518
2020-12-14,-0.02626682265201227
2020-12-15,0.04955713785255848
2020-12-16,-0.10850389406839929
2020-12-17,-2.1816137162036892e-05
2020-12-18,-0.04429465213269915
2020-12-19,0.028569981132595276
2020-12-20,-0.017365971017801837
2020-12-21,-0.005275379037044939
2020-12-22,-0.036484037592456664
2020-12-23,0.010285159157601056
2020-12-24,0.023006323689828814
2020-12-25,-0.34484139730548546
2020-12-26,-0.21096169189559047
2020-12-27,-0.11534553694298456
2020-12-28,-0.10199194144391478
2020-12-29,-0.1796462456666288
2020-12-30,-0.16807835078360261
2020-12-31,-0.14851503839647798
2021-01-01,-0.4544487941985444
2021-01-02,-0.2388739654845174
2021-01-03,-0.17826446650650138
2021-01-04,-0.12602207726918435
2021-01-05,-0.16673213344896973
2021-01-06,-0.17597428253128244
2021-01-07,-0.1867079782827316
2021-01-08,-0.21266462225920196
2021-01-09,-0.18992589700502308
2021-01-10,-0.23150318444676796
2021-01-11,-0.15477073053286938
2021-01-12,-0.17775472881365997
2021-01-13,-0.18413192234586248
2021-01-14,-0.1971857363340082
2021-01-15,-0.19699731558508082
2021-01-16,-0.20384896027467242
2021-01-17,-0.24539025287292213
2021-01-18,-0.14719237287188178
2021-01-19,-0.1682024778019732
2021-01-20,-0.1576875838795963
2021-01-21,-0.16549461144900132
2021-01-22,-0.18048729993097767
2021-01-23,-0.17472913645724414
2021-01-24,-0.27066451506275224
2021-01-25,-0.1542940520591898
2021-01-26,-0.13960006554409826
2021-01-27,-0.14292624826948747
2021-01-28,-0.14156817798035204
2021-01-29,-0.12198222735515536
2021-01-30,-0.10039578693213799
2021-01-31,-0.14622815755029883
2021-02-01,-0.07438782959620877
2021-02-02,-0.11033761698772744
2021-02-03,-0.11912305795227049
2021-02-04,-0.11865572300788756
2021-02-05,-0.14641588701254957
2021-02-06,-0.1452508821311662
2021-02-07,-0.18487589461954676
2021-02-08,-0.09523507316009085
2021-02-09,-0.11330947495082792
2021-02-10,-0.13388575411619305
