Country Name,Country Code,Series Name,Series Code,2020 [YR2020]
Afghanistan,AFG,"Population, total",SP.POP.TOTL,39068979
Africa Eastern and Southern,AFE,"Population, total",SP.POP.TOTL,694446100
Africa Western and Central,AFW,"Population, total",SP.POP.TOTL,474569351
Albania,ALB,"Population, total",SP.POP.TOTL,2837849
Algeria,DZA,"Population, total",SP.POP.TOTL,44042091
American Samoa,ASM,"Population, total",SP.POP.TOTL,49761
Andorra,AND,"Population, total",SP.POP.TOTL,77380
Angola,AGO,"Population, total",SP.POP.TOTL,33451132
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,91846
Arab World,ARB,"Population, total",SP.POP.TOTL,453723239
Argentina,ARG,"Population, total",SP.POP.TOTL,45191965
Armenia,ARM,"Population, total",SP.POP.TOTL,2961500
Aruba,ABW,"Population, total",SP.POP.TOTL,108587
Australia,AUS,"Population, total",SP.POP.TOTL,25649248
Austria,AUT,"Population, total",SP.POP.TOTL,8916864
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,10093121
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,395863
Bahrain,BHR,"Population, total",SP.POP.TOTL,1472204
Bangladesh,BGD,"Population, total",SP.POP.TOTL,166298024
Barbados,BRB,"Population, total",SP.POP.TOTL,281698
Belarus,BLR,"Population, total",SP.POP.TOTL,9379952
Belgium,BEL,"Population, total",SP.POP.TOTL,11538604
Belize,BLZ,"Population, total",SP.POP.TOTL,390812
Benin,BEN,"Population, total",SP.POP.TOTL,13070169
Bermuda,BMU,"Population, total",SP.POP.TOTL,64382
Bhutan,BTN,"Population, total",SP.POP.TOTL,770006
Bolivia,BOL,"Population, total",SP.POP.TOTL,11816299
Bosnia and Herzegovina,BIH,"Population, total",SP.POP.TOTL,3299349
Botswana,BWA,"Population, total",SP.POP.TOTL,2365894
Brazil,BRA,"Population, total",SP.POP.TOTL,208660842
British Virgin Islands,VGB,"Population, total",SP.POP.TOTL,37135
Brunei Darussalam,BRN,"Population, total",SP.POP.TOTL,447404
Bulgaria,BGR,"Population, total",SP.POP.TOTL,6934015
Burkina Faso,BFA,"Population, total",SP.POP.TOTL,21478690
Burundi,BDI,"Population, total",SP.POP.TOTL,12617036
Cabo Verde,CPV,"Population, total",SP.POP.TOTL,514679
Cambodia,KHM,"Population, total",SP.POP.TOTL,16725474
Cameroon,CMR,"Population, total",SP.POP.TOTL,26210558
Canada,CAN,"Population, total",SP.POP.TOTL,38028638
Caribbean small states,CSS,"Population, total",SP.POP.TOTL,3092577
Cayman Islands,CYM,"Population, total",SP.POP.TOTL,68684
Central African Republic,CAF,"Population, total",SP.POP.TOTL,5026628
Central Europe and the Baltics,CEB,"Population, total",SP.POP.TOTL,102046650
Chad,TCD,"Population, total",SP.POP.TOTL,17224679
Channel Islands,CHI,"Population, total",SP.POP.TOTL,166235
Chile,CHL,"Population, total",SP.POP.TOTL,19370624
China,CHN,"Population, total",SP.POP.TOTL,1411100000
Colombia,COL,"Population, total",SP.POP.TOTL,50629997
Comoros,COM,"Population, total",SP.POP.TOTL,802163
"Congo, Dem. Rep.",COD,"Population, total",SP.POP.TOTL,95989998
"Congo, Rep.",COG,"Population, total",SP.POP.TOTL,5752791
Costa Rica,CRI,"Population, total",SP.POP.TOTL,5034320
Cote d'Ivoire,CIV,"Population, total",SP.POP.TOTL,28915449
Croatia,HRV,"Population, total",SP.POP.TOTL,3914206
Cuba,CUB,"Population, total",SP.POP.TOTL,11176354
Curacao,CUW,"Population, total",SP.POP.TOTL,154947
Cyprus,CYP,"Population, total",SP.POP.TOTL,1302247
Czechia,CZE,"Population, total",SP.POP.TOTL,10697858
Denmark,DNK,"Population, total",SP.POP.TOTL,5831404
Djibouti,DJI,"Population, total",SP.POP.TOTL,1105188
Dominica,DMA,"Population, total",SP.POP.TOTL,67573
Dominican Republic,DOM,"Population, total",SP.POP.TOTL,11008300
Early-demographic dividend,EAR,"Population, total",SP.POP.TOTL,3396051187
East Asia & Pacific,EAS,"Population, total",SP.POP.TOTL,2369438682
East Asia & Pacific (excluding high income),EAP,"Population, total",SP.POP.TOTL,2121866294
East Asia & Pacific (IDA & IBRD countries),TEA,"Population, total",SP.POP.TOTL,2095759417
Ecuador,ECU,"Population, total",SP.POP.TOTL,17546065
"Egypt, Arab Rep.",EGY,"Population, total",SP.POP.TOTL,109315124
El Salvador,SLV,"Population, total",SP.POP.TOTL,6234673
Equatorial Guinea,GNQ,"Population, total",SP.POP.TOTL,1716468
Eritrea,ERI,"Population, total",SP.POP.TOTL,3291271
Estonia,EST,"Population, total",SP.POP.TOTL,1329522
Eswatini,SWZ,"Population, total",SP.POP.TOTL,1192729
Ethiopia,ETH,"Population, total",SP.POP.TOTL,118917671
Euro area,EMU,"Population, total",SP.POP.TOTL,346922366
Europe & Central Asia,ECS,"Population, total",SP.POP.TOTL,925088545.5
Europe & Central Asia (excluding high income),ECA,"Population, total",SP.POP.TOTL,250655325.5
Europe & Central Asia (IDA & IBRD countries),TEC,"Population, total",SP.POP.TOTL,463913014.5
European Union,EUU,"Population, total",SP.POP.TOTL,447653554
Faroe Islands,FRO,"Population, total",SP.POP.TOTL,52571
Fiji,FJI,"Population, total",SP.POP.TOTL,914963
Finland,FIN,"Population, total",SP.POP.TOTL,5529543
Fragile and conflict affected situations,FCS,"Population, total",SP.POP.TOTL,996691242
France,FRA,"Population, total",SP.POP.TOTL,67601110
French Polynesia,PYF,"Population, total",SP.POP.TOTL,279209
Gabon,GAB,"Population, total",SP.POP.TOTL,2322539
"Gambia, The",GMB,"Population, total",SP.POP.TOTL,2515733
Georgia,GEO,"Population, total",SP.POP.TOTL,3722716
Germany,DEU,"Population, total",SP.POP.TOTL,83160871
Ghana,GHA,"Population, total",SP.POP.TOTL,31887809
